Linux 6.8.0-87-generic (jschoi) 	09/07/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:00:55 PM  1000   2767966    4.00    2.00    0.00    0.00    6.00    12   3247.00      0.00 2593928  162428   0.50  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:00:56 PM  1000   2767966   31.00    3.00    0.00    0.00   34.00     0   9321.00      0.00 2595972  193624   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:00:57 PM  1000   2767966   25.00    3.00    0.00    0.00   28.00     0   2530.00      0.00 2595972  197608   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:00:58 PM  1000   2767966   28.00    1.00    0.00    0.00   29.00     8   4336.00      0.00 2597544  208664   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:00:59 PM  1000   2767966   26.00    2.00    0.00    0.00   28.00     2   1882.00      0.00 2597544  211920   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:01:00 PM  1000   2767966   29.00    2.00    0.00    0.00   31.00     4   1726.00      0.00 2597544  211140   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:01:01 PM  1000   2767966   25.00    2.00    0.00    0.00   27.00    10   1342.00      0.00 2597752  213160   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:01:02 PM  1000   2767966   28.00    1.00    0.00    0.00   29.00    12   2450.00      0.00 2597532  215296   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:01:03 PM  1000   2767966   23.00    2.00    0.00    0.00   25.00    14    617.00      0.00 2597532  212248   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:01:04 PM  1000   2767966   24.00    1.00    0.00    0.00   25.00    14   1350.00      0.00 2599072  209440   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:01:05 PM  1000   2767966   27.00    2.00    0.00    0.00   29.00     4   2785.00      0.00 2599828  216040   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:01:06 PM  1000   2767966   25.00    3.00    0.00    0.00   28.00     4   2981.00      0.00 2600192  222936   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:01:07 PM  1000   2767966   24.00    2.00    0.00    0.00   26.00     4    757.00      0.00 2600296  221416   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:01:08 PM  1000   2767966   26.00    1.00    0.00    0.00   27.00    12    841.00      0.00 2600404  224680   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:01:09 PM  1000   2767966   25.00    2.00    0.00    0.00   27.00     4   1547.00      0.00 2600520  221740   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:01:10 PM  1000   2767966   26.00    2.00    0.00    0.00   28.00     4   1422.00      0.00 2600628  217252   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
