Linux 6.8.0-87-generic (jschoi) 	09/08/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:18 AM  1000   3022551    4.00    2.00    0.00    0.00    6.00    14   3607.00      0.00 2593928  163680   0.50  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:19 AM  1000   3022551   38.00    3.00    0.00    0.00   41.00    14   9683.00      0.00 2597544  196004   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:20 AM  1000   3022551   37.00    2.00    0.00    0.00   39.00    12   4915.00      0.00 2597544  209784   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:21 AM  1000   3022551   37.00    3.00    0.00    0.00   40.00     8   2023.00      0.00 2597192  213656   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:22 AM  1000   3022551   35.00    2.00    0.00    0.00   37.00    10   3065.00      0.00 2598712  222148   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:23 AM  1000   3022551   38.00    1.00    0.00    0.00   39.00     6   1385.00      0.00 2600668  223688   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:24 AM  1000   3022551   36.00    1.00    0.00    0.00   37.00    14    740.00      0.00 2600668  225388   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:25 AM  1000   3022551   35.00    2.00    0.00    0.00   37.00    14    611.00      0.00 2600668  226280   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:26 AM  1000   3022551   31.00    2.00    0.00    0.00   33.00     4    769.00      0.00 2600668  229352   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:27 AM  1000   3022551   37.00    2.00    0.00    0.00   39.00     6   1569.00      0.00 2602560  233624   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:28 AM  1000   3022551   34.00    1.00    0.00    0.00   35.00     4    325.00      0.00 2602560  234776   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:29 AM  1000   3022551   33.00    2.00    0.00    0.00   35.00     4   1255.00      0.00 2604028  237044   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:30 AM  1000   3022551   37.00    2.00    0.00    0.00   39.00     8   1345.00      0.00 2604028  239256   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:31 AM  1000   3022551   34.00    1.00    0.00    0.00   35.00     2   2234.00      0.00 2607776  245100   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:32 AM  1000   3022551   37.00    1.00    0.00    0.00   38.00    10   1312.00      0.00 2608064  246944   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:05:33 AM  1000   3022551   38.00    2.00    0.00    0.00   40.00     9   1259.00      0.00 2608336  248596   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
