Linux 6.8.0-87-generic (jschoi) 	09/08/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:51:52 AM  1000   3005550    6.93    1.98    0.00    0.00    8.91     2   4213.86      0.00 2594824  164700   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:51:53 AM  1000   3005550   27.00    4.00    0.00    0.00   31.00    14   7872.00      0.00 2595692  191052   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:51:54 AM  1000   3005550   21.00    2.00    0.00    0.00   23.00     2   2837.00      0.00 2597324  198932   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:51:55 AM  1000   3005550   21.00    3.00    0.00    0.00   24.00     3   1881.00      0.00 2597332  198600   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:51:56 AM  1000   3005550   19.00    3.00    0.00    0.00   22.00     3   2417.00      0.00 2595768  204736   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:51:57 AM  1000   3005550   22.00    3.00    0.00    0.00   25.00     3   2391.00      0.00 2595768  208080   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:51:58 AM  1000   3005550   23.00    2.00    0.00    0.00   25.00     5   2062.00      0.00 2597132  212648   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:51:59 AM  1000   3005550   24.00    2.00    0.00    0.00   26.00     3   1641.00      0.00 2597132  215228   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:00 AM  1000   3005550   24.00    2.00    0.00    0.00   26.00     5   1538.00      0.00 2597132  212348   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:01 AM  1000   3005550   25.00    2.00    0.00    0.00   27.00     5   2760.00      0.00 2595768  214188   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:02 AM  1000   3005550   24.00    3.00    0.00    0.00   27.00     5   1300.00      0.00 2596292  213572   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:03 AM  1000   3005550   21.00    2.00    0.00    0.00   23.00     5   1020.00      0.00 2596292  215884   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:04 AM  1000   3005550   22.00    2.00    0.00    0.00   24.00     3   1104.00      0.00 2596292  214348   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:05 AM  1000   3005550   25.00    2.00    0.00    0.00   27.00     3   1616.00      0.00 2597216  220492   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:06 AM  1000   3005550   25.00    2.00    0.00    0.00   27.00     3   2742.00      0.00 2598556  216696   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:07 AM  1000   3005550   24.00    3.00    0.00    0.00   27.00     3   2572.00      0.00 2598556  210952   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
