Linux 6.8.0-87-generic (jschoi) 	09/07/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:58:04 PM  1000   2870927    6.00    2.00    0.00    0.00    8.00     8   4441.00      0.00 2594856  162560   0.50  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:58:05 PM  1000   2870927   19.00    4.00    0.00    0.00   23.00     8   7629.00      0.00 2595716  182040   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:58:06 PM  1000   2870927   20.00    2.00    0.00    0.00   22.00     8   3750.00      0.00 2595716  189620   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:58:07 PM  1000   2870927   17.00    3.00    0.00    0.00   20.00     0   4794.00      0.00 2597256  202564   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:58:08 PM  1000   2870927   19.00    2.00    0.00    0.00   21.00     8   1719.00      0.00 2597508  207488   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:58:09 PM  1000   2870927   19.00    2.00    0.00    0.00   21.00     2   1047.00      0.00 2597508  211712   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:58:10 PM  1000   2870927   22.00    2.00    0.00    0.00   24.00    10   1193.00      0.00 2597508  208452   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:58:11 PM  1000   2870927   18.00    2.00    0.00    0.00   20.00     0    973.00      0.00 2597508  208472   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:58:12 PM  1000   2870927   20.00    2.00    0.00    0.00   22.00     8   1139.00      0.00 2597508  210880   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:58:13 PM  1000   2870927   21.00    2.00    0.00    0.00   23.00     2    673.00      0.00 2595744  210116   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:58:14 PM  1000   2870927   20.00    2.00    0.00    0.00   22.00     0   1267.00      0.00 2595744  208012   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:58:15 PM  1000   2870927   17.00    3.00    0.00    0.00   20.00    10   2964.00      0.00 2597284  211912   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:58:16 PM  1000   2870927   19.00    2.00    0.00    0.00   21.00     4   1181.00      0.00 2595744  211100   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:58:17 PM  1000   2870927   18.00    4.00    0.00    0.00   22.00     4   1490.00      0.00 2596360  213196   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:58:18 PM  1000   2870927   21.00    3.00    0.00    0.00   24.00     4   2521.00      0.00 2596360  210288   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:58:19 PM  1000   2870927   19.00    3.00    0.00    0.00   22.00    10   2177.00      0.00 2597992  209648   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
