Linux 6.8.0-87-generic (jschoi) 	09/07/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:51:21 PM  1000   2867577    5.00    3.00    0.00    0.00    8.00    14   4740.00      0.00 2594856  166144   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:51:22 PM  1000   2867577   22.00    3.00    0.00    0.00   25.00    14   6518.00      0.00 2597100  182792   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:51:23 PM  1000   2867577   21.00    3.00    0.00    0.00   24.00     6   3246.00      0.00 2597100  190432   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:51:24 PM  1000   2867577   16.00    3.00    0.00    0.00   19.00     6   4020.00      0.00 2597108  195760   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:51:25 PM  1000   2867577   20.00    1.00    0.00    0.00   21.00     4   2198.00      0.00 2597496  202844   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:51:26 PM  1000   2867577   19.00    2.00    0.00    0.00   21.00     4   1037.00      0.00 2597496  199036   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:51:27 PM  1000   2867577   20.00    2.00    0.00    0.00   22.00     4   2724.00      0.00 2595744  203724   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:51:28 PM  1000   2867577   21.00    2.00    0.00    0.00   23.00     6   1662.00      0.00 2597212  204596   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:51:29 PM  1000   2867577   20.00    2.00    0.00    0.00   22.00     6   1569.00      0.00 2595744  201444   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:51:30 PM  1000   2867577   22.00    3.00    0.00    0.00   25.00     6   1890.00      0.00 2597664  200520   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:51:31 PM  1000   2867577   23.00    1.00    0.00    0.00   24.00     8   2265.00      0.00 2595744  203456   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:51:32 PM  1000   2867577   19.00    3.00    0.00    0.00   22.00    14   2593.00      0.00 2595744  206588   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:51:33 PM  1000   2867577   19.00    2.00    0.00    0.00   21.00    12   2020.00      0.00 2595744  205160   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:51:34 PM  1000   2867577   19.00    2.00    0.00    0.00   21.00    12   2498.00      0.00 2596056  207200   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:51:35 PM  1000   2867577   22.00    2.00    0.00    0.00   24.00     2   2964.00      0.00 2596872  206648   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
09:51:36 PM  1000   2867577   19.00    2.00    0.00    0.00   21.00    12   2089.00      0.00 2598516  206472   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
