relative_time,raw_point_count,blind_rejected,front_rejected,front_raw_count,back_raw_count,feats_undistort_size,feats_down_size,eff_feat_num_first,eff_feat_num_last,front_effL,back_effL,front_undist,back_undist,front_down,back_down,front_range_med,back_range_med,t_lambda_min,r_lambda_min,imu_dt_max_ms,imu_count,imu_degraded,lidar_weak_rotation,combined_risk,near_wall,total_time,match_time,solve_time,map_incre_time,kf_update_time,deskew_enable,current_voxel_size
0.000000000,19968,2977,0,11961,8007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002869987,nan,nan,nan,nan,1,nan
0.099001169,20064,3216,0,12088,7976,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.266117096,18,0.000000000,nan,nan,nan,0.142390025,nan,nan,nan,nan,1,nan
0.199111462,19968,3044,0,12000,7968,16920,489,nan,nan,nan,nan,9018,7902,305,184,2.476466700,1.884571631,nan,nan,8.145332336,21,0.000000000,nan,nan,0.000000000,12.322577008,nan,nan,nan,nan,1,0.500000000
0.299040556,20064,3261,0,12148,7916,16799,499,313,311,186,125,8942,7857,309,190,2.483622177,1.802979064,69.742300609,328.304736663,7.922887802,19,0.000000000,nan,nan,0.000000000,13.050603971,3.457164974,0.075959077,0.487761979,3.891426022,1,0.500000000
0.399035692,19968,3188,0,12000,7968,16776,491,293,290,175,115,8873,7903,299,192,2.476584604,1.864045462,69.126758932,335.531505088,7.870197296,22,0.000000000,nan,nan,0.000000000,18.923152995,6.121711107,0.140786928,0.610191957,6.892866048,1,0.500000000
0.499911547,20064,3227,0,11983,8081,16833,491,286,284,172,112,8846,7987,299,192,2.490720916,1.796694882,60.946546371,319.687626972,7.315158844,18,0.000000000,nan,nan,0.000000000,14.214580995,4.334166006,0.080589030,0.317741011,4.778572998,1,0.500000000
0.599087477,19968,3275,0,12018,7950,16689,485,273,267,159,108,8828,7861,296,189,2.477838827,1.831692682,55.588515947,309.394873894,9.237766266,22,0.000000000,nan,nan,0.000000000,12.305809010,3.390149912,0.062702922,0.234126986,3.751880024,1,0.500000000
0.699386597,20064,3306,0,12043,8021,16754,494,280,281,172,109,8820,7934,306,188,2.482136784,1.823584210,59.603162087,390.406343592,7.504940033,18,0.000000000,nan,nan,0.000000000,14.674751961,6.731693982,0.140829070,0.746281992,7.592391979,1,0.500000000
0.799233675,19968,3348,0,12085,7883,16616,483,282,282,170,112,8804,7812,298,185,2.483734481,1.817476592,59.133707672,349.655272748,7.988452911,22,0.000000000,nan,nan,0.000000000,10.267217003,2.807554149,0.055119046,0.257680018,3.117209009,1,0.500000000
0.898989677,19968,3214,0,12049,7919,16750,496,280,280,173,107,8908,7842,307,189,2.490245425,1.777551326,60.646544701,335.672164629,5.773305893,20,0.000000000,nan,nan,0.000000000,16.488376015,4.474010027,0.085163920,0.192565029,4.951198993,1,0.500000000
1.001548529,19680,3322,0,11986,7694,16354,489,268,270,158,112,8720,7634,301,188,2.532625204,1.766671023,52.673451558,343.338256461,5.585670471,6,0.000000000,nan,nan,0.000000000,16.046156001,5.605302984,0.075532007,0.292561017,6.163342972,1,0.500000000
1.099423885,20448,3191,0,12469,7979,17253,494,283,283,167,116,9347,7906,307,187,2.435721961,1.792192743,58.856398021,346.423602867,8.004426956,33,0.000000000,nan,nan,0.000000000,11.280436011,4.910431046,0.104159990,0.291161006,5.483279994,1,0.500000000
1.200621128,20064,3469,0,12273,7791,16591,490,277,278,167,111,8867,7724,304,186,2.507206069,1.753619809,55.263753028,319.836780829,6.994009018,18,0.000000000,nan,nan,0.000000000,16.357099987,6.928938092,0.138085044,0.489102968,7.677886984,1,0.500000000
1.298993111,19776,2827,0,11873,7903,16945,493,270,273,167,106,9114,7831,308,185,2.469816422,1.777781303,58.820214438,337.678401643,6.553649902,21,0.000000000,nan,nan,0.000000000,14.785867999,4.689735943,0.084421015,0.236633990,5.167498020,1,0.500000000
1.399050474,20256,3460,0,12437,7819,16792,489,270,272,168,104,9034,7758,305,184,2.470732283,1.775933585,61.405381013,316.144966390,7.626533508,14,0.000000000,nan,nan,0.000000000,13.580739032,4.013392958,0.062151055,0.143585028,4.347899987,1,0.500000000
1.500370502,19488,2734,0,11628,7860,16750,493,262,264,168,96,8952,7798,310,183,2.503375025,1.787351890,59.696351072,301.828156933,7.523536682,27,0.000000000,nan,nan,0.000000000,16.360997048,5.885861057,0.100663048,0.394103001,6.478983036,1,0.500000000
1.598991871,20160,3453,0,12585,7575,16703,496,276,277,166,111,9194,7509,309,187,2.443465291,1.776169418,65.229829360,313.944375097,7.610082626,15,0.000000000,nan,nan,0.000000000,17.109251989,6.700647995,0.141230063,0.256800035,7.516887039,1,0.500000000
1.700262785,19680,3259,0,11825,7855,16417,493,268,271,166,105,8630,7787,301,192,2.567466804,1.774333676,69.855036792,302.727257947,6.127834320,11,0.000000000,nan,nan,0.000000000,4.086931003,1.804441970,0.042603991,0.096975011,2.034761012,1,0.500000000
