Linux 6.8.0-87-generic (jschoi) 	09/08/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:29 AM  1000   2979907    6.93    1.98    0.00    0.00    8.91    10   4528.71      0.00 2595160  165516   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:30 AM  1000   2979907   24.00    4.00    0.00    0.00   28.00    10   7690.00      0.00 2595184  185980   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:31 AM  1000   2979907   21.00    3.00    0.00    0.00   24.00    14   3702.00      0.00 2595184  195356   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:32 AM  1000   2979907   19.00    3.00    0.00    0.00   22.00     0   2933.00      0.00 2595192  199900   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:33 AM  1000   2979907   18.00    2.00    0.00    0.00   20.00    10   2668.00      0.00 2595212  204464   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:34 AM  1000   2979907   20.00    3.00    0.00    0.00   23.00    10   1162.00      0.00 2596644  205144   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:35 AM  1000   2979907   21.00    2.00    0.00    0.00   23.00    12    949.00      0.00 2595348  203704   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:36 AM  1000   2979907   23.00    1.00    0.00    0.00   24.00     6   1193.00      0.00 2596848  203232   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:37 AM  1000   2979907   19.00    2.00    0.00    0.00   21.00     4   1969.00      0.00 2597308  206708   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:38 AM  1000   2979907   17.00    3.00    0.00    0.00   20.00    12   2079.00      0.00 2596952  207316   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:39 AM  1000   2979907   22.00    2.00    0.00    0.00   24.00     8    685.00      0.00 2596952  206400   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:40 AM  1000   2979907   23.00    3.00    0.00    0.00   26.00     4   2455.00      0.00 2596996  208328   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:41 AM  1000   2979907   23.00    2.00    0.00    0.00   25.00     0    494.00      0.00 2596996  205152   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:42 AM  1000   2979907   19.00    3.00    0.00    0.00   22.00     6   2277.00      0.00 2597108  208996   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:43 AM  1000   2979907   21.00    4.00    0.00    0.00   25.00     4   3302.00      0.00 2597956  211176   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:31:44 AM  1000   2979907   24.00    2.00    0.00    0.00   26.00     4   2150.00      0.00 2599640  214028   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
