Linux 6.8.0-87-generic (jschoi) 	09/07/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:00:20 PM  1000   2797689    5.00    3.00    0.00    0.00    8.00     6   4770.00      0.00 2594856  166556   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:00:21 PM  1000   2797689   19.00    3.00    0.00    0.00   22.00     8   7823.00      0.00 2597436  193680   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:00:22 PM  1000   2797689   17.00    2.00    0.00    0.00   19.00    12   2589.00      0.00 2597436  199848   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:00:23 PM  1000   2797689   18.00    3.00    0.00    0.00   21.00     0   2499.00      0.00 2597444  201824   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:00:24 PM  1000   2797689   19.00    1.00    0.00    0.00   20.00     2   1933.00      0.00 2597444  204404   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:00:25 PM  1000   2797689   18.00    3.00    0.00    0.00   21.00     2   1971.00      0.00 2596556  208856   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:00:26 PM  1000   2797689   19.00    2.00    0.00    0.00   21.00     6   1738.00      0.00 2597752  209672   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:00:27 PM  1000   2797689   20.00    1.00    0.00    0.00   21.00     2   1566.00      0.00 2597752  211568   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:00:28 PM  1000   2797689   18.00    2.00    0.00    0.00   20.00     2    481.00      0.00 2597956  211668   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:00:29 PM  1000   2797689   17.00    2.00    0.00    0.00   19.00     8    967.00      0.00 2597956  208356   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:00:30 PM  1000   2797689   18.00    3.00    0.00    0.00   21.00     2   2596.00      0.00 2597956  209200   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:00:31 PM  1000   2797689   16.00    2.00    0.00    0.00   18.00     6   1265.00      0.00 2597956  212244   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:00:32 PM  1000   2797689   20.00    2.00    0.00    0.00   22.00     2    439.00      0.00 2597956  211976   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:00:33 PM  1000   2797689   16.00    2.00    0.00    0.00   18.00     2   1034.00      0.00 2597956  209660   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:00:34 PM  1000   2797689   18.00    3.00    0.00    0.00   21.00     6   1659.00      0.00 2596572  205544   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:00:35 PM  1000   2797689   20.00    3.00    0.00    0.00   23.00     6   2661.00      0.00 2597952  205956   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
