relative_time,raw_point_count,blind_rejected,front_rejected,front_raw_count,back_raw_count,feats_undistort_size,feats_down_size,eff_feat_num_first,eff_feat_num_last,front_effL,back_effL,front_undist,back_undist,front_down,back_down,front_range_med,back_range_med,t_lambda_min,r_lambda_min,imu_dt_max_ms,imu_count,imu_degraded,lidar_weak_rotation,combined_risk,near_wall,total_time,match_time,solve_time,map_incre_time,kf_update_time,deskew_enable,current_voxel_size
0.000000000,19968,2977,0,11961,8007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002112007,nan,nan,nan,nan,0,nan
0.099001169,20064,3216,0,12088,7976,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.266117096,18,0.000000000,nan,nan,nan,0.040866027,nan,nan,nan,nan,0,nan
0.199111462,19968,3044,0,12000,7968,16920,489,nan,nan,nan,nan,9021,7899,305,184,2.475963039,1.887692803,nan,nan,8.145332336,21,0.000000000,nan,nan,0.000000000,6.998632045,nan,nan,nan,nan,0,0.500000000
0.299040556,20064,3261,0,12148,7916,16799,497,308,310,186,124,8947,7852,309,188,2.483530569,1.803204944,69.415752855,331.540635967,7.922887802,19,0.000000000,nan,nan,0.000000000,15.169932041,6.429105939,0.154370035,1.004357997,7.322416990,0,0.500000000
0.399035692,19968,3188,0,12000,7968,16776,492,291,288,170,118,8877,7899,299,193,2.475144609,1.864219349,65.512502093,335.604010849,7.870197296,22,0.000000000,nan,nan,0.000000000,14.105479000,5.958298047,0.114739058,0.504029042,6.669344963,0,0.500000000
0.499911547,20064,3227,0,11983,8081,16833,487,278,279,168,111,8823,8010,295,192,2.491915301,1.792369272,57.883045217,313.318064935,7.315158844,18,0.000000000,nan,nan,0.000000000,8.175175986,1.418988046,0.029157032,0.161172007,1.588176994,0,0.500000000
0.599087477,19968,3275,0,12018,7950,16689,486,272,272,161,111,8811,7878,297,189,2.479140737,1.833312286,56.037197240,326.847112262,9.237766266,22,0.000000000,nan,nan,0.000000000,14.110661985,6.745208986,0.137373048,0.721867022,7.571947994,0,0.500000000
0.699386597,20064,3306,0,12043,8021,16754,495,287,288,175,113,8811,7943,306,189,2.481367583,1.825072917,57.766984040,372.572891970,7.504940033,18,0.000000000,nan,nan,0.000000000,10.263142001,3.897588002,0.072725990,0.244759023,4.309384036,0,0.500000000
0.799233675,19968,3348,0,12085,7883,16616,483,279,277,166,111,8801,7815,298,185,2.484101891,1.818750468,57.996439838,333.539364952,7.988452911,22,0.000000000,nan,nan,0.000000000,14.560031996,6.341254862,0.126498984,0.404899009,7.063925965,0,0.500000000
0.898989677,19968,3214,0,12049,7919,16750,496,286,290,174,116,8907,7843,307,189,2.490995087,1.776614988,62.471350822,341.136881167,5.773305893,20,0.000000000,nan,nan,0.000000000,14.424770023,6.593450031,0.131925975,0.474734989,7.334223017,0,0.500000000
