Linux 6.8.0-87-generic (jschoi) 	09/07/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:38:14 PM  1000   2756293    8.00    2.00    0.00    0.00   10.00    11   4690.00      0.00 2594932  164164   0.50  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:38:15 PM  1000   2756293   28.00    5.00    0.00    0.00   33.00     4   9721.00      0.00 2595744  198276   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:38:16 PM  1000   2756293   24.00    2.00    0.00    0.00   26.00     2   3234.00      0.00 2595744  200828   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:38:17 PM  1000   2756293   25.00    3.00    0.00    0.00   28.00     2   1995.00      0.00 2594788  202080   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:38:18 PM  1000   2756293   25.00    2.00    0.00    0.00   27.00     6   1869.00      0.00 2594788  204332   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:38:19 PM  1000   2756293   30.00    2.00    0.00    0.00   32.00     8   3370.00      0.00 2594808  212172   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:38:20 PM  1000   2756293   24.00    2.00    0.00    0.00   26.00    12   1673.00      0.00 2596224  214852   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:38:21 PM  1000   2756293   27.00    3.00    0.00    0.00   30.00    10   1592.00      0.00 2596232  217100   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:38:22 PM  1000   2756293   24.00    1.00    0.00    0.00   25.00    14   2534.00      0.00 2597012  218716   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:38:23 PM  1000   2756293   27.00    1.00    0.00    0.00   28.00    12   1342.00      0.00 2595708  219236   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:38:24 PM  1000   2756293   23.76    1.98    0.00    0.00   25.74    10   1475.25      0.00 2597212  214860   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:38:25 PM  1000   2756293   23.00    2.00    0.00    0.00   25.00    10   2558.00      0.00 2597212  219236   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:38:26 PM  1000   2756293   26.00    2.00    0.00    0.00   28.00    10    827.00      0.00 2597624  217768   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:38:27 PM  1000   2756293   27.00    2.00    0.00    0.00   29.00    12   1191.00      0.00 2598908  220180   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:38:28 PM  1000   2756293   27.00    2.00    0.00    0.00   29.00     0   1632.00      0.00 2599024  216944   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:38:29 PM  1000   2756293   28.00    2.00    0.00    0.00   30.00     0   1889.00      0.00 2599132  217100   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
