Linux 6.8.0-87-generic (jschoi) 	09/07/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:54 PM  1000   2824094    4.00    1.00    0.00    0.00    5.00     8   4821.00      0.00 2594928  164884   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:55 PM  1000   2824094   26.00    3.00    0.00    0.00   29.00     4   6942.00      0.00 2597188  187876   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:56 PM  1000   2824094   28.00    3.00    0.00    0.00   31.00     6   5373.00      0.00 2595812  204396   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:57 PM  1000   2824094   27.00    3.00    0.00    0.00   30.00     8   4757.00      0.00 2597316  214116   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:58 PM  1000   2824094   29.00    1.00    0.00    0.00   30.00    14   1369.00      0.00 2597316  214172   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:51:59 PM  1000   2824094   27.00    2.00    0.00    0.00   29.00    14    968.00      0.00 2597316  215516   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:52:00 PM  1000   2824094   21.00    2.00    0.00    0.00   23.00    14   1379.00      0.00 2597316  216404   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:52:01 PM  1000   2824094   26.00    2.00    0.00    0.00   28.00     0    852.00      0.00 2598000  216400   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:52:02 PM  1000   2824094   25.00    1.00    0.00    0.00   26.00     2   2436.00      0.00 2598000  217048   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:52:03 PM  1000   2824094   27.00    2.00    0.00    0.00   29.00     0   1741.00      0.00 2599856  220112   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:52:04 PM  1000   2824094   26.00    2.00    0.00    0.00   28.00     0   1107.00      0.00 2599856  219508   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:52:05 PM  1000   2824094   31.00    1.00    0.00    0.00   32.00     2   2203.00      0.00 2600728  223684   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:52:06 PM  1000   2824094   28.00    2.00    0.00    0.00   30.00     2    888.00      0.00 2600728  222484   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:52:07 PM  1000   2824094   24.00    2.00    0.00    0.00   26.00     8    776.00      0.00 2600976  219300   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:52:08 PM  1000   2824094   27.00    1.00    0.00    0.00   28.00     0   2792.00      0.00 2600976  215316   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:52:09 PM  1000   2824094   25.00    2.00    0.00    0.00   27.00     4   3050.00      0.00 2600976  215844   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
