Linux 6.8.0-87-generic (jschoi) 	09/07/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:44:58 PM  1000   2759671    6.00    2.00    0.00    0.00    8.00     2   4263.00      0.00 2594884  164988   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:44:59 PM  1000   2759671   24.00    4.00    0.00    0.00   28.00     2   8785.00      0.00 2595752  186792   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:45:00 PM  1000   2759671   21.00    3.00    0.00    0.00   24.00    14   5170.00      0.00 2597188  199532   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:45:01 PM  1000   2759671   20.00    2.00    0.00    0.00   22.00    14   3204.00      0.00 2597196  202148   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:45:02 PM  1000   2759671   23.00    2.00    0.00    0.00   25.00    14   1633.00      0.00 2597240  203360   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:45:03 PM  1000   2759671   24.00    2.00    0.00    0.00   26.00     0   2457.00      0.00 2597240  207748   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:45:04 PM  1000   2759671   22.00    2.00    0.00    0.00   24.00     6   1062.00      0.00 2595876  205972   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:45:05 PM  1000   2759671   21.00    2.00    0.00    0.00   23.00     4   1152.00      0.00 2595876  210388   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:45:06 PM  1000   2759671   21.00    3.00    0.00    0.00   24.00     4   2048.00      0.00 2595880  210704   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:45:07 PM  1000   2759671   21.00    2.00    0.00    0.00   23.00     6   2013.00      0.00 2595880  212868   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:45:08 PM  1000   2759671   25.00    3.00    0.00    0.00   28.00     8   1846.00      0.00 2597452  212332   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:45:09 PM  1000   2759671   21.00    2.00    0.00    0.00   23.00     6   1204.00      0.00 2597452  212192   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:45:10 PM  1000   2759671   24.00    2.00    0.00    0.00   26.00     6   1794.00      0.00 2597452  215668   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:45:11 PM  1000   2759671   21.00    3.00    0.00    0.00   24.00     3   1975.00      0.00 2597924  216968   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:45:12 PM  1000   2759671   22.00    3.00    0.00    0.00   25.00     3   1802.00      0.00 2597924  212880   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:45:13 PM  1000   2759671   23.00    2.00    0.00    0.00   25.00     3   1572.00      0.00 2597924  207536   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
