relative_time,raw_point_count,blind_rejected,front_rejected,front_raw_count,back_raw_count,feats_undistort_size,feats_down_size,eff_feat_num_first,eff_feat_num_last,front_effL,back_effL,front_undist,back_undist,front_down,back_down,front_range_med,back_range_med,t_lambda_min,r_lambda_min,imu_dt_max_ms,imu_count,imu_degraded,lidar_weak_rotation,combined_risk,near_wall,total_time,match_time,solve_time,map_incre_time,kf_update_time,deskew_enable,current_voxel_size
0.000000000,19968,2977,0,11961,8007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.003475987,nan,nan,nan,nan,0,nan
0.099001169,20064,3216,0,12088,7976,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.266117096,18,0.000000000,nan,nan,nan,0.150101027,nan,nan,nan,nan,0,nan
0.199111462,19968,3044,0,12000,7968,16920,489,nan,nan,nan,nan,9021,7899,305,184,2.475963039,1.887692803,nan,nan,8.145332336,21,0.000000000,nan,nan,0.000000000,8.067575051,nan,nan,nan,nan,0,0.500000000
0.299040556,20064,3261,0,12148,7916,16799,497,308,310,186,124,8947,7852,309,188,2.483530569,1.803204944,69.415752855,331.540635969,7.922887802,19,0.000000000,nan,nan,0.000000000,8.896293992,1.718193933,0.032907992,0.243319024,1.914680004,0,0.500000000
0.399035692,19968,3188,0,12000,7968,16776,492,291,288,170,118,8877,7899,299,193,2.475144609,1.864219349,65.512502093,335.602349609,7.870197296,22,0.000000000,nan,nan,0.000000000,6.208620965,2.565938921,0.056132965,0.288870011,2.873935970,0,0.500000000
0.499911547,20064,3227,0,11983,8081,16833,487,279,279,168,111,8823,8010,295,192,2.491915301,1.792369272,57.883137337,313.315853815,7.315158844,18,0.000000000,nan,nan,0.000000000,13.433854969,5.937259994,0.107047032,0.479173963,6.519383984,0,0.500000000
0.599087477,19968,3275,0,12018,7950,16689,486,273,271,161,110,8811,7878,297,189,2.479140737,1.833312286,55.050178577,326.491892594,9.237766266,22,0.000000000,nan,nan,0.000000000,4.393300973,1.728477946,0.033698103,0.157362025,1.923354983,0,0.500000000
0.699386597,20064,3306,0,12043,8021,16754,495,288,287,175,112,8811,7943,306,189,2.481367583,1.825072917,59.315718694,376.090849484,7.504940033,18,0.000000000,nan,nan,0.000000000,8.119651000,3.671433893,0.080927100,0.124251994,4.126974964,0,0.500000000
0.799233675,19968,3348,0,12085,7883,16616,483,281,281,170,111,8801,7815,298,185,2.484101891,1.818750468,59.069061132,335.974542072,7.988452911,22,0.000000000,nan,nan,0.000000000,13.652861991,5.363969947,0.088486006,0.325886998,6.040353037,0,0.500000000
0.898989677,19968,3214,0,12049,7919,16750,496,288,290,176,114,8907,7843,307,189,2.490995087,1.776614988,62.442346933,347.687879713,5.773305893,20,0.000000000,nan,nan,0.000000000,8.016704989,1.432155957,0.030906987,0.142729026,1.606387028,0,0.500000000
1.001548529,19680,3322,0,11986,7694,16354,491,280,280,167,113,8727,7627,303,188,2.531835316,1.767251755,55.173988899,351.236545478,5.585670471,6,0.000000000,nan,nan,0.000000000,14.050119033,6.381526939,0.133328955,0.406031031,7.136798988,0,0.500000000
1.099423885,20448,3191,0,12469,7979,17253,493,286,288,170,118,9346,7907,306,187,2.435314155,1.792143376,58.763387220,348.783415279,8.004426956,33,0.000000000,nan,nan,0.000000000,16.848990985,7.338782947,0.148450024,0.408533961,8.166529995,0,0.500000000
1.200621128,20064,3469,0,12273,7791,16591,488,279,280,164,116,8872,7719,302,186,2.505903453,1.754862119,55.991964104,335.810425509,6.994009018,18,0.000000000,nan,nan,0.000000000,7.917471987,1.364124997,0.029215007,0.106039981,1.532345952,0,0.500000000
1.298993111,19776,2827,0,11873,7903,16945,494,270,270,160,110,9113,7832,308,186,2.469233221,1.778414776,55.779299229,343.631869500,6.553649902,21,0.000000000,nan,nan,0.000000000,9.198162006,2.406198008,0.028568960,0.097181997,2.574743005,0,0.500000000
1.399050474,20256,3460,0,12437,7819,16792,489,270,270,164,106,9043,7749,305,184,2.469922279,1.777145215,57.367920811,312.341291645,7.626533508,14,0.000000000,nan,nan,0.000000000,7.213494042,2.163978934,0.028549053,0.052164018,2.330909949,0,0.500000000
1.500370502,19488,2734,0,11628,7860,16750,493,264,264,160,104,8961,7789,310,183,2.503177757,1.787060719,60.676373401,315.937262487,7.523536682,27,0.000000000,nan,nan,0.000000000,3.059962997,1.431251992,0.027286937,0.102685997,1.590764034,0,0.500000000
1.598991871,20160,3453,0,12585,7575,16703,495,267,267,158,109,9198,7505,308,187,2.443454931,1.777331419,60.392413940,319.537907532,7.610082626,15,0.000000000,nan,nan,0.000000000,14.952974976,6.980324048,0.138250994,0.416158000,7.830001006,0,0.500000000
1.700262785,19680,3259,0,11825,7855,16417,493,269,267,158,109,8632,7785,301,192,2.567088181,1.774155824,67.958872775,305.066778611,6.127834320,11,0.000000000,nan,nan,0.000000000,10.073563026,4.719400022,0.086492044,0.241225003,5.208755028,0,0.500000000
1.799850464,19872,3513,0,12390,7482,16355,492,275,276,168,108,8938,7417,309,183,2.487974052,1.752524507,64.121426928,335.145630954,8.502483368,17,0.000000000,nan,nan,0.000000000,8.300834976,1.439628017,0.029619958,0.082481012,1.610606036,0,0.500000000
1.899638653,20352,3303,0,12226,8126,17045,492,261,258,152,106,8991,8054,300,192,2.472474258,1.712506374,61.049006223,316.373407932,7.600069046,31,0.000000000,nan,nan,0.000000000,15.011019015,6.959319056,0.134512957,0.434856047,7.727643999,0,0.500000000
1.999054193,20064,3627,0,12475,7589,16433,484,262,260,155,105,8919,7514,302,182,2.465557639,1.762405107,63.599341163,315.913091146,6.958484650,25,0.000000000,nan,nan,0.000000000,12.862132979,5.295409064,0.093247974,0.143070996,5.842693034,0,0.500000000
