Linux 6.8.0-87-generic (jschoi) 	09/07/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:51:41 PM  1000   2763126    6.00    2.00    0.00    0.00    8.00    14   4744.00      0.00 2594856  166436   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:51:42 PM  1000   2763126   19.00    3.00    0.00    0.00   22.00     2   6956.00      0.00 2595716  185436   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:51:43 PM  1000   2763126   20.00    3.00    0.00    0.00   23.00     0   4337.00      0.00 2595716  197632   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:51:44 PM  1000   2763126   15.00    3.00    0.00    0.00   18.00    14   2210.00      0.00 2597288  197104   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:51:45 PM  1000   2763126   21.00    3.00    0.00    0.00   24.00    14   1275.00      0.00 2595744  197912   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:51:46 PM  1000   2763126   15.00    2.00    0.00    0.00   17.00    10   1876.00      0.00 2597148  197684   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:51:47 PM  1000   2763126   21.00    2.00    0.00    0.00   23.00     4   2543.00      0.00 2597148  204232   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:51:48 PM  1000   2763126   19.00    2.00    0.00    0.00   21.00     4   2040.00      0.00 2595744  202756   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:51:49 PM  1000   2763126   19.00    2.00    0.00    0.00   21.00     8   2423.00      0.00 2595744  205080   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:51:50 PM  1000   2763126   19.00    2.00    0.00    0.00   21.00     8   1710.00      0.00 2595744  208012   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:51:51 PM  1000   2763126   19.00    3.00    0.00    0.00   22.00    12   1027.00      0.00 2597264  206052   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:51:52 PM  1000   2763126   16.00    4.00    0.00    0.00   20.00     6   2271.00      0.00 2595744  205756   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:51:53 PM  1000   2763126   19.00    2.00    0.00    0.00   21.00    12   1111.00      0.00 2595744  202824   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:51:54 PM  1000   2763126   18.00    3.00    0.00    0.00   21.00    14   2180.00      0.00 2599008  207724   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:51:55 PM  1000   2763126   18.00    3.00    0.00    0.00   21.00     0   1945.00      0.00 2599008  206512   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:51:56 PM  1000   2763126   19.00    2.00    0.00    0.00   21.00     2   2360.00      0.00 2599008  211860   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
