Linux 6.8.0-87-generic (jschoi) 	09/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:42:54 PM  1000   1923636    5.00    2.00    0.00    0.00    7.00     0   4930.00      0.00 2595516  168532   0.52  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:42:55 PM  1000   1923636   27.00    5.00    0.00    0.00   32.00    11   8963.00      0.00 2597428  192248   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:42:56 PM  1000   1923636   22.00    2.00    0.00    0.00   24.00     2   3531.00      0.00 2598244  196272   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:42:57 PM  1000   1923636   23.00    4.00    0.00    0.00   27.00     6   3360.00      0.00 2598252  196556   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:42:58 PM  1000   1923636   24.00    3.00    0.00    0.00   27.00     2   3753.00      0.00 2598852  206364   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:42:59 PM  1000   1923636   23.00    3.00    0.00    0.00   26.00     2   2776.00      0.00 2598852  207716   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:00 PM  1000   1923636   24.00    3.00    0.00    0.00   27.00     3    883.00      0.00 2599020  211172   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:01 PM  1000   1923636   24.00    2.00    0.00    0.00   26.00     3   1550.00      0.00 2599020  213668   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:02 PM  1000   1923636   21.00    2.00    0.00    0.00   23.00     3   1256.00      0.00 2599020  213096   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:03 PM  1000   1923636   25.00    2.00    0.00    0.00   27.00     3   1588.00      0.00 2599020  210824   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:04 PM  1000   1923636   25.00    2.00    0.00    0.00   27.00    10   1590.00      0.00 2599020  213552   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:05 PM  1000   1923636   24.00    3.00    0.00    0.00   27.00    11   2670.00      0.00 2599020  216408   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:06 PM  1000   1923636   23.00    2.00    0.00    0.00   25.00    11   1192.00      0.00 2599020  215688   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:07 PM  1000   1923636   23.00    2.00    0.00    0.00   25.00    11   1591.00      0.00 2599020  217684   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:08 PM  1000   1923636   24.00    2.00    0.00    0.00   26.00     8   1394.00      0.00 2599020  218508   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:09 PM  1000   1923636   23.00    2.00    0.00    0.00   25.00    14    954.00      0.00 2599020  218108   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
