relative_time,raw_point_count,blind_rejected,front_rejected,front_raw_count,back_raw_count,feats_undistort_size,feats_down_size,eff_feat_num_first,eff_feat_num_last,front_effL,back_effL,front_undist,back_undist,front_down,back_down,front_range_med,back_range_med,t_lambda_min,r_lambda_min,imu_dt_max_ms,imu_count,imu_degraded,lidar_weak_rotation,combined_risk,near_wall,total_time,match_time,solve_time,map_incre_time,kf_update_time,deskew_enable,current_voxel_size
0.000000000,20256,3242,0,12121,8135,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.008097995,nan,nan,nan,nan,0,nan
0.098768711,19968,3130,0,11715,8253,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.669448853,26,0.000000000,nan,nan,nan,0.075827993,nan,nan,nan,nan,0,nan
0.198104620,19968,3207,0,11729,8239,16757,992,nan,nan,nan,nan,8518,8239,659,333,1.785144541,1.461065724,nan,nan,6.342649460,20,0.000000000,nan,nan,0.000000000,4.779778013,nan,nan,nan,nan,0,0.200000000
0.298015833,19968,3084,0,11562,8406,16880,1000,974,975,661,314,8478,8402,667,333,1.783160528,1.458023980,168.001612770,384.856909150,6.102561951,20,0.000000000,nan,nan,0.000000000,8.191627974,2.935311961,0.164289988,1.655119006,3.615699010,0,0.200000000
0.398075581,20160,3308,0,11809,8351,16848,985,856,856,577,279,8500,8348,651,334,1.786831833,1.453410471,165.100633993,336.700017576,7.925271988,16,0.000000000,nan,nan,0.000000000,17.714966001,8.683234046,0.252450001,0.567165000,9.710329003,0,0.200000000
0.498265266,19968,3039,0,11542,8426,16925,1008,839,834,577,257,8503,8422,675,333,1.790472001,1.452881769,170.717790824,314.323770693,7.261276245,24,0.000000000,nan,nan,0.000000000,11.076192983,2.817570028,0.091205002,0.222306000,3.217069985,0,0.200000000
0.598242521,20064,3257,0,11918,8146,16803,1013,811,813,565,248,8661,8142,685,328,1.779946642,1.459783188,168.565729928,331.082066627,6.909608841,18,0.000000000,nan,nan,0.000000000,11.840570020,5.472150020,0.151481014,0.144379999,6.067543000,0,0.200000000
0.698038340,19968,2937,0,11506,8462,17027,987,738,742,529,213,8565,8462,662,325,1.788926770,1.448224584,140.141027384,277.922827337,6.646394730,22,0.000000000,nan,nan,0.000000000,5.551088980,3.110958001,0.102723017,0.153508008,3.541953978,0,0.200000000
0.798029661,19872,3134,0,11749,8123,16734,1005,740,741,525,216,8611,8123,674,331,1.785398784,1.460628929,142.480367178,295.001053251,nan,1,nan,nan,nan,0.000000000,8.365428017,4.479321971,0.109691988,0.132245012,4.928412003,0,0.200000000
0.899129629,19968,2779,0,11449,8519,17185,1014,724,728,520,208,8666,8519,685,329,1.785113443,1.446617043,147.093088508,264.891914934,7.006168365,38,0.000000000,nan,nan,0.000000000,7.036711992,3.415546962,0.103586004,0.158242998,3.887444997,0,0.200000000
0.997943878,19872,2673,0,11351,8521,17195,992,716,715,511,204,8675,8520,669,323,1.778980073,1.445235119,143.960342067,268.948504425,6.711721420,18,0.000000000,nan,nan,0.000000000,9.786101000,2.559164976,0.079682999,0.083987979,2.868378011,0,0.200000000
1.098298311,19392,2230,0,11018,8374,17158,1009,738,736,529,207,8784,8374,682,327,1.779058048,1.454485653,154.803985550,265.400827740,6.219625473,13,0.000000000,nan,nan,0.000000000,17.027232010,9.381677984,0.264991977,0.183619006,10.513350979,0,0.200000000
1.197992325,19968,2965,0,11494,8474,16999,1012,723,722,523,199,8528,8471,680,332,1.788705093,1.447028306,142.200164191,261.194601530,6.581306458,30,0.000000000,nan,nan,0.000000000,4.806804005,2.588502015,0.077723002,0.074299984,2.927707013,0,0.200000000
1.298125505,19968,3037,0,11618,8350,16927,1009,701,698,507,191,8579,8348,684,325,1.791440240,1.454476908,145.710396623,250.573650982,6.015777588,20,0.000000000,nan,nan,0.000000000,5.010035995,2.658929006,0.075598044,0.067986024,2.992469992,0,0.200000000
1.398105383,19680,3049,0,11549,8131,16627,1013,696,697,497,200,8499,8128,685,328,1.792797521,1.461991602,140.119974361,249.395189990,6.098031998,11,0.000000000,nan,nan,0.000000000,4.609255993,2.667269961,0.073336007,0.076094992,2.972341987,0,0.200000000
