Linux 6.8.0-87-generic (jschoi) 	09/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:25:45 PM  1000   1902237    6.00    2.00    0.00    0.00    8.00     8   4141.00      0.00 2595524  166084   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:25:46 PM  1000   1902237   22.00    5.00    0.00    0.00   27.00     8   9651.00      0.00 2596412  188864   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:25:47 PM  1000   1902237   24.00    4.00    0.00    0.00   28.00     2   4769.00      0.00 2596412  195488   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:25:48 PM  1000   1902237   22.00    3.00    0.00    0.00   25.00     6   3509.00      0.00 2596420  197988   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:25:49 PM  1000   1902237   23.00    2.00    0.00    0.00   25.00     6   3552.00      0.00 2596456  204084   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:25:50 PM  1000   1902237   22.00    3.00    0.00    0.00   25.00     6   2306.00      0.00 2598112  209968   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:25:51 PM  1000   1902237   23.00    3.00    0.00    0.00   26.00     6   2492.00      0.00 2598112  213804   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:25:52 PM  1000   1902237   24.00    2.00    0.00    0.00   26.00    14   1675.00      0.00 2598648  210408   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:25:53 PM  1000   1902237   22.00    2.00    0.00    0.00   24.00     0   1153.00      0.00 2598648  207696   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:25:54 PM  1000   1902237   23.00    3.00    0.00    0.00   26.00     6   1726.00      0.00 2598648  211004   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:25:55 PM  1000   1902237   25.00    2.00    0.00    0.00   27.00     4   1911.00      0.00 2598648  211680   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:25:56 PM  1000   1902237   23.00    3.00    0.00    0.00   26.00     6   1678.00      0.00 2598648  212968   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:25:57 PM  1000   1902237   22.00    2.00    0.00    0.00   24.00     6   1422.00      0.00 2598648  212320   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:25:58 PM  1000   1902237   22.00    2.00    0.00    0.00   24.00     2   1041.00      0.00 2599228  211332   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:25:59 PM  1000   1902237   24.00    2.00    0.00    0.00   26.00     0   2472.00      0.00 2597416  211532   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:26:00 PM  1000   1902237   25.00    3.00    0.00    0.00   28.00     4   2303.00      0.00 2597416  209000   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:26:01 PM  1000   1902237   19.00    3.00    0.00    0.00   22.00     2   1909.00      0.00 2599188  212856   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:26:02 PM  1000   1902237   22.00    2.00    0.00    0.00   24.00     2   1463.00      0.00 2599188  212448   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:26:03 PM  1000   1902237   22.00    2.00    0.00    0.00   24.00     2   1154.00      0.00 2599188  213736   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:26:04 PM  1000   1902237   20.00    3.00    0.00    0.00   23.00     6   2650.00      0.00 2599288  213764   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
