Linux 6.8.0-87-generic (jschoi) 	09/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:53:23 PM  1000   1936845    0.99    0.99    0.00    0.00    1.98    14     74.26      0.00 2593184  152448   0.47  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:53:24 PM  1000   1936845   15.00    6.00    0.00    0.00   21.00     2  10885.00      0.00 2596352  189196   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:53:25 PM  1000   1936845   21.00    4.00    0.00    0.00   25.00     2   4535.00      0.00 2596352  202392   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:53:26 PM  1000   1936845   21.00    2.00    0.00    0.00   23.00    12   2867.00      0.00 2596352  207560   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:53:27 PM  1000   1936845   24.00    4.00    0.00    0.00   28.00     6   3168.00      0.00 2596416  210172   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:53:28 PM  1000   1936845   27.00    2.00    0.00    0.00   29.00    14   2308.00      0.00 2596468  207272   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:53:29 PM  1000   1936845   23.00    3.00    0.00    0.00   26.00     0   2355.00      0.00 2598312  211560   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:53:30 PM  1000   1936845   22.00    3.00    0.00    0.00   25.00     8   2019.00      0.00 2596792  210236   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:53:31 PM  1000   1936845   21.00    2.00    0.00    0.00   23.00     8   1844.00      0.00 2596792  211984   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:53:32 PM  1000   1936845   20.00    4.00    0.00    0.00   24.00     2   1736.00      0.00 2598808  210944   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:53:33 PM  1000   1936845   23.00    2.00    0.00    0.00   25.00     4   2494.00      0.00 2596880  214576   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:53:34 PM  1000   1936845   19.00    2.00    0.00    0.00   21.00    12   1397.00      0.00 2596972  211260   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:53:35 PM  1000   1936845   24.00    1.00    0.00    0.00   25.00    14   1234.00      0.00 2598552  208740   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:53:36 PM  1000   1936845   19.00    3.00    0.00    0.00   22.00     9   1817.00      0.00 2598552  214028   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:53:37 PM  1000   1936845   24.00    3.00    0.00    0.00   27.00     9   2397.00      0.00 2597064  214172   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:53:38 PM  1000   1936845   22.00    1.00    0.00    0.00   23.00     2    522.00      0.00 2598680  214308   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
