Linux 6.8.0-87-generic (jschoi) 	09/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:54:09 PM  1000   2080159    4.00    3.00    0.00    0.00    7.00     2   3229.00      0.00 2593936  161240   0.49  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:54:10 PM  1000   2080159   25.00    4.00    0.00    0.00   29.00     0   8424.00      0.00 2595732  189464   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:54:11 PM  1000   2080159   23.00    3.00    0.00    0.00   26.00     0   5222.00      0.00 2597368  202804   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:54:12 PM  1000   2080159   21.00    2.00    0.00    0.00   23.00     2   3297.00      0.00 2597380  206288   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:54:13 PM  1000   2080159   23.00    2.00    0.00    0.00   25.00    10   2776.00      0.00 2597572  209000   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:54:14 PM  1000   2080159   24.00    2.00    0.00    0.00   26.00    10   1595.00      0.00 2597572  211892   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:54:15 PM  1000   2080159   24.00    2.00    0.00    0.00   26.00    11   1411.00      0.00 2597572  215472   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:54:16 PM  1000   2080159   21.00    2.00    0.00    0.00   23.00     4    942.00      0.00 2597572  215456   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:54:17 PM  1000   2080159   23.00    2.00    0.00    0.00   25.00    11    755.00      0.00 2597572  213064   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:54:18 PM  1000   2080159   23.00    3.00    0.00    0.00   26.00    14   1442.00      0.00 2595848  213864   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:54:19 PM  1000   2080159   22.00    3.00    0.00    0.00   25.00    11    999.00      0.00 2597348  214552   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:54:20 PM  1000   2080159   23.00    2.00    0.00    0.00   25.00    11   1684.00      0.00 2595848  213104   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:54:21 PM  1000   2080159   22.00    2.00    0.00    0.00   24.00    11   1618.00      0.00 2596400  213020   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:54:22 PM  1000   2080159   24.00    1.00    0.00    0.00   25.00    11   1726.00      0.00 2596400  216480   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:54:23 PM  1000   2080159   24.00    2.00    0.00    0.00   26.00    11   1464.00      0.00 2598020  217772   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:54:24 PM  1000   2080159   23.00    1.00    0.00    0.00   24.00    11    211.00      0.00 2598020  214992   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
