Linux 6.8.0-87-generic (jschoi) 	09/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:05 AM  1000   1175636    5.00    2.00    0.00    0.00    7.00     9   3720.00      0.00 2593924  164016   0.50  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:06 AM  1000   1175636   19.00    4.00    0.00    0.00   23.00     9   5866.00      0.00 2595476  181420   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:07 AM  1000   1175636   21.00    3.00    0.00    0.00   24.00     9   4719.00      0.00 2595476  190068   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:08 AM  1000   1175636   21.00    3.00    0.00    0.00   24.00     4   4861.00      0.00 2598464  197164   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:09 AM  1000   1175636   19.00    3.00    0.00    0.00   22.00     6   3128.00      0.00 2598464  202652   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:10 AM  1000   1175636   21.00    3.00    0.00    0.00   24.00     0   1568.00      0.00 2598464  204692   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:11 AM  1000   1175636   20.00    3.00    0.00    0.00   23.00    14   2128.00      0.00 2598472  201140   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:12 AM  1000   1175636   18.00    3.00    0.00    0.00   21.00    12    958.00      0.00 2598472  201280   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:13 AM  1000   1175636   19.00    2.00    0.00    0.00   21.00    12   2883.00      0.00 2598472  210876   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:14 AM  1000   1175636   17.00    3.00    0.00    0.00   20.00     8   1194.00      0.00 2598472  212208   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:15 AM  1000   1175636   18.00    2.00    0.00    0.00   20.00     2   1456.00      0.00 2598472  209092   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:16 AM  1000   1175636   19.00    3.00    0.00    0.00   22.00     2   2232.00      0.00 2598472  212640   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:17 AM  1000   1175636   18.00    2.00    0.00    0.00   20.00     3    758.00      0.00 2598472  212964   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:18 AM  1000   1175636   17.00    2.00    0.00    0.00   19.00     2    550.00      0.00 2598472  209056   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:19 AM  1000   1175636   17.00    2.00    0.00    0.00   19.00     3   1813.00      0.00 2598472  210892   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:40:20 AM  1000   1175636   20.00    2.00    0.00    0.00   22.00     3   1229.00      0.00 2598472  211640   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
