Linux 6.8.0-87-generic (jschoi) 	09/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:09:52 AM  1000   1491941    2.00    2.00    0.00    0.00    4.00     6   3031.00      0.00 2593928  160300   0.49  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:09:53 AM  1000   1491941   24.00    3.00    0.00    0.00   27.00     6   7261.00      0.00 2596964  188012   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:09:54 AM  1000   1491941   21.00    3.00    0.00    0.00   24.00    12   4115.00      0.00 2597296  199164   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:09:55 AM  1000   1491941   22.00    3.00    0.00    0.00   25.00     4   3640.00      0.00 2595588  198624   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:09:56 AM  1000   1491941   19.00    3.00    0.00    0.00   22.00    14   2752.00      0.00 2595588  200408   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:09:57 AM  1000   1491941   21.00    4.00    0.00    0.00   25.00    12   3181.00      0.00 2595588  203924   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:09:58 AM  1000   1491941   21.00    2.00    0.00    0.00   23.00     8   2091.00      0.00 2597028  207596   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:09:59 AM  1000   1491941   20.00    2.00    0.00    0.00   22.00     8   1377.00      0.00 2597028  211188   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:10:00 AM  1000   1491941   20.00    3.00    0.00    0.00   23.00     0   1329.00      0.00 2597044  210488   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:10:01 AM  1000   1491941   20.00    2.00    0.00    0.00   22.00    14    634.00      0.00 2597044  213176   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:10:02 AM  1000   1491941   22.00    2.00    0.00    0.00   24.00     0   1279.00      0.00 2597044  208352   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:10:03 AM  1000   1491941   18.00    3.00    0.00    0.00   21.00     0   1437.00      0.00 2597044  207020   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:10:04 AM  1000   1491941   19.00    2.00    0.00    0.00   21.00     4   1825.00      0.00 2595604  208856   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:10:05 AM  1000   1491941   20.00    3.00    0.00    0.00   23.00     4    807.00      0.00 2597692  212120   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:10:06 AM  1000   1491941   22.00    3.00    0.00    0.00   25.00     6   1585.00      0.00 2597692  213272   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:10:07 AM  1000   1491941   20.00    3.00    0.00    0.00   23.00     8    497.00      0.00 2597692  213236   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
