Linux 6.8.0-87-generic (jschoi) 	09/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:14 AM  1000   1203189    8.00    2.00    0.00    0.00   10.00    14   5353.00      0.00 2595444  168924   0.52  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:15 AM  1000   1203189   21.00    4.00    0.00    0.00   25.00    12   7002.00      0.00 2598120  194736   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:16 AM  1000   1203189   22.00    2.00    0.00    0.00   24.00    11   2660.00      0.00 2598168  200876   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:17 AM  1000   1203189   23.00    2.00    0.00    0.00   25.00    12   2541.00      0.00 2598168  207656   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:18 AM  1000   1203189   19.00    3.00    0.00    0.00   22.00    12   1319.00      0.00 2598168  213032   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:19 AM  1000   1203189   18.00    2.00    0.00    0.00   20.00    14   1867.00      0.00 2598168  215232   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:20 AM  1000   1203189   21.00    3.00    0.00    0.00   24.00    14   1219.00      0.00 2598588  214632   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:21 AM  1000   1203189   18.00    3.00    0.00    0.00   21.00     4    995.00      0.00 2598588  212684   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:22 AM  1000   1203189   23.00    2.00    0.00    0.00   25.00     6   1250.00      0.00 2598588  213840   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:23 AM  1000   1203189   22.00    2.00    0.00    0.00   24.00    12   1564.00      0.00 2598588  211428   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:24 AM  1000   1203189   20.00    2.00    0.00    0.00   22.00     0    907.00      0.00 2598588  209492   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:25 AM  1000   1203189   20.00    4.00    0.00    0.00   24.00     0   2579.00      0.00 2598588  211660   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:26 AM  1000   1203189   22.00    2.00    0.00    0.00   24.00     4   1505.00      0.00 2598588  212552   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:27 AM  1000   1203189   20.00    3.00    0.00    0.00   23.00    10   1936.00      0.00 2598588  214728   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:28 AM  1000   1203189   17.00    2.00    0.00    0.00   19.00     4    461.00      0.00 2598588  214784   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:02:29 AM  1000   1203189   21.00    2.00    0.00    0.00   23.00     2    520.00      0.00 2598588  213488   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
