Linux 6.8.0-87-generic (jschoi) 	09/04/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:32:48 PM  1000     81859    7.00    2.00    0.00    0.00    9.00     8   6445.00      0.00 2595836  171616   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:32:49 PM  1000     81859   24.00    3.00    0.00    0.00   27.00     6   6832.00      0.00 2597284  193044   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:32:50 PM  1000     81859   25.00    2.00    0.00    0.00   27.00    12   5007.00      0.00 2597284  209464   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:32:51 PM  1000     81859   26.00    3.00    0.00    0.00   29.00    12   1833.00      0.00 2597300  214176   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:32:52 PM  1000     81859   26.00    1.00    0.00    0.00   27.00     0   1883.00      0.00 2597832  216160   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:32:53 PM  1000     81859   27.00    2.00    0.00    0.00   29.00     0   2155.00      0.00 2595928  216712   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:32:54 PM  1000     81859   25.00    1.00    0.00    0.00   26.00     2    579.00      0.00 2596504  216908   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:32:55 PM  1000     81859   22.00    2.00    0.00    0.00   24.00     6   1443.00      0.00 2598296  222476   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:32:56 PM  1000     81859   29.00    1.00    0.00    0.00   30.00     8   1592.00      0.00 2599672  222128   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:32:57 PM  1000     81859   24.00    1.00    0.00    0.00   25.00    14   1527.00      0.00 2599672  223776   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:32:58 PM  1000     81859   23.00    2.00    0.00    0.00   25.00     8    905.00      0.00 2599672  221176   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:32:59 PM  1000     81859   25.00    1.00    0.00    0.00   26.00    14   1132.00      0.00 2598292  221412   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:33:00 PM  1000     81859   30.00    1.00    0.00    0.00   31.00     2   1141.00      0.00 2600304  225636   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:33:01 PM  1000     81859   22.00    1.00    0.00    0.00   23.00    14    621.00      0.00 2600408  224716   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:33:02 PM  1000     81859   25.00    1.00    0.00    0.00   26.00    14   1200.00      0.00 2601740  225400   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:33:03 PM  1000     81859   26.00    2.00    0.00    0.00   28.00    14   1336.00      0.00 2601848  230776   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:33:04 PM  1000     81859   25.00    1.00    0.00    0.00   26.00     2    458.00      0.00 2601960  229768   0.70  fastlio_mapping

