Linux 6.8.0-87-generic (jschoi) 	09/04/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:40 PM  1000     85361    9.90    2.97    0.00    0.00   12.87    15   6750.50      0.00 2597556  175524   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:41 PM  1000     85361   28.00    3.00    0.00    0.00   31.00     0   6993.00      0.00 2597572  197124   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:42 PM  1000     85361   24.00    3.00    0.00    0.00   27.00     2   4377.00      0.00 2597572  214788   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:43 PM  1000     85361   26.00    2.00    0.00    0.00   28.00     2   1851.00      0.00 2597620  216172   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:44 PM  1000     85361   27.00    3.00    0.00    0.00   30.00     6   2517.00      0.00 2598384  219480   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:45 PM  1000     85361   25.00    1.00    0.00    0.00   26.00     6    649.00      0.00 2599132  221328   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:46 PM  1000     85361   28.00    2.00    0.00    0.00   30.00     6    633.00      0.00 2599132  223824   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:47 PM  1000     85361   23.00    2.00    0.00    0.00   25.00     4    449.00      0.00 2599132  223708   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:48 PM  1000     85361   28.00    2.00    0.00    0.00   30.00     4   1085.00      0.00 2599132  223900   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:49 PM  1000     85361   26.00    1.00    0.00    0.00   27.00     2    916.00      0.00 2599132  224916   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:50 PM  1000     85361   24.00    3.00    0.00    0.00   27.00     4    266.00      0.00 2599132  225876   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:51 PM  1000     85361   27.00    2.00    0.00    0.00   29.00     2    330.00      0.00 2599132  227220   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:52 PM  1000     85361   25.00    2.00    0.00    0.00   27.00     2    555.00      0.00 2599136  227424   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:53 PM  1000     85361   24.00    1.00    0.00    0.00   25.00     8    101.00      0.00 2599136  226164   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:54 PM  1000     85361   24.00    3.00    0.00    0.00   27.00     6   1362.00      0.00 2601744  223224   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:55 PM  1000     85361   31.00    2.00    0.00    0.00   33.00    12   1877.00      0.00 2601744  223924   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:39:56 PM  1000     85361   27.00    1.00    0.00    0.00   28.00    12   1519.00      0.00 2601180  226200   0.69  fastlio_mapping

