Linux 6.8.0-87-generic (jschoi) 	09/04/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:21:34 PM  1000     45665    3.00    2.00    0.00    0.00    5.00    10   1989.00      0.00 2595832  156148   0.48  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:21:35 PM  1000     45665   24.00    4.00    0.00    0.00   28.00     4   8656.00      0.00 2596672  187664   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:21:36 PM  1000     45665   26.00    3.00    0.00    0.00   29.00     4   4747.00      0.00 2596672  199576   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:21:37 PM  1000     45665   30.00    2.00    0.00    0.00   32.00     8   3754.00      0.00 2597660  204108   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:21:38 PM  1000     45665   28.00    3.00    0.00    0.00   31.00     2   2583.00      0.00 2597660  200572   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:21:39 PM  1000     45665   30.00    3.00    0.00    0.00   33.00     8   4531.00      0.00 2599192  204400   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:21:40 PM  1000     45665   25.00    2.00    0.00    0.00   27.00     2   2817.00      0.00 2599192  204944   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:21:41 PM  1000     45665   28.00    2.00    0.00    0.00   30.00    10   3781.00      0.00 2598372  201956   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:21:42 PM  1000     45665   26.00    2.00    0.00    0.00   28.00     8   2856.00      0.00 2599908  204688   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:21:43 PM  1000     45665   25.00    3.00    0.00    0.00   28.00    12   2741.00      0.00 2600792  207300   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:21:44 PM  1000     45665   24.00    3.00    0.00    0.00   27.00     2   3602.00      0.00 2600792  211280   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:21:45 PM  1000     45665   25.00    3.00    0.00    0.00   28.00    10   2190.00      0.00 2600792  218188   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:21:46 PM  1000     45665   26.00    2.00    0.00    0.00   28.00     2    683.00      0.00 2602920  216808   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:21:47 PM  1000     45665   27.00    2.00    0.00    0.00   29.00     2   2084.00      0.00 2603240  216728   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:21:48 PM  1000     45665   24.00    4.00    0.00    0.00   28.00     2   1685.00      0.00 2603240  223448   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:21:49 PM  1000     45665   23.00    2.00    0.00    0.00   25.00     0    698.00      0.00 2603240  223748   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:21:50 PM  1000     45665   26.00    2.00    0.00    0.00   28.00     2    899.00      0.00 2603580  227012   0.70  fastlio_mapping

