Linux 6.8.0-87-generic (jschoi) 	09/04/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:28:07 PM  1000     48949   10.00    3.00    0.00    0.00   13.00    14   5387.00      0.00 2595556  169704   0.52  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:28:08 PM  1000     48949   28.00    3.00    0.00    0.00   31.00     2   7350.00      0.00 2596496  194852   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:28:09 PM  1000     48949   26.00    3.00    0.00    0.00   29.00    12   3806.00      0.00 2598144  204904   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:28:10 PM  1000     48949   26.00    3.00    0.00    0.00   29.00    12   4251.00      0.00 2596548  208992   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:28:11 PM  1000     48949   27.00    2.00    0.00    0.00   29.00    13   1445.00      0.00 2596548  209192   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:28:12 PM  1000     48949   28.00    2.00    0.00    0.00   30.00    13   2504.00      0.00 2596548  214784   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:28:13 PM  1000     48949   23.00    2.00    0.00    0.00   25.00     8   1470.00      0.00 2597124  213992   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:28:14 PM  1000     48949   26.00    2.00    0.00    0.00   28.00     8   1547.00      0.00 2597124  214844   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:28:15 PM  1000     48949   23.00    1.00    0.00    0.00   24.00     8   1963.00      0.00 2598760  216672   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:28:16 PM  1000     48949   26.00    2.00    0.00    0.00   28.00     6   1145.00      0.00 2598760  214904   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:28:17 PM  1000     48949   25.00    3.00    0.00    0.00   28.00     0   1632.00      0.00 2598760  212568   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:28:18 PM  1000     48949   25.00    2.00    0.00    0.00   27.00    10   1903.00      0.00 2599076  215160   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:28:19 PM  1000     48949   22.00    2.00    0.00    0.00   24.00    10   1076.00      0.00 2599076  209728   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:28:20 PM  1000     48949   24.00    2.00    0.00    0.00   26.00     2   2055.00      0.00 2600616  211068   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:28:21 PM  1000     48949   24.00    2.00    0.00    0.00   26.00     8   2844.00      0.00 2600732  212816   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:28:22 PM  1000     48949   25.00    2.00    0.00    0.00   27.00    12   2438.00      0.00 2601712  222416   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:28:23 PM  1000     48949   23.00    1.00    0.00    0.00   24.00     8    712.00      0.00 2604852  225104   0.69  fastlio_mapping

