Linux 6.8.0-87-generic (jschoi) 	09/04/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:34:39 PM  1000     52331    7.00    3.00    0.00    0.00   10.00     4   4961.00      0.00 2596576  167920   0.52  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:34:40 PM  1000     52331   26.00    3.00    0.00    0.00   29.00     2   8394.00      0.00 2596600  192644   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:34:41 PM  1000     52331   24.00    2.00    0.00    0.00   26.00     8   3717.00      0.00 2596388  197324   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:34:42 PM  1000     52331   25.00    2.00    0.00    0.00   27.00     4   3610.00      0.00 2597956  203920   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:34:43 PM  1000     52331   27.00    2.00    0.00    0.00   29.00    12   3046.00      0.00 2597956  210952   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:34:44 PM  1000     52331   26.00    2.00    0.00    0.00   28.00     0   1960.00      0.00 2598236  209220   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:34:45 PM  1000     52331   25.00    2.00    0.00    0.00   27.00    14   1729.00      0.00 2598236  210688   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:34:46 PM  1000     52331   28.00    2.00    0.00    0.00   30.00    12   1190.00      0.00 2598536  211180   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:34:47 PM  1000     52331   24.00    3.00    0.00    0.00   27.00     2   1475.00      0.00 2598536  209672   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:34:48 PM  1000     52331   26.00    2.00    0.00    0.00   28.00    10   1869.00      0.00 2600412  209124   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:34:49 PM  1000     52331   22.00    3.00    0.00    0.00   25.00     0   3017.00      0.00 2600412  215824   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:34:50 PM  1000     52331   22.00    2.00    0.00    0.00   24.00     2   1121.00      0.00 2600412  216736   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:34:51 PM  1000     52331   24.00    3.00    0.00    0.00   27.00     2   1773.00      0.00 2600428  217912   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:34:52 PM  1000     52331   23.00    1.00    0.00    0.00   24.00     2   1688.00      0.00 2601712  215720   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:34:53 PM  1000     52331   28.00    2.00    0.00    0.00   30.00    12   1618.00      0.00 2601828  213200   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:34:54 PM  1000     52331   26.00    1.00    0.00    0.00   27.00    10   2047.00      0.00 2601936  212308   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:34:55 PM  1000     52331   21.00    2.00    0.00    0.00   23.00     2   3129.00      0.00 2603532  215948   0.66  fastlio_mapping

