Linux 6.8.0-87-generic (jschoi) 	09/04/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:39:33 PM  1000     23883    2.00    2.00    0.00    0.00    4.00     8     26.00      0.00 2527056  151680   0.47  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:39:34 PM  1000     23883    2.00    5.00    0.00    0.00    7.00     8      1.00      0.00 2527056  151680   0.47  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:39:35 PM  1000     23883    2.00    3.00    0.00    0.00    5.00    10      0.00      0.00 2527056  151680   0.47  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:39:36 PM  1000     23883    3.00    4.00    0.00    0.00    7.00     8      0.00      0.00 2527056  151680   0.47  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:39:37 PM  1000     23883    2.00    3.00    0.00    0.00    5.00    10      0.00      0.00 2527056  151680   0.47  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:39:38 PM  1000     23883   15.00    2.00    0.00    0.00   17.00    10   6947.00      0.00 2596440  170896   0.52  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:39:39 PM  1000     23883   13.00    0.00    0.00    0.00   13.00    10   3104.00      0.00 2596440  180964   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:39:40 PM  1000     23883   25.00    0.00    0.00    0.00   25.00    12   4977.00      0.00 2598060  195584   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:39:41 PM  1000     23883   23.00    0.00    0.00    0.00   23.00    12   4622.00      0.00 2598464  203048   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:39:42 PM  1000     23883   24.00    0.00    0.00    0.00   24.00     0   2936.00      0.00 2596552  209796   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:39:43 PM  1000     23883   24.00    0.00    0.00    0.00   24.00    12    920.00      0.00 2597140  211328   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
