Linux 6.8.0-87-generic (jschoi) 	09/04/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:49:45 PM  1000     60063    1.00    1.00    0.00    0.00    2.00    10     70.00      0.00 2593184  152448   0.47  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:49:46 PM  1000     60063    6.00    3.00    0.00    0.00    9.00     0  10443.00      0.00 2595712  179008   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:49:47 PM  1000     60063    3.00    4.00    0.00    0.00    7.00     0     93.00      0.00 2595712  179392   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:49:48 PM  1000     60063   12.00    1.00    0.00    0.00   13.00    14   6806.00      0.00 2599616  205200   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:49:49 PM  1000     60063   19.00    1.00    0.00    0.00   20.00    14   2650.00      0.00 2599616  213884   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:49:50 PM  1000     60063   24.00    1.00    0.00    0.00   25.00    14   2843.00      0.00 2599616  222736   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:49:51 PM  1000     60063   22.00    2.00    0.00    0.00   24.00    12   2436.00      0.00 2599860  220236   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:49:52 PM  1000     60063   24.00    2.00    0.00    0.00   26.00     8   4108.00      0.00 2597888  228152   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:49:53 PM  1000     60063   23.00    3.00    0.00    0.00   26.00    14   4663.00      0.00 2599680  236448   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:49:54 PM  1000     60063   22.00    2.00    0.00    0.00   24.00    14   1626.00      0.00 2599680  232600   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:49:55 PM  1000     60063   24.00    1.00    0.00    0.00   25.00    14   2451.00      0.00 2599680  234420   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:49:56 PM  1000     60063   20.00    2.00    0.00    0.00   22.00     0   2346.00      0.00 2600968  233012   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:49:57 PM  1000     60063   25.00    2.00    0.00    0.00   27.00    14   1319.00      0.00 2601768  227088   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:49:58 PM  1000     60063   23.00    2.00    0.00    0.00   25.00     0   3294.00      0.00 2601768  232188   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:49:59 PM  1000     60063   17.00    2.00    0.00    0.00   19.00     0   2918.00      0.00 2601768  232628   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:00 PM  1000     60063   23.00    1.00    0.00    0.00   24.00     0   3679.00      0.00 2601768  232956   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:50:01 PM  1000     60063   22.00    2.00    0.00    0.00   24.00     4   3827.00      0.00 2604420  240496   0.74  fastlio_mapping

