Linux 6.8.0-87-generic (jschoi) 	09/04/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:55:38 PM  1000     63094    1.00    1.00    0.00    0.00    2.00     8     73.00      0.00 2593184  152448   0.47  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:55:39 PM  1000     63094    6.00    4.00    0.00    0.00   10.00     0   9655.00      0.00 2596628  185248   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:55:40 PM  1000     63094    5.00    0.00    0.00    0.00    5.00    14      0.00      0.00 2596628  185248   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:55:41 PM  1000     63094   11.00    2.00    0.00    0.00   13.00    14   6481.00      0.00 2596960  208048   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:55:42 PM  1000     63094   10.00    3.00    0.00    0.00   13.00     8   2835.00      0.00 2599824  217328   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:55:43 PM  1000     63094   22.00    2.00    0.00    0.00   24.00    10   2934.00      0.00 2599836  225520   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:55:44 PM  1000     63094   22.00    3.00    0.00    0.00   25.00     2   3616.00      0.00 2599836  227736   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:55:45 PM  1000     63094   16.00    1.00    0.00    0.00   17.00    10   3068.00      0.00 2599836  233572   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:55:46 PM  1000     63094   12.00    3.00    0.00    0.00   15.00    10   1867.00      0.00 2599836  220280   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:55:47 PM  1000     63094    9.00    1.00    0.00    0.00   10.00    10   1220.00      0.00 2599836  225272   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:55:48 PM  1000     63094   22.00    1.00    0.00    0.00   23.00     2   2590.00      0.00 2599836  231364   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:55:49 PM  1000     63094   23.00    2.00    0.00    0.00   25.00     2   2354.00      0.00 2599836  229904   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:55:50 PM  1000     63094   22.00    2.00    0.00    0.00   24.00     4   2397.00      0.00 2599836  234216   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:55:51 PM  1000     63094   20.00    2.00    0.00    0.00   22.00     2   3969.00      0.00 2600920  229492   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:55:52 PM  1000     63094   17.00    2.00    0.00    0.00   19.00     4   2790.00      0.00 2601036  233636   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:55:53 PM  1000     63094   23.00    2.00    0.00    0.00   25.00     6   3202.00      0.00 2601152  237888   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:55:54 PM  1000     63094   22.00    2.00    0.00    0.00   24.00     4   3901.00      0.00 2603892  240264   0.74  fastlio_mapping

