relative_time,raw_point_count,blind_rejected,front_rejected,front_raw_count,back_raw_count,feats_undistort_size,feats_down_size,eff_feat_num_first,eff_feat_num_last,front_effL,back_effL,front_undist,back_undist,front_down,back_down,front_range_med,back_range_med,t_lambda_min,r_lambda_min,imu_dt_max_ms,imu_count,imu_degraded,lidar_weak_rotation,combined_risk,near_wall,total_time,match_time,solve_time,map_incre_time,kf_update_time,deskew_enable,current_voxel_size
0.000000000,19776,3493,0,12132,7644,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.986709000,nan,nan,nan,nan,0,nan
0.399324179,19968,3543,0,12362,7606,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.291184001,nan,nan,nan,nan,0,nan
0.701100349,19968,3721,0,12465,7503,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.088496000,nan,nan,nan,nan,0,nan
1.099391699,20064,3502,0,12426,7638,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.085323334,5,0.000000000,nan,nan,nan,0.011653000,nan,nan,nan,nan,0,nan
1.299375057,19968,3457,0,12226,7742,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.006732000,nan,nan,nan,nan,0,nan
1.399221659,19968,3439,0,12372,7596,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.008311000,nan,nan,nan,nan,0,nan
1.499260664,19968,3448,0,12250,7718,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.005096999,nan,nan,nan,nan,0,nan
1.598195553,20160,3528,0,12518,7642,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002902000,nan,nan,nan,nan,0,nan
1.699439049,19968,3503,0,12339,7629,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.305062000,nan,nan,nan,nan,0,nan
1.799250603,19872,3580,0,12408,7464,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.004758001,nan,nan,nan,nan,0,nan
1.899194241,20160,3516,0,12584,7576,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.007689000,nan,nan,nan,nan,0,nan
1.999341965,19584,3620,0,12107,7477,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.003448000,nan,nan,nan,nan,0,nan
2.100207329,20448,3544,0,12752,7696,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.696607590,2,0.000000000,nan,nan,nan,0.012196000,nan,nan,nan,nan,0,nan
2.201972961,19488,3578,0,12138,7350,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.031534195,18,0.000000000,nan,nan,nan,0.311857000,nan,nan,nan,nan,0,nan
2.297455311,20544,3568,0,12623,7921,16972,2096,nan,nan,nan,nan,9080,7892,1367,729,2.536270381,1.603620466,nan,nan,54.262161255,10,1.000000000,nan,nan,0.000000000,7.331953000,nan,nan,nan,nan,0,0.200000000
2.399363518,19872,3676,0,12395,7477,16192,2069,1973,1976,1311,665,8739,7453,1355,714,2.524225369,1.623532571,554.364345828,1697.077192104,7.678270340,9,0.000000000,nan,nan,0.000000000,10.727020000,6.239280000,0.182906999,1.147884001,6.852771000,0,0.200000000
2.498500824,20064,3440,0,12433,7631,16192,2069,1765,1763,1196,567,8739,7453,1355,714,2.524225369,1.623532571,498.837689099,1672.896672971,nan,nan,nan,nan,nan,0.000000000,6.440203000,5.135803000,0.096285000,0.239263000,5.510403000,0,0.200000000
2.601242781,19968,3684,0,12453,7515,16280,2095,1788,1787,1214,573,8793,7487,1382,713,2.548327552,1.617190423,495.986843471,1718.161900569,2.926349640,2,0.000000000,nan,nan,0.000000000,8.908288000,6.322003000,0.203849000,0.492978001,7.013740000,0,0.200000000
2.699316740,20064,3307,0,12513,7551,16753,2119,1662,1664,1139,525,9228,7525,1431,688,2.481292220,1.645416945,448.824299619,1648.497964906,7.301568985,17,0.000000000,nan,nan,0.000000000,12.273293000,8.065798001,0.211200000,0.411878001,8.803625000,0,0.200000000
2.802603960,20064,3662,0,12550,7514,16398,2106,1518,1524,1000,524,8908,7490,1389,717,2.587321704,1.603601476,407.405350782,1554.922969735,5.899190903,4,0.000000000,nan,nan,0.000000000,16.045676000,10.353259001,0.330091000,0.448868999,11.559719000,0,0.200000000
2.998221636,21024,3701,0,13005,8019,16398,2106,1538,1538,1016,522,8908,7490,1389,717,2.587321704,1.603601476,418.422409045,1503.766692671,nan,nan,nan,nan,nan,0.000000000,7.904283000,6.291564999,0.162303000,0.191871000,6.829562000,0,0.200000000
3.098780870,20160,3390,0,12410,7750,16398,2106,1530,1530,1014,516,8908,7490,1389,717,2.587321704,1.603601476,407.995862463,1498.599017691,nan,nan,nan,nan,nan,0.000000000,8.443982000,6.667737000,0.211952999,0.259479000,7.433439000,0,0.200000000
3.199244499,19968,3565,0,12329,7639,16398,2106,1530,1530,1014,516,8908,7490,1389,717,2.587321704,1.603601476,408.979846709,1498.638237098,nan,nan,nan,nan,nan,0.000000000,8.749592000,6.899434000,0.177575000,0.449648001,7.540459000,0,0.200000000
3.497735262,20160,3573,0,12558,7602,16398,2106,1519,1518,1002,516,8908,7490,1389,717,2.587321704,1.603601476,409.833703581,1492.940450136,nan,nan,nan,nan,nan,0.000000000,12.390156000,9.945500000,0.249522000,0.387558000,10.855084000,0,0.200000000
3.797135830,20256,3559,0,12657,7599,16693,2152,1540,1548,1021,527,9124,7569,1423,729,2.513053189,1.593079046,433.987449545,1576.235624379,39.896965027,15,1.000000000,nan,nan,0.000000000,26.330403000,17.331323998,0.448645999,0.328323001,18.698796001,0,0.200000000
3.898255110,19680,3305,0,12122,7558,16693,2152,1442,1442,935,507,9124,7569,1423,729,2.513053189,1.593079046,399.014523162,1492.515262683,nan,nan,nan,nan,nan,0.000000000,7.063702000,5.651405000,0.132689000,0.164305000,6.113712000,0,0.200000000
3.998463631,20256,3662,0,12769,7487,16590,2138,1425,1415,926,489,9128,7462,1409,729,2.506202768,1.571720520,394.321864782,1432.822045010,8.013248444,4,0.000000000,nan,nan,0.000000000,11.842233001,7.556418999,0.176971001,0.207533000,8.186913000,0,0.200000000
4.099277735,19296,3550,0,12099,7197,16590,2138,1379,1380,913,467,9128,7462,1409,729,2.506202768,1.571720520,377.389594372,1365.091138687,nan,nan,nan,nan,nan,0.000000000,7.236061000,5.901865999,0.112804000,0.172581000,6.316790000,0,0.200000000
4.198068619,20640,3716,0,12969,7671,16920,2176,1386,1392,936,456,9281,7639,1442,734,2.508811000,1.625711788,373.376747996,1313.471857310,5.511999130,5,0.000000000,nan,nan,0.000000000,24.215870000,16.889832000,0.273158000,0.201008999,17.819786000,0,0.200000000
4.299265862,20160,3880,0,12871,7289,16276,2109,1361,1355,919,436,9013,7263,1411,698,2.522583853,1.588287784,362.225231273,1348.488526961,26.333332062,3,1.000000000,nan,nan,0.000000000,14.807396000,8.414085999,0.171340000,0.183228000,9.044366000,0,0.200000000
4.399200439,20064,3956,0,12642,7422,16104,2122,1319,1316,870,446,8798,7306,1415,707,2.556013201,1.636487337,346.133025339,1317.128037895,89.947462082,2,1.000000000,nan,nan,0.000000000,13.150096000,6.012558000,0.151109999,0.189402000,6.610558000,0,0.200000000
4.499227047,20064,4274,0,13120,6944,15786,2062,1291,1292,868,424,9031,6755,1406,656,2.504361356,1.639513057,337.837354121,1341.276754429,63.375473022,6,1.000000000,nan,nan,0.000000000,16.577446000,8.947930000,0.220579000,0.207342000,9.674516000,0,0.200000000
