Linux 6.8.0-87-generic (jschoi) 	09/05/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:18 PM  1000    861036    4.00    0.00    0.00    0.00    4.00    14   2340.00      0.00 2593936  158572   0.49  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:19 PM  1000    861036   23.00    6.00    0.00    0.00   29.00    14   9762.00      0.00 2597352  195412   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:20 PM  1000    861036   21.00    4.00    0.00    0.00   25.00     0   3557.00      0.00 2597352  204096   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:21 PM  1000    861036   26.00    3.00    0.00    0.00   29.00     0   2795.00      0.00 2597584  208084   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:22 PM  1000    861036   23.00    2.00    0.00    0.00   25.00     0   1820.00      0.00 2597584  210048   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:23 PM  1000    861036   24.00    3.00    0.00    0.00   27.00     8   2428.00      0.00 2596276  209060   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:24 PM  1000    861036   24.00    2.00    0.00    0.00   26.00    11   1304.00      0.00 2597736  209148   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:25 PM  1000    861036   27.00    2.00    0.00    0.00   29.00    12   2076.00      0.00 2597736  208816   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:26 PM  1000    861036   19.00    3.00    0.00    0.00   22.00     2   2302.00      0.00 2599100  210564   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:27 PM  1000    861036   25.00    3.00    0.00    0.00   28.00     2   2229.00      0.00 2599100  213968   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:28 PM  1000    861036   28.00    2.00    0.00    0.00   30.00     2   2505.00      0.00 2600184  214456   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:29 PM  1000    861036   23.00    2.00    0.00    0.00   25.00    10   1400.00      0.00 2600184  210732   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:30 PM  1000    861036   28.00    3.00    0.00    0.00   31.00    10   2636.00      0.00 2600184  211152   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:31 PM  1000    861036   22.00    3.00    0.00    0.00   25.00    12   4111.00      0.00 2600184  212984   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:32 PM  1000    861036   27.00    2.00    0.00    0.00   29.00     2   3080.00      0.00 2601288  218600   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:33 PM  1000    861036   25.00    2.00    0.00    0.00   27.00    12   1385.00      0.00 2601288  223592   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:06:34 PM  1000    861036   24.00    2.00    0.00    0.00   26.00     6    412.00      0.00 2601288  224936   0.69  fastlio_mapping

