Linux 6.8.0-87-generic (jschoi) 	09/05/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:42:46 PM  1000    831082    7.00    3.00    0.00    0.00   10.00    12   4927.00      0.00 2600068  164540   0.50  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:42:47 PM  1000    831082   29.00    3.00    0.00    0.00   32.00     0   8091.00      0.00 2600068  191120   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:42:48 PM  1000    831082   32.00    2.00    0.00    0.00   34.00    14   4813.00      0.00 2601364  204508   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:42:49 PM  1000    831082   26.00    1.00    0.00    0.00   27.00    12   1551.00      0.00 2601364  205700   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:42:50 PM  1000    831082   28.00    2.00    0.00    0.00   30.00    10   2182.00      0.00 2601364  208408   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:42:51 PM  1000    831082   29.00    2.00    0.00    0.00   31.00     4   1861.00      0.00 2601364  206472   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:42:52 PM  1000    831082   24.00    2.00    0.00    0.00   26.00    10   1880.00      0.00 2601364  208424   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:42:53 PM  1000    831082   25.00    2.00    0.00    0.00   27.00    10   2333.00      0.00 2601364  211796   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:42:54 PM  1000    831082   24.00    3.00    0.00    0.00   27.00    14   2475.00      0.00 2602632  216260   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:42:55 PM  1000    831082   22.00    3.00    0.00    0.00   25.00    14   2099.00      0.00 2602632  211756   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:42:56 PM  1000    831082   28.00    2.00    0.00    0.00   30.00     8   3888.00      0.00 2602636  217064   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:42:57 PM  1000    831082   30.00    1.00    0.00    0.00   31.00     6   1292.00      0.00 2602644  217788   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:42:58 PM  1000    831082   29.00    3.00    0.00    0.00   32.00     8   2663.00      0.00 2602644  221860   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:42:59 PM  1000    831082   28.00    2.00    0.00    0.00   30.00    10    778.00      0.00 2602644  219680   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:43:00 PM  1000    831082   33.00    2.00    0.00    0.00   35.00     0    540.00      0.00 2603848  220568   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:43:01 PM  1000    831082   28.00    1.00    0.00    0.00   29.00     4    963.00      0.00 2603848  224600   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:43:02 PM  1000    831082   28.00    3.00    0.00    0.00   31.00     4     85.00      0.00 2603848  224792   0.69  fastlio_mapping

