Linux 6.8.0-87-generic (jschoi) 	09/05/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:54:32 PM  1000    845954    5.00    1.00    0.00    0.00    6.00     9   5295.00      0.00 2594960  168120   0.52  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:54:33 PM  1000    845954   26.00    4.00    0.00    0.00   30.00     9   8092.00      0.00 2596672  189512   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:54:34 PM  1000    845954   24.00    3.00    0.00    0.00   27.00     9   4156.00      0.00 2596680  197772   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:54:35 PM  1000    845954   25.00    1.00    0.00    0.00   26.00    14   3050.00      0.00 2597528  202724   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:54:36 PM  1000    845954   31.00    2.00    0.00    0.00   33.00    10   2478.00      0.00 2597528  208652   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:54:37 PM  1000    845954   25.00    3.00    0.00    0.00   28.00     0   2118.00      0.00 2597716  209660   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:54:38 PM  1000    845954   25.00    3.00    0.00    0.00   28.00     2   2126.00      0.00 2597716  210924   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:54:39 PM  1000    845954   29.00    2.00    0.00    0.00   31.00     0   1905.00      0.00 2597716  216948   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:54:40 PM  1000    845954   29.00    2.00    0.00    0.00   31.00     0   1590.00      0.00 2598992  213292   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:54:41 PM  1000    845954   20.00    2.00    0.00    0.00   22.00     2   2289.00      0.00 2598992  214204   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:54:42 PM  1000    845954   30.00    2.00    0.00    0.00   32.00     2   2579.00      0.00 2598996  217740   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:54:43 PM  1000    845954   26.00    2.00    0.00    0.00   28.00     0   1335.00      0.00 2599600  218676   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:54:44 PM  1000    845954   27.00    2.00    0.00    0.00   29.00     4   1152.00      0.00 2599600  217164   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:54:45 PM  1000    845954   26.00    1.00    0.00    0.00   27.00     0    968.00      0.00 2599600  217640   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:54:46 PM  1000    845954   30.00    2.00    0.00    0.00   32.00    10   2326.00      0.00 2601480  223292   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:54:47 PM  1000    845954   24.00    1.00    0.00    0.00   25.00     2    776.00      0.00 2601480  223948   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:54:48 PM  1000    845954   24.00    2.00    0.00    0.00   26.00     0    106.00      0.00 2601480  224332   0.69  fastlio_mapping

