Linux 6.8.0-87-generic (jschoi) 	09/04/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:59:43 PM  1000    126814    8.00    3.00    0.00    0.00   11.00     0   6309.00      0.00 2597312  173212   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:59:44 PM  1000    126814   28.00    3.00    0.00    0.00   31.00     0   6362.00      0.00 2597312  192020   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:59:45 PM  1000    126814   24.00    3.00    0.00    0.00   27.00    14   3837.00      0.00 2598632  203000   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:59:46 PM  1000    126814   27.00    4.00    0.00    0.00   31.00    10   3317.00      0.00 2598676  209028   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:59:47 PM  1000    126814   28.00    2.00    0.00    0.00   30.00    14   3423.00      0.00 2598676  212596   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:59:48 PM  1000    126814   29.00    1.00    0.00    0.00   30.00    14   2256.00      0.00 2598676  212444   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:59:49 PM  1000    126814   27.00    2.00    0.00    0.00   29.00    14   1674.00      0.00 2598676  209964   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:59:50 PM  1000    126814   26.00    3.00    0.00    0.00   29.00    14   2821.00      0.00 2598676  211220   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:59:51 PM  1000    126814   17.00    2.00    0.00    0.00   19.00     0   1787.00      0.00 2598676  212908   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:59:52 PM  1000    126814   28.00    2.00    0.00    0.00   30.00    10   1707.00      0.00 2600316  216012   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:59:53 PM  1000    126814   29.00    2.00    0.00    0.00   31.00    12   1947.00      0.00 2600316  217608   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:59:54 PM  1000    126814   23.00    3.00    0.00    0.00   26.00     6   2264.00      0.00 2600316  217036   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:59:55 PM  1000    126814   25.00    2.00    0.00    0.00   27.00     8   2317.00      0.00 2600316  218036   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:59:56 PM  1000    126814   29.00    2.00    0.00    0.00   31.00     0   1320.00      0.00 2600316  222836   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:59:57 PM  1000    126814   22.00    2.00    0.00    0.00   24.00     2    511.00      0.00 2600316  224564   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:59:58 PM  1000    126814   33.00    2.00    0.00    0.00   35.00     4    728.00      0.00 2600280  225584   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
04:59:59 PM  1000    126814   28.00    1.00    0.00    0.00   29.00     2    965.00      0.00 2601712  228308   0.70  fastlio_mapping

