t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772804001.045840,0,nan,nan,0,0,0
1772804001.145704,0,nan,nan,0,0,0
1772804001.246604,0,nan,nan,0,0,0
1772804001.345787,0,nan,nan,0,0,0
1772804001.444835,0,nan,nan,0,0,1
1772804001.545891,0,nan,nan,0,0,1
1772804001.645671,0,nan,nan,0,0,1
1772804001.745854,0,nan,nan,0,0,1
1772804001.845802,0,nan,nan,0,0,1
1772804001.945870,0,nan,nan,0,1,1
1772804002.045885,917,180.397987,0.196726,0,1,1
1772804002.145780,958,181.944014,0.189921,0,1,1
1772804002.244739,934,189.182882,0.202551,0,1,0
1772804002.344786,942,185.081422,0.196477,0,0,0
1772804002.445203,948,183.915323,0.194004,0,0,0
1772804002.544688,972,183.507054,0.188793,0,0,0
1772804002.644938,922,188.423406,0.204364,0,0,0
1772804002.745774,929,175.212833,0.188604,0,0,0
1772804002.845605,891,183.283461,0.205705,0,0,0
1772804002.945799,893,169.758415,0.190099,0,0,0
1772804003.045655,921,174.501491,0.189470,0,0,0
1772804003.145827,893,160.662708,0.179913,0,0,0
1772804003.245727,898,162.782657,0.181272,0,0,0
1772804003.344732,911,167.086360,0.183410,0,0,0
1772804003.446013,912,162.490474,0.178169,0,0,0
1772804003.545895,921,159.744083,0.173446,0,0,0
1772804003.645824,905,162.106123,0.179123,0,0,0
1772804003.745771,869,166.143783,0.191190,0,0,0
1772804003.844731,855,171.098650,0.200115,0,0,0
1772804003.945694,860,158.184898,0.183936,0,0,0
1772804004.045959,866,160.897919,0.185794,0,0,0
1772804004.145616,892,172.449686,0.193329,0,0,0
1772804004.245693,894,163.692382,0.183101,0,0,0
1772804004.345858,892,175.533058,0.196786,0,0,0
1772804004.445793,910,163.788198,0.179987,0,0,0
1772804004.545859,923,181.966787,0.197147,0,0,0
1772804004.645696,912,170.602050,0.187064,0,0,0
1772804004.745596,931,173.549157,0.186412,0,0,0
1772804004.844856,879,168.694189,0.191916,0,0,0
1772804004.945790,912,163.200227,0.178948,0,0,0
1772804005.045576,903,171.187591,0.189577,0,0,0
1772804005.145781,914,169.014668,0.184918,0,0,0
1772804005.244917,918,173.073175,0.188533,0,0,0
1772804005.345812,903,168.483782,0.186582,0,0,0
1772804005.445850,892,175.925254,0.197226,0,0,0
1772804005.545809,885,160.896050,0.181803,0,0,0
1772804005.645616,911,161.981652,0.177806,0,0,0
1772804005.745595,919,167.572117,0.182342,0,0,0
1772804005.845584,929,177.666866,0.191245,0,0,0
1772804005.945730,896,173.131860,0.193228,0,0,0
1772804006.045701,936,185.407630,0.198085,0,0,0
1772804006.145780,895,192.839306,0.215463,0,0,0
1772804006.245667,915,182.851264,0.199837,0,0,0
1772804006.345815,923,194.585054,0.210818,0,0,0
1772804006.446023,903,172.760916,0.191319,0,0,0
1772804006.545605,905,182.104477,0.201220,0,0,0
1772804006.645695,938,177.438342,0.189167,0,0,0
1772804006.745711,971,181.757877,0.187186,0,0,0
1772804006.845781,950,180.090489,0.189569,0,0,0
1772804006.945892,989,183.681206,0.185724,0,0,0
1772804007.045693,965,186.863981,0.193641,0,0,0
1772804007.145811,1007,192.295100,0.190958,0,0,0
1772804007.245739,973,195.659383,0.201089,0,0,0
1772804007.345640,1018,191.774729,0.188384,0,0,0
1772804007.445725,985,195.284731,0.198259,0,0,0
1772804007.545215,989,189.887347,0.191999,0,0,0
1772804007.644826,949,187.484107,0.197560,0,0,0
1772804007.745618,978,184.128187,0.188270,0,0,0
1772804007.845665,930,183.769148,0.197601,0,0,0
1772804007.945874,937,178.955625,0.190988,0,0,0
1772804008.045696,943,170.262500,0.180554,0,0,0
1772804008.145868,941,176.510631,0.187578,0,0,0
1772804008.245806,946,184.273006,0.194792,0,0,0
1772804008.346076,972,186.919005,0.192304,0,0,0
1772804008.445771,993,188.703217,0.190033,0,0,0
1772804008.545714,970,173.663945,0.179035,0,0,0
1772804008.645612,981,178.699046,0.182160,0,0,0
1772804008.745835,932,184.570850,0.198037,0,0,0
1772804008.845877,969,175.641000,0.181260,0,0,0
1772804008.945641,923,168.626480,0.182694,0,0,0
1772804009.044946,938,176.423126,0.188084,0,0,0
1772804009.145902,954,183.896345,0.192763,0,0,0
1772804009.244884,986,179.224903,0.181770,0,0,0
1772804009.345734,987,189.536463,0.192033,0,0,0
1772804009.445998,985,182.299052,0.185075,0,0,0
1772804009.545744,965,189.095130,0.195954,0,0,0
1772804009.645955,944,184.084253,0.195005,0,0,0
1772804009.745870,913,179.616073,0.196732,0,0,0
1772804009.844739,911,176.989053,0.194280,0,0,0
1772804009.945584,907,173.369106,0.191146,0,0,0
1772804010.044912,907,182.143017,0.200819,0,0,0
1772804010.145623,883,169.022289,0.191418,0,0,0
1772804010.244688,869,169.754197,0.195344,0,0,0
1772804010.344620,886,174.528196,0.196984,0,0,0
1772804010.445671,875,176.942252,0.202220,0,0,0
1772804010.545756,888,172.280395,0.194009,0,0,0
1772804010.645909,907,174.929505,0.192866,0,0,0
1772804010.745878,914,173.357759,0.189669,0,0,0
1772804010.845635,936,178.454892,0.190657,0,0,0
1772804010.945840,941,186.194217,0.197868,0,0,0
1772804011.045588,981,204.856139,0.208824,0,0,0
1772804011.145820,955,198.396054,0.207745,0,0,0
1772804011.245779,950,179.587209,0.189039,0,0,0
1772804011.345779,956,203.243197,0.212597,0,0,0
1772804011.445977,940,185.624217,0.197473,0,0,0
1772804011.545578,930,188.898771,0.203117,0,0,0
1772804011.645755,940,188.479147,0.200510,0,0,0
1772804011.745575,942,182.640806,0.193886,0,0,0
1772804011.845641,965,181.351853,0.187929,0,0,0
1772804011.945589,955,186.583862,0.195376,0,0,0
1772804012.045951,959,188.263033,0.196312,0,0,0
1772804012.145634,964,192.020969,0.199192,0,0,0
1772804012.245855,956,194.293818,0.203236,0,0,0
1772804012.345728,960,188.392967,0.196243,0,0,0
1772804012.445015,925,192.902146,0.208543,0,0,0
1772804012.544965,942,197.266123,0.209412,0,0,0
1772804012.644838,897,191.480217,0.213467,0,0,0
1772804012.745610,925,183.401930,0.198272,0,0,0
1772804012.845515,908,195.730179,0.215562,0,0,0
1772804012.945784,907,177.945140,0.196191,0,0,0
1772804013.045602,894,185.976809,0.208028,0,0,0
1772804013.145698,881,181.360612,0.205858,0,0,0
1772804013.245682,885,184.415087,0.208379,0,0,0
1772804013.345616,921,193.065130,0.209626,0,0,0
1772804013.445589,880,184.534173,0.209698,0,0,0
1772804013.545455,924,194.340911,0.210326,0,0,0
1772804013.645691,894,188.709138,0.211084,0,0,0
1772804013.745603,911,204.216427,0.224167,0,0,0
1772804013.845852,911,201.475640,0.221159,0,0,0
1772804013.945581,869,194.594954,0.223930,0,0,0
1772804014.045434,886,198.274669,0.223786,0,0,0
1772804014.145719,859,191.895220,0.223394,0,0,0
1772804014.245692,923,202.033126,0.218887,0,0,0
1772804014.345737,891,188.279106,0.211312,0,0,0
1772804014.445877,931,195.524945,0.210016,0,0,0
1772804014.545665,934,202.743640,0.217070,0,0,0
1772804014.645823,926,200.904372,0.216959,0,0,0
1772804014.745713,924,205.309749,0.222197,0,0,0
1772804014.845605,924,203.065376,0.219768,0,0,0
1772804014.945690,943,216.028077,0.229086,0,0,0
1772804015.045562,910,206.205505,0.226599,0,0,0
1772804015.145567,924,222.277945,0.240561,0,0,0
1772804015.245621,914,211.004926,0.230859,0,0,0
1772804015.345555,915,220.549481,0.241038,0,0,0
1772804015.445544,887,214.861530,0.242234,0,0,0
1772804015.546599,901,203.454746,0.225810,0,0,0
1772804015.645587,899,215.402526,0.239602,0,0,0
1772804015.745760,915,209.775631,0.229263,0,0,0
1772804015.845600,870,210.565323,0.242029,0,0,0
1772804015.945695,906,215.363012,0.237708,0,0,0
1772804016.045765,920,216.448590,0.235270,0,0,0
1772804016.145663,902,216.568478,0.240098,0,0,0
1772804016.245554,910,214.599453,0.235824,0,0,0
1772804016.345681,916,225.927739,0.246646,0,0,0
1772804016.445826,895,211.816107,0.236666,0,0,0
1772804016.545679,906,223.048835,0.246191,0,0,0
1772804016.645757,886,206.896668,0.233518,0,0,0
1772804016.745824,920,225.275636,0.244865,0,0,0
1772804016.845696,937,213.490094,0.227844,0,0,0
1772804016.945658,933,223.453440,0.239500,0,0,0
1772804017.045718,923,219.970504,0.238321,0,0,0
1772804017.145699,929,216.447686,0.232990,0,0,0
1772804017.245512,921,218.587609,0.237337,0,0,0
1772804017.344983,926,225.169272,0.243163,0,0,0
1772804017.444807,930,232.890207,0.250420,0,0,0
1772804017.545704,944,226.740401,0.240191,0,0,0
1772804017.645959,898,217.065264,0.241721,0,0,0
1772804017.745511,897,218.149554,0.243199,0,0,0
1772804017.845768,886,223.001867,0.251695,0,0,0
1772804017.945687,878,208.617444,0.237605,0,0,0
1772804018.045643,859,208.285493,0.242474,0,0,0
1772804018.145652,842,213.444746,0.253497,0,0,0
1772804018.245703,853,196.740053,0.230645,0,0,0
1772804018.345718,860,211.857970,0.246346,0,0,0
1772804018.445641,888,215.710865,0.242918,0,0,0
1772804018.545711,885,196.742708,0.222308,0,0,0
1772804018.645832,859,192.148378,0.223688,0,0,0
1772804018.745657,871,200.385394,0.230064,0,0,0
1772804018.845819,844,203.603744,0.241237,0,0,0
1772804018.945822,825,184.717497,0.223900,0,0,0
1772804019.045745,847,212.669933,0.251086,0,0,0
1772804019.145684,848,203.969503,0.240530,0,0,0
1772804019.245707,866,193.859216,0.223856,0,0,0
1772804019.345775,860,190.136629,0.221089,0,0,0
1772804019.445747,895,200.958151,0.224534,0,0,0
1772804019.545461,879,229.822802,0.261459,0,0,0
1772804019.645394,891,216.942134,0.243482,0,0,0
1772804019.745646,874,198.457561,0.227068,0,0,0
1772804019.845699,868,201.177974,0.231772,0,0,0
1772804019.945720,863,189.583894,0.219680,0,0,0
1772804020.045782,861,197.087387,0.228905,0,0,0
1772804020.145776,867,192.854629,0.222439,0,0,0
1772804020.245692,842,184.915188,0.219614,0,0,0
1772804020.345789,838,199.871614,0.238510,0,0,0
1772804020.445785,830,194.169672,0.233939,0,0,0
1772804020.545729,805,183.233489,0.227619,0,0,0
1772804020.645545,814,181.523615,0.223002,0,0,0
1772804020.745725,789,180.214052,0.228408,0,0,0
1772804020.845498,821,187.138891,0.227940,0,0,0
1772804020.945699,814,176.331934,0.216624,0,0,0
1772804021.045670,808,196.348677,0.243006,0,0,0
1772804021.145493,775,162.695441,0.209930,0,0,0
1772804021.245517,765,158.454816,0.207130,0,0,0
1772804021.345644,775,157.350347,0.203033,0,0,0
1772804021.444587,756,153.049151,0.202446,0,0,0
1772804021.545620,755,152.489133,0.201972,0,0,0
1772804021.645800,736,166.015012,0.225564,0,0,0
1772804021.745748,741,153.591153,0.207276,0,0,0
1772804021.845871,735,159.729314,0.217319,0,0,0
1772804021.945729,764,159.367292,0.208596,0,0,0
1772804022.045730,745,161.197401,0.216372,0,0,0
1772804022.145725,751,154.031786,0.205102,0,0,0
1772804022.245731,746,159.076407,0.213239,0,0,0
1772804022.345756,756,154.257798,0.204045,0,0,0
1772804022.445956,760,154.274000,0.202992,0,0,0
1772804022.544917,760,153.113436,0.201465,0,0,0
1772804022.644877,769,163.929031,0.213172,0,0,0
1772804022.745693,757,146.173930,0.193096,0,0,0
1772804022.845507,754,154.628391,0.205077,0,0,0
1772804022.945667,732,142.948410,0.195285,0,0,0
1772804023.047235,747,155.173056,0.207728,0,0,0
1772804023.145591,764,156.217807,0.204474,0,0,0
1772804023.245635,731,144.236082,0.197313,0,0,0
1772804023.345677,719,161.743531,0.224956,0,0,0
1772804023.445517,729,159.821229,0.219234,0,0,0
1772804023.545492,729,155.946795,0.213919,0,0,0
1772804023.645670,711,153.851934,0.216388,0,0,0
1772804023.745754,698,142.976109,0.204837,0,0,0
1772804023.845690,694,151.579634,0.218414,0,0,0
1772804023.945614,698,146.499029,0.209884,0,0,0
1772804024.045812,697,146.024819,0.209505,0,0,0
1772804024.145754,699,148.963471,0.213109,0,0,0
1772804024.245672,695,151.866879,0.218513,0,0,0
1772804024.345489,667,152.995119,0.229378,0,0,0
1772804024.445735,686,152.879660,0.222857,0,0,0
1772804024.546685,669,151.893812,0.227046,0,0,0
1772804024.645726,653,147.078479,0.225235,0,0,0
1772804024.745747,653,136.460154,0.208974,0,0,0
1772804024.845520,647,152.294140,0.235385,0,0,0
1772804024.945798,635,142.178850,0.223904,0,0,0
1772804025.045640,639,155.071624,0.242679,0,0,0
1772804025.145747,631,146.120962,0.231570,0,0,0
1772804025.245628,637,148.364542,0.232911,0,0,0
1772804025.345727,630,149.018221,0.236537,0,0,0
1772804025.445463,624,149.201273,0.239105,0,0,0
1772804025.545741,617,151.249192,0.245136,0,0,0
1772804025.645703,614,155.058064,0.252538,0,0,0
1772804025.745675,603,156.841683,0.260102,0,0,0
1772804025.845696,589,149.262892,0.253417,0,0,0
1772804025.945832,591,158.743167,0.268601,0,0,0
1772804026.045708,568,139.701270,0.245953,0,0,0
1772804026.145653,559,151.949228,0.271823,0,0,0
1772804026.245742,561,146.069841,0.260374,0,0,0
1772804026.346562,565,152.326134,0.269604,0,0,0
1772804026.445740,557,141.424366,0.253904,0,0,0
1772804026.545645,557,148.411958,0.266449,0,0,0
1772804026.645575,540,139.769900,0.258833,0,0,0
1772804026.745679,543,138.540632,0.255139,0,0,0
1772804026.845634,536,136.090310,0.253900,0,0,0
1772804026.946462,530,136.492866,0.257534,0,0,0
1772804027.045568,506,131.624747,0.260128,0,0,0
1772804027.144765,539,143.639127,0.266492,0,0,0
1772804027.245646,510,132.538481,0.259879,0,0,0
1772804027.345684,540,147.311131,0.272798,0,0,0
1772804027.445670,516,128.791167,0.249595,0,0,0
1772804027.545627,514,134.587819,0.261844,0,0,0
1772804027.645651,518,133.393696,0.257517,0,0,0
1772804027.745586,519,135.648139,0.261364,0,0,0
1772804027.845825,524,136.993245,0.261437,0,0,0
1772804027.945760,522,139.249094,0.266761,0,0,0
1772804028.045651,514,132.990448,0.258736,0,0,0
1772804028.145622,495,125.315364,0.253162,0,0,0
1772804028.246717,492,131.160015,0.266585,0,0,0
1772804028.345873,503,128.259575,0.254989,0,0,0
1772804028.445695,496,126.174437,0.254384,0,0,0
1772804028.545636,480,130.642553,0.272172,0,0,0
1772804028.645623,465,128.623654,0.276610,0,0,0
1772804028.745565,491,135.613793,0.276199,0,0,0
1772804028.845563,457,124.982529,0.273485,0,0,0
1772804028.945641,494,131.666165,0.266531,0,0,0
1772804029.045649,493,135.667554,0.275188,0,0,0
1772804029.145587,466,128.794738,0.276384,0,0,0
1772804029.245600,448,122.484366,0.273403,0,0,0
1772804029.345712,452,124.988802,0.276524,0,0,0
1772804029.445573,458,124.699373,0.272269,0,0,0
1772804029.545541,443,123.920693,0.279731,0,0,0
1772804029.645616,465,120.668058,0.259501,0,0,0
1772804029.745703,443,126.756760,0.286133,0,0,0
1772804029.845721,446,114.871088,0.257558,0,0,0
1772804029.945813,430,114.169514,0.265510,0,0,0
1772804030.045654,431,117.841297,0.273414,0,0,0
1772804030.145711,414,112.456846,0.271635,0,0,0
1772804030.245697,434,125.160027,0.288387,0,0,0
1772804030.345645,418,109.937250,0.263008,0,0,0
1772804030.445406,420,114.780101,0.273286,0,0,0
1772804030.545573,433,111.175000,0.256755,0,0,0
1772804030.645496,414,114.167399,0.275767,0,0,0
1772804030.745733,417,111.446059,0.267257,0,0,0
1772804030.845684,422,119.910254,0.284148,0,0,0
1772804030.945601,429,118.040928,0.275154,0,0,0
1772804031.045549,439,107.805564,0.245571,0,0,0
1772804031.145765,423,108.324887,0.256087,0,0,0
1772804031.245528,419,105.643394,0.252132,0,0,0
1772804031.345743,433,120.616367,0.278560,0,0,0
1772804031.445467,418,109.006920,0.260782,0,0,0
1772804031.545526,445,114.488189,0.257277,0,0,0
1772804031.646556,443,116.129573,0.262144,0,0,0
1772804031.745680,432,103.952512,0.240631,0,0,0
1772804031.845637,457,119.991345,0.262563,0,0,0
1772804031.945677,458,116.933669,0.255314,0,0,0
1772804032.046369,477,123.555363,0.259026,0,0,0
1772804032.145663,476,121.530531,0.255316,0,0,0
1772804032.245453,483,121.970458,0.252527,0,0,0
1772804032.345688,491,122.177153,0.248833,0,0,0
1772804032.445616,497,127.345056,0.256227,0,0,0
1772804032.545589,497,119.645478,0.240735,0,0,0
1772804032.645713,494,124.267891,0.251554,0,0,0
1772804032.745696,496,126.879109,0.255805,0,0,0
1772804032.845525,472,109.600383,0.232204,0,0,0
1772804032.945652,491,110.963471,0.225995,0,0,0
1772804033.045647,481,113.692536,0.236367,0,0,0
1772804033.145551,469,107.108161,0.228376,0,0,0
1772804033.245431,468,110.407294,0.235913,0,0,0
1772804033.345797,452,110.557140,0.244595,0,0,0
1772804033.445483,471,107.368478,0.227959,0,0,0
1772804033.545515,459,108.761045,0.236952,0,0,0
1772804033.645563,496,118.464737,0.238840,0,0,0
1772804033.745674,471,104.711700,0.222318,0,0,0
1772804033.845641,474,107.335161,0.226445,0,0,0
1772804033.945513,490,116.978216,0.238731,0,0,0
1772804034.045613,450,107.028695,0.237842,0,0,0
1772804034.145702,444,102.360042,0.230541,0,0,0
1772804034.245719,455,105.225505,0.231265,0,0,0
1772804034.345631,463,104.897796,0.226561,0,0,0
1772804034.445574,480,98.501345,0.205211,0,0,0
1772804034.545515,500,105.517454,0.211035,0,0,0
1772804034.645640,512,109.131357,0.213147,0,0,0
1772804034.745743,523,101.206238,0.193511,0,0,0
1772804034.845684,520,104.079698,0.200153,0,0,0
1772804034.945735,564,114.298943,0.202658,0,0,0
1772804035.045667,552,118.621775,0.214895,0,0,0
1772804035.145738,570,112.036836,0.196556,0,0,0
1772804035.245352,567,114.052925,0.201152,0,0,0
1772804035.345531,558,114.196989,0.204654,0,0,0
1772804035.445616,578,122.110352,0.211264,0,0,0
1772804035.545684,574,116.011699,0.202111,0,0,0
1772804035.645739,546,124.722034,0.228429,0,0,0
1772804035.745784,544,115.239680,0.211838,0,0,0
1772804035.845627,539,124.289695,0.230593,0,0,0
1772804035.945548,567,114.790410,0.202452,0,0,0
1772804036.045353,589,120.226792,0.204120,0,0,0
1772804036.145564,586,124.190204,0.211929,0,0,0
1772804036.245695,578,118.658598,0.205292,0,0,0
1772804036.345520,592,125.257189,0.211583,0,0,0
1772804036.445623,564,126.344252,0.224015,0,0,0
1772804036.545473,590,126.813896,0.214939,0,0,0
1772804036.645754,577,131.417906,0.227761,0,0,0
1772804036.745731,600,141.259804,0.235433,0,0,0
1772804036.845639,581,126.457816,0.217655,0,0,0
1772804036.945457,601,135.893933,0.226113,0,0,0
1772804037.045564,595,132.046389,0.221927,0,0,0
1772804037.145715,615,132.947777,0.216175,0,0,0
1772804037.245381,590,130.023113,0.220378,0,0,0
1772804037.345681,603,131.952433,0.218827,0,0,0
1772804037.445006,602,139.941787,0.232461,0,0,0
1772804037.545078,609,141.902868,0.233010,0,0,0
1772804037.645504,586,140.062932,0.239015,0,0,0
1772804037.745667,634,149.704666,0.236127,0,0,0
1772804037.845722,597,145.426736,0.243596,0,0,0
1772804037.945449,620,145.142982,0.234102,0,0,0
1772804038.045465,624,142.107688,0.227737,0,0,0
1772804038.145509,638,148.059347,0.232068,0,0,0
1772804038.245559,617,148.332684,0.240410,0,0,0
1772804038.345582,595,139.712075,0.234810,0,0,0
1772804038.445597,638,147.294069,0.230868,0,0,0
1772804038.545646,630,148.428635,0.235601,0,0,0
1772804038.645627,607,150.176919,0.247408,0,0,0
1772804038.745471,621,161.419007,0.259934,0,0,0
1772804038.845519,639,161.047543,0.252031,0,0,0
1772804038.945453,654,174.169135,0.266314,0,0,0
1772804039.045694,651,164.093534,0.252064,0,0,0
1772804039.145484,642,168.369332,0.262258,0,0,0
1772804039.245637,651,168.243300,0.258438,0,0,0
1772804039.345621,660,155.628492,0.235801,0,0,0
1772804039.445573,693,175.070702,0.252627,0,0,0
1772804039.545681,663,166.150484,0.250604,0,0,0
1772804039.645452,658,165.956888,0.252214,0,0,0
1772804039.745644,674,151.603298,0.224931,0,0,0
1772804039.845671,677,169.480728,0.250341,0,0,0
1772804039.945442,671,148.068966,0.220669,0,0,0
1772804040.045602,673,158.748007,0.235881,0,0,0
1772804040.145591,681,143.858077,0.211245,0,0,0
1772804040.245636,690,166.425348,0.241196,0,0,0
