t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772804732.790514,0,nan,nan,0,0,0
1772804732.891330,0,nan,nan,0,0,0
1772804732.991387,0,nan,nan,0,0,0
1772804733.090444,0,nan,nan,0,0,0
1772804733.191540,0,nan,nan,0,0,1
1772804733.291415,0,nan,nan,0,0,1
1772804733.390404,0,nan,nan,0,0,1
1772804733.490374,0,nan,nan,0,0,1
1772804733.591385,0,nan,nan,0,0,1
1772804733.691742,0,nan,nan,0,1,1
1772804733.791529,248,76.081319,0.306780,0,1,1
1772804733.890625,244,72.462523,0.296978,0,1,1
1772804733.990202,260,82.279319,0.316459,0,1,0
1772804734.090339,250,77.662698,0.310651,0,0,0
1772804734.191401,265,83.377611,0.314632,0,0,0
1772804734.291613,263,77.050291,0.292967,0,0,0
1772804734.391522,275,84.244123,0.306342,0,0,0
1772804734.491671,271,84.636253,0.312311,0,0,0
1772804734.591620,277,86.275368,0.311463,0,0,0
1772804734.692634,290,82.720043,0.285242,0,0,0
1772804734.791388,287,76.808632,0.267626,0,0,0
1772804734.891330,298,85.639911,0.287382,0,0,0
1772804734.991574,294,80.425311,0.273555,0,0,0
1772804735.091357,298,76.519524,0.256777,0,0,0
1772804735.191316,288,75.799122,0.263191,0,0,0
1772804735.291470,305,82.908518,0.271831,0,0,0
1772804735.391717,282,69.050239,0.244859,0,0,0
1772804735.491328,302,75.508830,0.250029,0,0,0
1772804735.591638,294,67.579463,0.229862,0,0,0
1772804735.690508,303,76.906125,0.253816,0,0,0
1772804735.790370,297,76.315962,0.256956,0,0,0
1772804735.891369,309,83.797303,0.271189,0,0,0
1772804735.991339,309,81.086549,0.262416,0,0,0
1772804736.091396,303,78.500584,0.259078,0,0,0
1772804736.190510,300,84.462345,0.281541,0,0,0
1772804736.291366,299,76.819233,0.256921,0,0,0
1772804736.391443,311,84.234247,0.270850,0,0,0
1772804736.489976,304,81.330619,0.267535,0,0,0
1772804736.591502,300,79.313020,0.264377,0,0,0
1772804736.691280,310,82.735429,0.266888,0,0,0
1772804736.791409,316,79.030701,0.250097,0,0,0
1772804736.891329,313,76.955585,0.245864,0,0,0
1772804736.991364,319,77.479952,0.242884,0,0,0
1772804737.091466,319,73.196296,0.229455,0,0,0
1772804737.190405,308,73.925381,0.240017,0,0,0
1772804737.291379,311,75.856396,0.243911,0,0,0
1772804737.391542,297,70.184005,0.236310,0,0,0
1772804737.491264,307,78.542089,0.255837,0,0,0
1772804737.591388,307,76.996855,0.250804,0,0,0
1772804737.690556,304,79.672673,0.262081,0,0,0
1772804737.791492,313,76.330285,0.243867,0,0,0
1772804737.891321,306,79.095674,0.258483,0,0,0
1772804737.991316,306,76.156940,0.248879,0,0,0
1772804738.091473,292,71.113549,0.243540,0,0,0
1772804738.190007,304,69.840730,0.229739,0,0,0
1772804738.291363,304,78.011975,0.256618,0,0,0
