t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772809938.182731,0,nan,nan,0,0,0
1772809938.282623,0,nan,nan,0,0,0
1772809938.382370,0,nan,nan,0,0,0
1772809938.483433,0,nan,nan,0,0,0
1772809938.583348,0,nan,nan,0,0,1
1772809938.682604,0,nan,nan,0,0,1
1772809938.783525,0,nan,nan,0,0,1
1772809938.882407,0,nan,nan,0,0,1
1772809938.982543,0,nan,nan,0,0,1
1772809939.083406,0,nan,nan,0,1,1
1772809939.182587,428,104.720670,0.244674,0,1,1
1772809939.282664,430,105.396475,0.245108,0,1,1
1772809939.382298,446,104.476912,0.234253,0,1,0
1772809939.482749,441,98.902884,0.224270,0,0,0
1772809939.582470,464,104.410548,0.225023,0,0,0
1772809939.682705,436,95.134017,0.218197,0,0,0
1772809939.782666,443,97.013207,0.218991,0,0,0
1772809939.882762,422,89.059173,0.211041,0,0,0
1772809939.982685,448,93.284529,0.208224,0,0,0
1772809940.083388,403,87.619904,0.217419,0,0,0
1772809940.182673,417,94.232567,0.225977,0,0,0
1772809940.283425,420,85.071409,0.202551,0,0,0
1772809940.382406,423,97.385155,0.230225,0,0,0
1772809940.482462,415,82.953179,0.199887,0,0,0
1772809940.583407,422,95.100914,0.225358,0,0,0
1772809940.682725,413,93.148263,0.225541,0,0,0
1772809940.782798,423,95.194027,0.225045,0,0,0
1772809940.883593,422,93.419089,0.221372,0,0,0
1772809940.982532,419,92.986862,0.221926,0,0,0
1772809941.082628,421,95.563762,0.226992,0,0,0
1772809941.183370,421,92.643171,0.220055,0,0,0
1772809941.283504,417,89.213872,0.213942,0,0,0
1772809941.382530,421,91.724418,0.217873,0,0,0
1772809941.483444,441,92.707750,0.210222,0,0,0
1772809941.582655,425,94.421364,0.222168,0,0,0
1772809941.682628,429,95.535870,0.222694,0,0,0
1772809941.783451,422,97.498210,0.231038,0,0,0
1772809941.882696,427,98.124788,0.229800,0,0,0
1772809941.982629,425,87.867609,0.206747,0,0,0
1772809942.083312,438,96.544293,0.220421,0,0,0
1772809942.182321,426,90.235243,0.211820,0,0,0
1772809942.282557,425,96.576633,0.227239,0,0,0
1772809942.383942,432,92.827939,0.214879,0,0,0
1772809942.483356,425,96.045499,0.225989,0,0,0
1772809942.582687,445,97.292013,0.218634,0,0,0
1772809942.683427,451,99.599428,0.220841,0,0,0
1772809942.784277,449,99.049822,0.220601,0,0,0
1772809942.882667,448,98.452338,0.219760,0,0,0
1772809942.982608,459,102.335192,0.222952,0,0,0
1772809943.083359,468,100.392280,0.214513,0,0,0
1772809943.183331,447,99.348185,0.222255,0,0,0
1772809943.282550,459,105.788858,0.230477,0,0,0
1772809943.382474,480,107.408982,0.223769,0,0,0
1772809943.482353,456,98.591931,0.216210,0,0,0
1772809943.583509,457,100.743792,0.220446,0,0,0
1772809943.682705,450,104.079836,0.231289,0,0,0
1772809943.782500,456,101.367877,0.222298,0,0,0
1772809943.882266,459,103.584292,0.225674,0,0,0
1772809943.982695,447,102.954326,0.230323,0,0,0
1772809944.083418,458,103.824711,0.226692,0,0,0
1772809944.182648,442,103.211198,0.233509,0,0,0
1772809944.282649,437,97.258325,0.222559,0,0,0
1772809944.383453,450,102.860099,0.228578,0,0,0
1772809944.482553,467,105.368359,0.225628,0,0,0
1772809944.582620,470,105.379740,0.224212,0,0,0
1772809944.682545,444,98.885670,0.222715,0,0,0
1772809944.782275,474,105.220689,0.221985,0,0,0
1772809944.883307,453,99.498731,0.219644,0,0,0
1772809944.982694,466,103.950229,0.223069,0,0,0
1772809945.083332,453,106.750429,0.235652,0,0,0
1772809945.183410,462,105.280971,0.227881,0,0,0
1772809945.282625,460,99.077062,0.215385,0,0,0
1772809945.382316,453,107.506136,0.237320,0,0,0
1772809945.483368,447,99.270994,0.222083,0,0,0
1772809945.583353,455,104.657692,0.230017,0,0,0
1772809945.683335,436,99.562031,0.228353,0,0,0
1772809945.782510,462,99.210825,0.214742,0,0,0
1772809945.882524,456,103.190498,0.226295,0,0,0
1772809945.983395,450,98.155028,0.218122,0,0,0
1772809946.083285,444,99.021203,0.223021,0,0,0
1772809946.183383,456,98.411446,0.215815,0,0,0
1772809946.282515,463,103.633597,0.223831,0,0,0
1772809946.382354,453,100.701809,0.222300,0,0,0
1772809946.483530,463,110.499338,0.238659,0,0,0
1772809946.583389,463,104.101840,0.224842,0,0,0
1772809946.683288,460,108.041139,0.234872,0,0,0
1772809946.782583,458,104.352474,0.227844,0,0,0
1772809946.883588,456,107.287357,0.235279,0,0,0
1772809946.983270,451,99.229829,0.220022,0,0,0
1772809947.082495,463,105.187362,0.227187,0,0,0
1772809947.183300,455,105.180215,0.231165,0,0,0
1772809947.283411,469,111.508724,0.237758,0,0,0
1772809947.382658,457,100.292506,0.219458,0,0,0
1772809947.483531,452,101.998597,0.225661,0,0,0
1772809947.583295,456,101.451517,0.222481,0,0,0
1772809947.682618,447,102.669739,0.229686,0,0,0
1772809947.783603,457,104.921533,0.229588,0,0,0
1772809947.882474,439,103.651410,0.236108,0,0,0
1772809947.983442,465,109.583207,0.235663,0,0,0
1772809948.082568,468,108.270845,0.231348,0,0,0
1772809948.183341,445,103.141715,0.231779,0,0,0
1772809948.283280,449,109.244454,0.243306,0,0,0
1772809948.383536,470,111.519092,0.237275,0,0,0
1772809948.482325,474,114.350995,0.241247,0,0,0
1772809948.582470,451,102.709738,0.227738,0,0,0
1772809948.683891,446,106.580660,0.238970,0,0,0
1772809948.782508,444,102.377259,0.230579,0,0,0
1772809948.883374,463,109.868025,0.237296,0,0,0
1772809948.982368,461,109.399446,0.237309,0,0,0
1772809949.083298,458,109.731742,0.239589,0,0,0
1772809949.183290,444,109.433268,0.246471,0,0,0
1772809949.282535,433,105.514256,0.243682,0,0,0
1772809949.382761,434,104.046914,0.239739,0,0,0
1772809949.482451,454,103.644802,0.228293,0,0,0
1772809949.582511,451,101.726025,0.225557,0,0,0
1772809949.683470,442,104.594339,0.236639,0,0,0
1772809949.783271,462,109.098114,0.236143,0,0,0
1772809949.883331,433,102.131443,0.235869,0,0,0
1772809949.983304,456,110.506855,0.242340,0,0,0
1772809950.083364,443,105.126604,0.237306,0,0,0
1772809950.182523,459,110.470343,0.240676,0,0,0
1772809950.283509,432,102.240500,0.236668,0,0,0
1772809950.383593,447,109.901476,0.245865,0,0,0
1772809950.482675,439,105.325718,0.239922,0,0,0
1772809950.582621,445,109.887064,0.246937,0,0,0
1772809950.683315,426,103.404673,0.242734,0,0,0
1772809950.783398,447,107.881735,0.241346,0,0,0
1772809950.883349,414,100.485791,0.242719,0,0,0
1772809950.982478,448,107.429913,0.239799,0,0,0
1772809951.083434,435,106.288684,0.244342,0,0,0
1772809951.183214,434,104.744038,0.241346,0,0,0
1772809951.283243,449,108.835158,0.242395,0,0,0
1772809951.383534,448,109.972439,0.245474,0,0,0
1772809951.483255,441,104.798456,0.237638,0,0,0
1772809951.583331,441,108.757367,0.246615,0,0,0
1772809951.682500,462,112.779296,0.244111,0,0,0
1772809951.782451,434,107.919510,0.248662,0,0,0
1772809951.883866,453,113.957333,0.251561,0,0,0
1772809951.983318,461,113.631517,0.246489,0,0,0
1772809952.082436,429,109.235289,0.254628,0,0,0
1772809952.182552,417,102.543802,0.245908,0,0,0
1772809952.283356,411,100.083936,0.243513,0,0,0
1772809952.383424,408,96.193995,0.235770,0,0,0
1772809952.482443,425,100.913316,0.237443,0,0,0
1772809952.583209,415,99.475562,0.239700,0,0,0
1772809952.682525,420,100.114211,0.238367,0,0,0
1772809952.783779,411,107.926063,0.262594,0,0,0
1772809952.883934,405,99.779897,0.246370,0,0,0
1772809952.982464,408,107.359548,0.263136,0,0,0
1772809953.083325,407,108.485988,0.266550,0,0,0
1772809953.182215,402,112.025725,0.278671,0,0,0
1772809953.283304,423,112.664621,0.266347,0,0,0
1772809953.382442,409,109.489023,0.267699,0,0,0
1772809953.483397,455,117.147402,0.257467,0,0,0
1772809953.583205,424,108.213728,0.255221,0,0,0
1772809953.682407,417,109.967830,0.263712,0,0,0
1772809953.782629,421,108.916327,0.258709,0,0,0
1772809953.882453,415,109.473186,0.263791,0,0,0
1772809953.982096,422,119.580236,0.283365,0,0,0
1772809954.083222,443,119.280977,0.269257,0,0,0
1772809954.182439,431,127.082144,0.294854,0,0,0
1772809954.282585,414,121.404537,0.293248,0,0,0
1772809954.382383,404,122.454377,0.303105,0,0,0
1772809954.482405,396,120.714828,0.304835,0,0,0
1772809954.582337,421,130.199550,0.309263,0,0,0
1772809954.683348,387,118.277630,0.305627,0,0,0
1772809954.783358,379,116.781352,0.308130,0,0,0
1772809954.882434,363,107.168904,0.295231,0,0,0
1772809954.982553,376,108.870101,0.289548,0,0,0
1772809955.083291,378,103.776458,0.274541,0,0,0
1772809955.183252,392,111.931039,0.285538,0,0,0
1772809955.282758,405,113.477385,0.280191,0,0,0
1772809955.382439,414,125.978745,0.304296,0,0,0
1772809955.483431,403,115.232181,0.285936,0,0,0
1772809955.583420,401,116.382272,0.290230,0,0,0
1772809955.682405,392,107.958513,0.275404,0,0,0
1772809955.783244,381,108.509708,0.284802,0,0,0
1772809955.883557,379,105.494408,0.278349,0,0,0
1772809955.983275,381,99.602293,0.261423,0,0,0
1772809956.082507,366,96.469433,0.263578,0,0,0
1772809956.183422,378,101.534318,0.268609,0,0,0
1772809956.283298,369,98.144305,0.265974,0,0,0
1772809956.382395,396,104.286821,0.263351,0,0,0
