t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772809937.982690,0,nan,nan,0,0,0
1772809938.082854,0,nan,nan,0,0,0
1772809938.182731,0,nan,nan,0,0,0
1772809938.282623,0,nan,nan,0,0,0
1772809938.382370,0,nan,nan,0,0,1
1772809938.483433,0,nan,nan,0,0,1
1772809938.583348,0,nan,nan,0,0,1
1772809938.682604,0,nan,nan,0,0,1
1772809938.783525,0,nan,nan,0,0,1
1772809938.882407,0,nan,nan,0,1,1
1772809938.982543,674,170.989089,0.253693,0,1,1
1772809939.083406,678,171.036746,0.252267,0,1,1
1772809939.182587,666,174.233548,0.261612,0,1,0
1772809939.282664,663,184.922654,0.278918,0,0,0
1772809939.382298,667,175.179087,0.262637,0,0,0
1772809939.482749,653,168.188908,0.257563,0,0,0
1772809939.582470,659,166.609955,0.252822,0,0,0
1772809939.682705,639,159.248635,0.249215,0,0,0
1772809939.782666,656,167.266309,0.254979,0,0,0
1772809939.882762,630,154.007574,0.244456,0,0,0
1772809939.982685,643,163.748779,0.254664,0,0,0
1772809940.083388,605,151.949817,0.251157,0,0,0
1772809940.182673,612,152.599586,0.249346,0,0,0
1772809940.283425,596,147.899496,0.248154,0,0,0
1772809940.382406,615,160.107479,0.260337,0,0,0
1772809940.482462,609,146.911884,0.241235,0,0,0
1772809940.583407,597,157.044098,0.263055,0,0,0
1772809940.682725,615,154.179282,0.250698,0,0,0
1772809940.782798,612,156.502050,0.255722,0,0,0
1772809940.883593,601,149.863379,0.249357,0,0,0
1772809940.982532,608,151.319323,0.248880,0,0,0
1772809941.082628,625,154.673384,0.247477,0,0,0
1772809941.183370,605,153.209169,0.253238,0,0,0
1772809941.283504,620,153.122470,0.246972,0,0,0
1772809941.382530,616,149.164458,0.242150,0,0,0
1772809941.483444,637,151.710615,0.238164,0,0,0
1772809941.582655,622,160.945554,0.258755,0,0,0
1772809941.682628,636,156.215948,0.245623,0,0,0
1772809941.783451,604,157.262495,0.260368,0,0,0
1772809941.882696,646,167.804090,0.259759,0,0,0
1772809941.982629,615,152.609979,0.248146,0,0,0
1772809942.083312,616,154.916241,0.251487,0,0,0
1772809942.182321,617,146.232290,0.237005,0,0,0
1772809942.282557,615,154.120688,0.250603,0,0,0
1772809942.383942,636,155.719384,0.244842,0,0,0
1772809942.483356,628,145.707069,0.232018,0,0,0
