t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772836966.006559,0,nan,nan,0,0,0
1772836966.105234,0,nan,nan,0,0,0
1772836966.205560,0,nan,nan,0,0,0
1772836966.306533,0,nan,nan,0,0,0
1772836966.406482,0,nan,nan,0,0,1
1772836966.505422,0,nan,nan,0,0,1
1772836966.606406,0,nan,nan,0,0,1
1772836966.706500,0,nan,nan,0,0,1
1772836966.805306,0,nan,nan,0,0,1
1772836966.905486,0,nan,nan,0,1,1
1772836967.005758,431,118.730736,0.275477,0,1,1
1772836967.105420,443,114.585832,0.258659,0,1,1
1772836967.205317,441,120.956970,0.274279,0,1,0
1772836967.306448,453,127.159479,0.280705,0,0,0
1772836967.405424,441,126.932248,0.287828,0,0,0
1772836967.505505,438,122.518807,0.279723,0,0,0
1772836967.605412,474,126.939680,0.267805,0,0,0
1772836967.705700,443,121.253906,0.273711,0,0,0
1772836967.806347,465,130.243773,0.280094,0,0,0
1772836967.905412,447,123.271294,0.275775,0,0,0
1772836968.005402,453,121.377035,0.267940,0,0,0
1772836968.105453,477,128.332971,0.269042,0,0,0
1772836968.206325,463,127.695146,0.275799,0,0,0
1772836968.305670,465,130.132878,0.279856,0,0,0
1772836968.405444,478,138.641299,0.290045,0,0,0
1772836968.506387,475,128.720660,0.270991,0,0,0
1772836968.606621,466,130.073487,0.279128,0,0,0
1772836968.706537,462,127.921193,0.276886,0,0,0
1772836968.805196,467,132.019993,0.282698,0,0,0
1772836968.905415,463,128.917130,0.278439,0,0,0
1772836969.006358,451,123.186831,0.273142,0,0,0
1772836969.106414,479,133.379262,0.278454,0,0,0
1772836969.205617,458,122.689847,0.267882,0,0,0
1772836969.305369,484,130.681471,0.270003,0,0,0
1772836969.405226,464,123.682566,0.266557,0,0,0
1772836969.505576,473,136.645957,0.288892,0,0,0
1772836969.605324,461,125.658518,0.272578,0,0,0
1772836969.705540,463,129.040436,0.278705,0,0,0
1772836969.806000,451,121.028225,0.268355,0,0,0
1772836969.906141,461,125.316343,0.271836,0,0,0
1772836970.005473,444,115.431158,0.259980,0,0,0
1772836970.105694,468,118.259077,0.252690,0,0,0
1772836970.206528,482,116.636084,0.241984,0,0,0
1772836970.304970,475,120.544015,0.253777,0,0,0
1772836970.405037,472,119.645165,0.253486,0,0,0
1772836970.506309,477,123.753332,0.259441,0,0,0
1772836970.607217,487,124.829827,0.256324,0,0,0
1772836970.706359,492,132.544071,0.269399,0,0,0
1772836970.806609,496,133.540303,0.269234,0,0,0
