t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772836966.105234,0,nan,nan,0,0,0
1772836966.205560,0,nan,nan,0,0,0
1772836966.306533,0,nan,nan,0,0,0
1772836966.406482,0,nan,nan,0,0,0
1772836966.505422,0,nan,nan,0,0,1
1772836966.606406,0,nan,nan,0,0,1
1772836966.706500,0,nan,nan,0,0,1
1772836966.805306,0,nan,nan,0,0,1
1772836966.905486,0,nan,nan,0,0,1
1772836967.005758,0,nan,nan,0,1,1
1772836967.105420,652,164.550870,0.252379,0,1,1
1772836967.205317,667,174.409482,0.261483,0,1,1
1772836967.306448,674,174.434267,0.258805,0,1,0
1772836967.405424,666,171.281389,0.257179,0,0,0
1772836967.505505,660,171.603974,0.260006,0,0,0
1772836967.605412,679,171.890750,0.253153,0,0,0
1772836967.705700,645,158.311452,0.245444,0,0,0
1772836967.806347,681,177.835483,0.261139,0,0,0
1772836967.905412,665,170.089584,0.255774,0,0,0
1772836968.005402,689,175.091856,0.254125,0,0,0
1772836968.105453,674,173.413700,0.257290,0,0,0
1772836968.206325,665,166.102894,0.249779,0,0,0
1772836968.305670,681,175.588322,0.257839,0,0,0
1772836968.405444,691,178.493077,0.258311,0,0,0
1772836968.506387,694,183.241744,0.264037,0,0,0
1772836968.606621,687,179.873469,0.261825,0,0,0
1772836968.706537,665,172.081428,0.258769,0,0,0
1772836968.805196,684,169.704998,0.248107,0,0,0
1772836968.905415,675,170.068061,0.251953,0,0,0
1772836969.006358,676,160.110703,0.236850,0,0,0
1772836969.106414,676,172.011370,0.254455,0,0,0
1772836969.205617,664,152.635962,0.229873,0,0,0
1772836969.305369,680,174.608885,0.256778,0,0,0
1772836969.405226,670,155.032786,0.231392,0,0,0
1772836969.505576,686,177.341727,0.258516,0,0,0
1772836969.605324,681,171.235028,0.251446,0,0,0
1772836969.705540,688,178.015334,0.258743,0,0,0
1772836969.806000,653,164.054977,0.251233,0,0,0
1772836969.906141,677,168.826564,0.249375,0,0,0
