t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772797299.401927,0,nan,nan,0,0,0
1772797299.501864,0,nan,nan,0,0,0
1772797299.601063,0,nan,nan,0,0,0
1772797299.700858,0,nan,nan,0,0,0
1772797299.801932,0,nan,nan,0,0,1
1772797299.902032,0,nan,nan,0,0,1
1772797300.001848,0,nan,nan,0,0,1
1772797300.101914,0,nan,nan,0,0,1
1772797300.200966,0,nan,nan,0,0,1
1772797300.301141,0,nan,nan,0,1,1
1772797300.400943,885,176.905964,0.199894,0,1,1
1772797300.502022,907,181.526447,0.200139,0,1,1
1772797300.602252,889,179.605864,0.202031,0,1,0
1772797300.701062,882,188.894326,0.214166,0,0,0
1772797300.801917,838,173.131501,0.206601,0,0,0
1772797300.902045,841,187.976385,0.223515,0,0,0
1772797301.002001,826,173.865759,0.210491,0,0,0
1772797301.101093,879,195.580522,0.222503,0,0,0
1772797301.201149,895,186.458456,0.208333,0,0,0
1772797301.300920,871,198.522518,0.227925,0,0,0
1772797301.401847,903,198.456337,0.219774,0,0,0
1772797301.501841,894,207.722095,0.232351,0,0,0
1772797301.601871,890,199.035119,0.223635,0,0,0
1772797301.701854,860,195.036604,0.226787,0,0,0
1772797301.801836,850,189.898640,0.223410,0,0,0
1772797301.901062,804,166.361761,0.206918,0,0,0
1772797302.001041,818,174.580469,0.213424,0,0,0
1772797302.101858,795,154.795347,0.194711,0,0,0
1772797302.200919,793,160.008644,0.201776,0,0,0
1772797302.301069,789,160.911540,0.203944,0,0,0
1772797302.400699,791,170.140901,0.215096,0,0,0
1772797302.500839,786,159.715448,0.203200,0,0,0
1772797302.601169,828,176.030796,0.212598,0,0,0
1772797302.700970,822,162.390007,0.197555,0,0,0
1772797302.800882,810,163.732272,0.202139,0,0,0
1772797302.902033,784,153.265523,0.195492,0,0,0
1772797303.001131,789,160.037606,0.202836,0,0,0
1772797303.100851,793,158.945687,0.200436,0,0,0
1772797303.201074,774,159.704768,0.206337,0,0,0
1772797303.301963,774,147.802367,0.190959,0,0,0
1772797303.400850,797,149.425780,0.187485,0,0,0
1772797303.501832,811,158.463687,0.195393,0,0,0
1772797303.601822,805,161.305151,0.200379,0,0,0
1772797303.701950,821,156.181173,0.190233,0,0,0
1772797303.801086,836,162.872837,0.194824,0,0,0
1772797303.902018,875,168.753594,0.192861,0,0,0
1772797304.001929,846,165.694110,0.195856,0,0,0
1772797304.101110,863,177.921698,0.206167,0,0,0
1772797304.200886,854,171.852007,0.201232,0,0,0
1772797304.301936,822,162.963508,0.198252,0,0,0
1772797304.401813,831,159.193047,0.191568,0,0,0
1772797304.501046,813,168.424984,0.207165,0,0,0
1772797304.600815,815,161.510065,0.198172,0,0,0
1772797304.701890,814,160.881743,0.197643,0,0,0
1772797304.801096,818,160.166574,0.195803,0,0,0
1772797304.902274,824,164.237883,0.199318,0,0,0
1772797305.001136,852,160.398869,0.188262,0,0,0
1772797305.102143,891,177.644339,0.199376,0,0,0
1772797305.201194,881,182.489290,0.207139,0,0,0
1772797305.300900,894,197.749144,0.221196,0,0,0
1772797305.401971,883,194.193333,0.219924,0,0,0
1772797305.501816,934,216.323963,0.231610,0,0,0
1772797305.601389,913,187.649064,0.205530,0,0,0
1772797305.701829,928,205.219550,0.221142,0,0,0
1772797305.801977,924,185.116781,0.200343,0,0,0
1772797305.901996,953,201.054113,0.210970,0,0,0
