t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772798840.303313,0,nan,nan,0,0,0
1772798840.404356,0,nan,nan,0,0,0
1772798840.503306,0,nan,nan,0,0,0
1772798840.604386,0,nan,nan,0,0,0
1772798840.704305,0,nan,nan,0,0,1
1772798840.804251,0,nan,nan,0,0,1
1772798840.903138,0,nan,nan,0,0,1
1772798841.004260,0,nan,nan,0,0,1
1772798841.104242,0,nan,nan,0,0,1
1772798841.204326,0,nan,nan,0,1,1
1772798841.304266,319,96.815084,0.303496,0,1,1
1772798841.404305,298,86.251245,0.289434,0,1,1
1772798841.503336,306,78.762366,0.257393,0,1,0
1772798841.604285,316,88.767001,0.280908,0,0,0
1772798841.704437,310,86.063735,0.277625,0,0,0
1772798841.804328,320,90.580105,0.283063,0,0,0
1772798841.904296,310,87.582166,0.282523,0,0,0
1772798842.004476,325,94.496981,0.290760,0,0,0
1772798842.104314,324,96.469611,0.297746,0,0,0
1772798842.204261,312,86.897395,0.278517,0,0,0
1772798842.304468,329,96.083312,0.292047,0,0,0
1772798842.404319,312,84.642571,0.271290,0,0,0
1772798842.504257,313,91.235886,0.291488,0,0,0
1772798842.604450,304,82.805161,0.272385,0,0,0
1772798842.704462,333,98.589315,0.296064,0,0,0
1772798842.804257,319,92.992720,0.291513,0,0,0
1772798842.903176,326,98.309820,0.301564,0,0,0
1772798843.003230,317,91.255258,0.287871,0,0,0
1772798843.104254,318,93.986457,0.295555,0,0,0
1772798843.204479,320,93.190564,0.291221,0,0,0
1772798843.304364,314,91.380948,0.291022,0,0,0
1772798843.404313,327,95.862216,0.293157,0,0,0
1772798843.504505,311,85.956386,0.276387,0,0,0
1772798843.604442,305,87.421185,0.286627,0,0,0
1772798843.704450,317,91.666796,0.289170,0,0,0
1772798843.803394,321,92.885694,0.289364,0,0,0
1772798843.903416,318,95.118464,0.299115,0,0,0
1772798844.004400,318,90.255528,0.283822,0,0,0
1772798844.103431,315,90.102328,0.286039,0,0,0
1772798844.204460,325,95.594394,0.294137,0,0,0
1772798844.304501,318,92.815813,0.291874,0,0,0
1772798844.404356,321,87.893314,0.273811,0,0,0
1772798844.503325,320,92.658463,0.289558,0,0,0
1772798844.604257,315,90.413826,0.287028,0,0,0
1772798844.703465,315,89.420107,0.283873,0,0,0
1772798844.804288,319,94.519051,0.296298,0,0,0
1772798844.904671,306,89.653904,0.292987,0,0,0
1772798845.003271,317,92.351444,0.291329,0,0,0
1772798845.104666,319,92.585449,0.290237,0,0,0
1772798845.204324,312,93.860700,0.300836,0,0,0
1772798845.303517,309,88.560486,0.286604,0,0,0
1772798845.404378,311,89.774581,0.288664,0,0,0
1772798845.504235,319,93.799176,0.294041,0,0,0
1772798845.603472,329,97.176382,0.295369,0,0,0
1772798845.704448,318,94.075852,0.295836,0,0,0
1772798845.804290,316,93.056059,0.294481,0,0,0
1772798845.904500,317,91.564262,0.288846,0,0,0
1772798846.004418,329,93.957486,0.285585,0,0,0
1772798846.104384,323,96.807873,0.299715,0,0,0
1772798846.203342,307,89.806953,0.292531,0,0,0
1772798846.303399,325,96.833705,0.297950,0,0,0
1772798846.404445,309,90.758328,0.293716,0,0,0
1772798846.503514,308,89.638167,0.291033,0,0,0
1772798846.604379,328,95.698076,0.291762,0,0,0
1772798846.704300,326,93.995513,0.288330,0,0,0
1772798846.804433,313,94.146233,0.300787,0,0,0
1772798846.904486,317,91.549333,0.288799,0,0,0
1772798847.003221,320,94.174188,0.294294,0,0,0
1772798847.104389,318,90.259254,0.283834,0,0,0
1772798847.204438,317,92.190889,0.290823,0,0,0
1772798847.304382,330,99.098186,0.300298,0,0,0
1772798847.404347,307,86.994896,0.283371,0,0,0
1772798847.504394,322,97.727788,0.303502,0,0,0
1772798847.604260,307,83.726781,0.272726,0,0,0
1772798847.704406,313,93.331497,0.298184,0,0,0
1772798847.804307,313,88.974048,0.284262,0,0,0
1772798847.904820,316,94.582101,0.299310,0,0,0
1772798848.004423,309,84.412558,0.273180,0,0,0
1772798848.104256,317,93.543682,0.295090,0,0,0
1772798848.204234,313,93.437241,0.298522,0,0,0
1772798848.304707,326,99.351603,0.304760,0,0,0
1772798848.404325,316,96.088690,0.304078,0,0,0
1772798848.504227,314,97.196094,0.309542,0,0,0
1772798848.604339,289,83.428924,0.288681,0,0,0
1772798848.704226,298,87.468195,0.293517,0,0,0
1772798848.804161,274,74.384934,0.271478,0,0,0
1772798848.904621,278,79.112897,0.284579,0,0,0
1772798849.004275,280,72.318758,0.258281,0,0,0
1772798849.103331,275,76.819415,0.279343,0,0,0
1772798849.204330,277,70.235305,0.253557,0,0,0
1772798849.303094,271,68.618548,0.253205,0,0,0
1772798849.404184,286,76.187736,0.266391,0,0,0
1772798849.504559,275,69.075539,0.251184,0,0,0
1772798849.604451,280,73.455220,0.262340,0,0,0
1772798849.704325,270,67.706315,0.250764,0,0,0
1772798849.803374,256,65.954625,0.257635,0,0,0
1772798849.904487,263,60.402132,0.229666,0,0,0
1772798850.004222,274,69.033264,0.251946,0,0,0
1772798850.104282,262,60.802825,0.232072,0,0,0
1772798850.204290,264,64.257466,0.243399,0,0,0
1772798850.304188,265,66.008523,0.249089,0,0,0
1772798850.404440,267,66.946951,0.250738,0,0,0
