t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772799809.747589,0,nan,nan,0,0,0
1772799809.847759,0,nan,nan,0,0,0
1772799809.947827,0,nan,nan,0,0,0
1772799810.047689,0,nan,nan,0,0,0
1772799810.147547,0,nan,nan,0,0,1
1772799810.248071,0,nan,nan,0,0,1
1772799810.347613,0,nan,nan,0,0,1
1772799810.447686,0,nan,nan,0,0,1
1772799810.547627,0,nan,nan,0,0,1
1772799810.647597,0,nan,nan,0,1,1
1772799810.747562,531,129.567205,0.244006,0,1,1
1772799810.847691,518,127.191468,0.245543,0,1,1
1772799810.947185,536,132.156754,0.246561,0,1,0
1772799811.047669,508,127.233418,0.250459,0,0,0
1772799811.146632,507,121.404107,0.239456,0,0,0
1772799811.247730,513,125.389504,0.244424,0,0,0
1772799811.347677,510,121.052643,0.237358,0,0,0
1772799811.446671,492,112.111456,0.227869,0,0,0
1772799811.547654,485,119.074595,0.245515,0,0,0
1772799811.647855,502,125.114581,0.249232,0,0,0
1772799811.748777,510,119.094181,0.233518,0,0,0
1772799811.847702,511,123.488460,0.241660,0,0,0
1772799811.946606,500,122.461263,0.244923,0,0,0
1772799812.047751,491,117.583256,0.239477,0,0,0
1772799812.146701,498,123.174855,0.247339,0,0,0
1772799812.246696,484,111.986904,0.231378,0,0,0
1772799812.347707,490,112.332255,0.229249,0,0,0
1772799812.446629,502,116.830223,0.232730,0,0,0
1772799812.547530,517,116.322403,0.224995,0,0,0
1772799812.647842,514,113.846949,0.221492,0,0,0
1772799812.747717,527,119.273731,0.226326,0,0,0
1772799812.846792,535,117.525471,0.219674,0,0,0
1772799812.948006,523,124.320785,0.237707,0,0,0
1772799813.047659,541,119.439799,0.220776,0,0,0
1772799813.147548,523,120.566744,0.230529,0,0,0
1772799813.247530,531,124.021649,0.233562,0,0,0
1772799813.347584,534,123.906902,0.232035,0,0,0
1772799813.446829,535,121.910138,0.227869,0,0,0
1772799813.547686,529,124.987988,0.236272,0,0,0
1772799813.646634,510,117.310067,0.230020,0,0,0
1772799813.747902,496,121.208364,0.244372,0,0,0
1772799813.847694,526,126.017510,0.239577,0,0,0
1772799813.947847,505,115.420638,0.228556,0,0,0
1772799814.046686,526,125.798964,0.239162,0,0,0
1772799814.147617,516,121.954722,0.236346,0,0,0
1772799814.247646,527,128.227165,0.243315,0,0,0
1772799814.347752,529,123.411384,0.233292,0,0,0
1772799814.448241,522,122.712366,0.235081,0,0,0
1772799814.547560,522,123.839792,0.237241,0,0,0
1772799814.647558,527,127.850943,0.242601,0,0,0
1772799814.747620,509,122.739431,0.241138,0,0,0
1772799814.847570,523,126.165374,0.241234,0,0,0
1772799814.947718,508,123.788181,0.243678,0,0,0
1772799815.047644,527,121.333314,0.230234,0,0,0
1772799815.147871,539,129.856031,0.240920,0,0,0
1772799815.247524,536,127.801297,0.238435,0,0,0
1772799815.347594,513,119.295157,0.232544,0,0,0
1772799815.447551,536,127.278444,0.237460,0,0,0
1772799815.547613,517,122.646234,0.237227,0,0,0
1772799815.647571,526,127.448966,0.242298,0,0,0
1772799815.747758,542,126.094607,0.232647,0,0,0
1772799815.847592,523,126.482340,0.241840,0,0,0
1772799815.947417,533,123.489281,0.231687,0,0,0
1772799816.047720,516,119.778004,0.232128,0,0,0
1772799816.147733,518,122.711119,0.236894,0,0,0
1772799816.247762,502,118.441653,0.235940,0,0,0
1772799816.346641,508,112.346589,0.221155,0,0,0
1772799816.447963,481,106.180108,0.220749,0,0,0
1772799816.547904,474,107.877216,0.227589,0,0,0
1772799816.647771,478,107.910587,0.225754,0,0,0
1772799816.747642,477,97.753282,0.204934,0,0,0
1772799816.847764,458,102.279735,0.223318,0,0,0
1772799816.947729,453,99.703939,0.220097,0,0,0
1772799817.047597,452,98.954031,0.218925,0,0,0
1772799817.146787,459,104.839653,0.228409,0,0,0
1772799817.247661,441,98.752824,0.223929,0,0,0
1772799817.347612,457,101.406489,0.221896,0,0,0
