t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772799809.747589,0,nan,nan,0,0,0
1772799809.847759,0,nan,nan,0,0,0
1772799809.947827,0,nan,nan,0,0,0
1772799810.047689,0,nan,nan,0,0,0
1772799810.147547,0,nan,nan,0,0,1
1772799810.248071,0,nan,nan,0,0,1
1772799810.347613,0,nan,nan,0,0,1
1772799810.447686,0,nan,nan,0,0,1
1772799810.547627,0,nan,nan,0,0,1
1772799810.647597,0,nan,nan,0,1,1
1772799810.747562,773,200.587736,0.259493,0,1,1
1772799810.847691,758,187.013872,0.246720,0,1,1
1772799810.947185,764,199.997079,0.261776,0,1,0
1772799811.047669,747,178.862245,0.239441,0,0,0
1772799811.146632,691,177.095772,0.256289,0,0,0
1772799811.247730,716,177.683767,0.248162,0,0,0
1772799811.347677,688,186.870584,0.271614,0,0,0
1772799811.446671,703,174.642186,0.248424,0,0,0
1772799811.547654,682,176.252319,0.258434,0,0,0
1772799811.647855,689,174.635690,0.253463,0,0,0
1772799811.748777,703,178.178863,0.253455,0,0,0
1772799811.847702,694,171.959739,0.247781,0,0,0
1772799811.946606,708,178.684164,0.252379,0,0,0
1772799812.047751,667,168.643259,0.252838,0,0,0
1772799812.146701,698,179.518596,0.257190,0,0,0
1772799812.246696,696,177.599604,0.255172,0,0,0
1772799812.347707,706,179.894429,0.254808,0,0,0
1772799812.446629,722,187.579402,0.259805,0,0,0
1772799812.547530,732,179.057241,0.244614,0,0,0
1772799812.647842,716,181.144580,0.252995,0,0,0
1772799812.747717,707,171.184818,0.242128,0,0,0
1772799812.846792,740,178.414901,0.241101,0,0,0
1772799812.948006,733,179.896776,0.245425,0,0,0
1772799813.047659,735,184.159903,0.250558,0,0,0
1772799813.147548,723,177.274192,0.245193,0,0,0
1772799813.247530,726,178.599140,0.246004,0,0,0
1772799813.347584,752,188.068458,0.250091,0,0,0
1772799813.446829,739,175.896622,0.238020,0,0,0
1772799813.547686,737,193.226199,0.262179,0,0,0
1772799813.646634,719,179.682670,0.249906,0,0,0
1772799813.747902,676,184.074001,0.272299,0,0,0
1772799813.847694,724,185.218506,0.255827,0,0,0
1772799813.947847,715,187.683249,0.262494,0,0,0
1772799814.046686,723,191.562422,0.264955,0,0,0
1772799814.147617,697,181.737101,0.260742,0,0,0
1772799814.247646,723,188.865758,0.261225,0,0,0
1772799814.347752,710,180.197003,0.253799,0,0,0
1772799814.448241,722,183.105307,0.253608,0,0,0
1772799814.547560,725,192.384358,0.265358,0,0,0
1772799814.647558,723,193.329561,0.267399,0,0,0
1772799814.747620,700,184.291360,0.263273,0,0,0
1772799814.847570,726,190.567273,0.262489,0,0,0
1772799814.947718,720,193.007570,0.268066,0,0,0
1772799815.047644,737,188.556279,0.255843,0,0,0
1772799815.147871,718,193.840391,0.269973,0,0,0
1772799815.247524,730,190.759878,0.261315,0,0,0
1772799815.347594,719,175.396774,0.243945,0,0,0
1772799815.447551,723,181.847775,0.251518,0,0,0
1772799815.547613,709,175.727161,0.247852,0,0,0
1772799815.647571,726,175.154249,0.241259,0,0,0
1772799815.747758,734,179.617562,0.244711,0,0,0
1772799815.847592,717,184.244016,0.256965,0,0,0
1772799815.947417,724,184.329558,0.254599,0,0,0
1772799816.047720,718,186.717034,0.260052,0,0,0
1772799816.147733,694,181.551192,0.261601,0,0,0
1772799816.247762,716,177.091680,0.247335,0,0,0
1772799816.346641,689,174.014644,0.252561,0,0,0
1772799816.447963,663,155.214632,0.234110,0,0,0
1772799816.547904,636,148.479505,0.233458,0,0,0
1772799816.647771,655,150.433293,0.229669,0,0,0
1772799816.747642,636,141.176017,0.221975,0,0,0
1772799816.847764,646,152.239061,0.235664,0,0,0
1772799816.947729,623,151.921344,0.243854,0,0,0
1772799817.047597,610,153.155415,0.251074,0,0,0
1772799817.146787,647,167.569758,0.258995,0,0,0
1772799817.247661,611,151.479368,0.247920,0,0,0
1772799817.347612,619,156.222840,0.252379,0,0,0
