t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772840372.811159,0,nan,nan,0,0,0
1772840372.911146,0,nan,nan,0,0,0
1772840373.011120,0,nan,nan,0,0,0
1772840373.111082,0,nan,nan,0,0,0
1772840373.211293,0,nan,nan,0,0,1
1772840373.311124,0,nan,nan,0,0,1
1772840373.411313,0,nan,nan,0,0,1
1772840373.511125,0,nan,nan,0,0,1
1772840373.611054,0,nan,nan,0,0,1
1772840373.711123,0,nan,nan,0,1,1
1772840373.811084,690,202.245462,0.293109,0,1,1
1772840373.911337,733,226.476527,0.308972,0,1,1
1772840374.011068,732,224.299292,0.306420,0,1,0
1772840374.111513,742,222.851267,0.300339,0,0,0
1772840374.211075,714,214.666283,0.300653,0,0,0
1772840374.311147,726,230.103766,0.316947,0,0,0
1772840374.411343,706,206.911731,0.293076,0,0,0
1772840374.511081,715,222.999965,0.311888,0,0,0
1772840374.611122,712,220.572409,0.309793,0,0,0
1772840374.711539,700,216.521482,0.309316,0,0,0
1772840374.811679,700,202.704618,0.289578,0,0,0
1772840374.911620,734,233.685452,0.318373,0,0,0
1772840375.011222,735,224.151075,0.304967,0,0,0
1772840375.111125,731,226.738623,0.310176,0,0,0
1772840375.211195,723,221.971496,0.307015,0,0,0
1772840375.311115,726,226.762094,0.312344,0,0,0
1772840375.411109,725,223.299795,0.308000,0,0,0
1772840375.511085,729,224.784518,0.308346,0,0,0
1772840375.611145,717,219.202377,0.305722,0,0,0
1772840375.711141,725,227.685818,0.314049,0,0,0
1772840375.811175,716,229.997816,0.321226,0,0,0
1772840375.911188,691,217.483782,0.314738,0,0,0
1772840376.011248,707,219.125635,0.309937,0,0,0
1772840376.111105,673,209.250675,0.310922,0,0,0
1772840376.211079,697,209.983632,0.301268,0,0,0
1772840376.311057,668,203.136685,0.304097,0,0,0
1772840376.411306,677,218.490965,0.322734,0,0,0
1772840376.511092,690,218.132761,0.316134,0,0,0
1772840376.611080,673,210.379006,0.312599,0,0,0
1772840376.711076,670,212.141617,0.316629,0,0,0
1772840376.811074,662,207.763455,0.313842,0,0,0
1772840376.911286,670,212.805492,0.317620,0,0,0
1772840377.011332,663,197.942246,0.298555,0,0,0
1772840377.111076,665,200.883916,0.302081,0,0,0
1772840377.211056,656,203.550467,0.310290,0,0,0
1772840377.311271,669,209.429326,0.313048,0,0,0
1772840377.411020,689,210.627388,0.305700,0,0,0
1772840377.511323,659,209.737887,0.318267,0,0,0
1772840377.611376,665,201.302975,0.302711,0,0,0
1772840377.711083,694,218.203623,0.314414,0,0,0
1772840377.811218,673,212.748218,0.316119,0,0,0
1772840377.911126,671,213.990033,0.318912,0,0,0
1772840378.011085,684,218.398025,0.319295,0,0,0
1772840378.111060,690,214.063794,0.310237,0,0,0
1772840378.211088,690,218.307626,0.316388,0,0,0
1772840378.311349,672,214.779479,0.319612,0,0,0
1772840378.410956,698,215.886637,0.309293,0,0,0
1772840378.511078,703,223.935469,0.318543,0,0,0
1772840378.611036,699,219.906885,0.314602,0,0,0
1772840378.711063,688,218.605535,0.317741,0,0,0
1772840378.810914,694,218.821251,0.315304,0,0,0
1772840378.911189,681,211.941246,0.311221,0,0,0
1772840379.011054,688,216.056846,0.314036,0,0,0
1772840379.111036,675,214.108303,0.317197,0,0,0
1772840379.211096,703,222.826332,0.316965,0,0,0
1772840379.311116,717,223.609491,0.311868,0,0,0
1772840379.411120,724,224.478712,0.310053,0,0,0
1772840379.511308,754,224.817022,0.298166,0,0,0
1772840379.611084,740,214.124661,0.289358,0,0,0
1772840379.711143,758,223.541022,0.294909,0,0,0
1772840379.811164,741,229.357977,0.309525,0,0,0
1772840379.911150,750,207.926008,0.277235,0,0,0
1772840380.011051,747,219.346733,0.293637,0,0,0
1772840380.111967,734,198.947966,0.271046,0,0,0
1772840380.211201,738,213.680391,0.289540,0,0,0
1772840380.311111,758,208.506505,0.275075,0,0,0
1772840380.411440,726,219.609125,0.302492,0,0,0
1772840380.510931,739,227.010379,0.307186,0,0,0
1772840380.611048,722,218.328047,0.302393,0,0,0
1772840380.711229,744,222.254712,0.298729,0,0,0
1772840380.811070,728,218.848132,0.300616,0,0,0
1772840380.911155,731,229.990592,0.314625,0,0,0
1772840381.010974,753,232.127174,0.308270,0,0,0
1772840381.110975,737,233.086749,0.316264,0,0,0
1772840381.211140,769,237.055452,0.308265,0,0,0
1772840381.311104,739,232.594287,0.314742,0,0,0
1772840381.411023,763,236.745593,0.310283,0,0,0
1772840381.511269,746,237.923426,0.318932,0,0,0
1772840381.611243,760,228.087860,0.300116,0,0,0
1772840381.711056,749,237.990642,0.317745,0,0,0
1772840381.811151,741,229.262761,0.309396,0,0,0
1772840381.911193,749,232.222187,0.310043,0,0,0
1772840382.011394,752,223.267992,0.296899,0,0,0
1772840382.110890,757,230.640645,0.304677,0,0,0
1772840382.211073,741,222.981477,0.300920,0,0,0
1772840382.311146,749,233.140095,0.311268,0,0,0
1772840382.410914,779,234.929927,0.301579,0,0,0
1772840382.511065,764,241.545762,0.316159,0,0,0
1772840382.611293,760,229.084066,0.301426,0,0,0
1772840382.711161,746,229.589458,0.307761,0,0,0
1772840382.811069,750,229.475337,0.305967,0,0,0
1772840382.911121,754,237.583910,0.315098,0,0,0
1772840383.011597,737,224.139974,0.304125,0,0,0
1772840383.111053,754,234.150361,0.310544,0,0,0
1772840383.211183,738,223.266738,0.302529,0,0,0
1772840383.312403,738,222.029710,0.300853,0,0,0
1772840383.411398,737,230.136992,0.312262,0,0,0
1772840383.511207,738,227.598362,0.308399,0,0,0
1772840383.611138,730,227.802556,0.312058,0,0,0
1772840383.711143,753,229.820703,0.305207,0,0,0
1772840383.811277,750,232.453169,0.309938,0,0,0
1772840383.913291,751,227.841137,0.303384,0,0,0
1772840384.011250,767,234.566459,0.305823,0,0,0
1772840384.111295,777,229.652009,0.295562,0,0,0
1772840384.211039,784,232.653668,0.296752,0,0,0
1772840384.310931,795,230.834812,0.290358,0,0,0
1772840384.411269,788,229.208204,0.290873,0,0,0
1772840384.511227,785,235.089755,0.299477,0,0,0
1772840384.610980,786,234.220231,0.297990,0,0,0
1772840384.711230,754,225.095239,0.298535,0,0,0
1772840384.811343,758,230.249118,0.303759,0,0,0
1772840384.911216,778,226.050934,0.290554,0,0,0
1772840385.011150,774,246.722724,0.318763,0,0,0
1772840385.111193,772,231.385110,0.299722,0,0,0
1772840385.211170,806,245.425740,0.304498,0,0,0
1772840385.311280,819,243.514823,0.297332,0,0,0
1772840385.411347,800,249.246183,0.311558,0,0,0
1772840385.510936,798,246.554946,0.308966,0,0,0
1772840385.611131,813,248.985157,0.306255,0,0,0
1772840385.711206,827,257.969207,0.311934,0,0,0
1772840385.811193,822,251.531327,0.305999,0,0,0
1772840385.910957,796,251.615055,0.316099,0,0,0
1772840386.011948,822,252.181825,0.306791,0,0,0
1772840386.111152,795,245.083948,0.308282,0,0,0
1772840386.211127,801,247.995303,0.309607,0,0,0
1772840386.311267,791,238.527947,0.301552,0,0,0
1772840386.411262,817,246.867439,0.302163,0,0,0
1772840386.511027,790,239.770294,0.303507,0,0,0
1772840386.611560,818,245.605478,0.300251,0,0,0
1772840386.711839,781,234.376372,0.300098,0,0,0
1772840386.811003,817,248.671111,0.304371,0,0,0
1772840386.910930,809,245.511882,0.303476,0,0,0
1772840387.011234,802,245.816415,0.306504,0,0,0
1772840387.111564,802,242.866085,0.302826,0,0,0
1772840387.211184,789,247.365513,0.313518,0,0,0
1772840387.311266,809,249.725722,0.308684,0,0,0
1772840387.411234,811,248.997234,0.307025,0,0,0
1772840387.511100,814,256.965718,0.315683,0,0,0
1772840387.611239,812,247.274454,0.304525,0,0,0
1772840387.711225,813,249.624836,0.307042,0,0,0
1772840387.811076,801,246.521056,0.307767,0,0,0
1772840387.911128,803,251.939704,0.313748,0,0,0
1772840388.011277,785,241.553347,0.307711,0,0,0
1772840388.110999,794,248.557676,0.313045,0,0,0
1772840388.211192,807,246.981755,0.306049,0,0,0
1772840388.310925,817,254.483166,0.311485,0,0,0
1772840388.411116,797,245.444418,0.307960,0,0,0
1772840388.511128,817,251.920049,0.308348,0,0,0
1772840388.611178,798,242.310536,0.303647,0,0,0
1772840388.711204,819,254.250210,0.310440,0,0,0
1772840388.811160,817,250.580765,0.306708,0,0,0
1772840388.911195,791,249.624958,0.315581,0,0,0
1772840389.011220,781,250.392941,0.320606,0,0,0
1772840389.111192,802,255.350193,0.318392,0,0,0
1772840389.211188,808,250.637076,0.310194,0,0,0
1772840389.311170,800,252.094979,0.315119,0,0,0
1772840389.411084,809,252.099521,0.311619,0,0,0
1772840389.511232,802,241.484880,0.301103,0,0,0
1772840389.611252,805,249.085467,0.309423,0,0,0
1772840389.711107,800,247.127699,0.308910,0,0,0
1772840389.811365,785,246.471338,0.313976,0,0,0
1772840389.911186,816,250.433610,0.306904,0,0,0
1772840390.011275,784,246.714788,0.314687,0,0,0
1772840390.111138,834,249.754049,0.299465,0,0,0
1772840390.211371,816,256.177076,0.313942,0,0,0
1772840390.311278,826,247.288681,0.299381,0,0,0
1772840390.411264,816,249.608921,0.305893,0,0,0
1772840390.511343,821,243.457046,0.296537,0,0,0
1772840390.611278,818,248.139280,0.303349,0,0,0
1772840390.711100,829,245.518409,0.296162,0,0,0
1772840390.811210,809,247.886235,0.306411,0,0,0
1772840390.911201,815,244.535185,0.300043,0,0,0
1772840391.011881,845,253.618405,0.300140,0,0,0
1772840391.111323,804,245.482309,0.305326,0,0,0
1772840391.211082,818,247.794636,0.302927,0,0,0
1772840391.311082,786,247.173861,0.314471,0,0,0
1772840391.411027,790,237.676463,0.300856,0,0,0
1772840391.511539,795,247.996600,0.311945,0,0,0
1772840391.611126,792,235.705636,0.297608,0,0,0
1772840391.711045,778,234.565487,0.301498,0,0,0
1772840391.811531,787,239.782014,0.304679,0,0,0
1772840391.911125,808,243.776498,0.301704,0,0,0
1772840392.011144,776,230.745585,0.297353,0,0,0
1772840392.110906,777,234.612034,0.301946,0,0,0
1772840392.211300,771,236.365700,0.306570,0,0,0
1772840392.311020,801,247.667515,0.309198,0,0,0
1772840392.411242,799,234.394748,0.293360,0,0,0
1772840392.511288,801,247.026505,0.308398,0,0,0
1772840392.611231,800,233.749391,0.292187,0,0,0
1772840392.711016,798,228.864604,0.286798,0,0,0
1772840392.811190,790,231.768262,0.293378,0,0,0
1772840392.911258,825,240.978167,0.292095,0,0,0
1772840393.011398,806,236.853689,0.293863,0,0,0
1772840393.111064,813,234.658699,0.288633,0,0,0
1772840393.211146,809,232.370634,0.287232,0,0,0
1772840393.311157,817,234.687784,0.287256,0,0,0
1772840393.411423,831,232.051329,0.279243,0,0,0
1772840393.511554,820,222.039245,0.270780,0,0,0
1772840393.611160,822,231.693416,0.281865,0,0,0
1772840393.711549,834,232.056418,0.278245,0,0,0
1772840393.811204,816,234.029202,0.286800,0,0,0
1772840393.911182,817,228.824771,0.280079,0,0,0
1772840394.011525,811,220.530734,0.271924,0,0,0
1772840394.111223,809,218.086883,0.269576,0,0,0
1772840394.211139,815,220.846763,0.270978,0,0,0
1772840394.311036,835,228.818041,0.274034,0,0,0
1772840394.411533,809,218.934395,0.270623,0,0,0
1772840394.511165,837,218.532191,0.261090,0,0,0
1772840394.611145,848,238.328201,0.281047,0,0,0
1772840394.711109,807,221.033249,0.273895,0,0,0
1772840394.811080,826,233.712460,0.282945,0,0,0
1772840394.911133,835,232.814907,0.278820,0,0,0
1772840395.011490,821,223.065297,0.271700,0,0,0
1772840395.110848,834,219.237271,0.262874,0,0,0
1772840395.211060,813,219.450214,0.269926,0,0,0
1772840395.311257,825,214.793094,0.260355,0,0,0
1772840395.411216,801,213.431131,0.266456,0,0,0
1772840395.511602,844,223.917228,0.265305,0,0,0
1772840395.611091,845,228.836461,0.270812,0,0,0
1772840395.711183,849,233.312563,0.274809,0,0,0
1772840395.811225,868,235.412848,0.271213,0,0,0
1772840395.911396,862,228.152321,0.264678,0,0,0
1772840396.011267,875,234.581722,0.268093,0,0,0
1772840396.111195,845,211.442518,0.250228,0,0,0
1772840396.211016,835,205.760497,0.246420,0,0,0
1772840396.311111,845,214.633709,0.254004,0,0,0
1772840396.411351,856,211.145833,0.246666,0,0,0
1772840396.511151,816,199.345940,0.244296,0,0,0
1772840396.611067,836,203.418678,0.243324,0,0,0
1772840396.711450,830,187.768959,0.226228,0,0,0
1772840396.811482,851,200.724021,0.235868,0,0,0
1772840396.911350,842,193.794708,0.230160,0,0,0
1772840397.011172,824,189.209973,0.229624,0,0,0
1772840397.111156,818,182.901520,0.223596,0,0,0
1772840397.211339,829,195.877192,0.236281,0,0,0
1772840397.313004,828,192.948217,0.233029,0,0,0
1772840397.411535,821,185.753387,0.226253,0,0,0
1772840397.511116,836,179.060879,0.214188,0,0,0
1772840397.611352,823,187.890277,0.228299,0,0,0
1772840397.711187,840,183.484744,0.218434,0,0,0
1772840397.810874,842,181.847737,0.215971,0,0,0
1772840397.911119,844,183.293628,0.217173,0,0,0
1772840398.011329,844,185.771721,0.220109,0,0,0
1772840398.111140,847,180.158496,0.212702,0,0,0
1772840398.211493,866,188.067218,0.217168,0,0,0
1772840398.311465,892,196.256664,0.220019,0,0,0
1772840398.411552,861,199.316635,0.231494,0,0,0
1772840398.511099,884,200.329127,0.226617,0,0,0
1772840398.611134,881,204.973696,0.232660,0,0,0
1772840398.711256,898,203.391862,0.226494,0,0,0
1772840398.811134,847,198.778753,0.234686,0,0,0
1772840398.912518,871,206.372567,0.236938,0,0,0
1772840399.011105,854,200.723697,0.235039,0,0,0
1772840399.111122,829,207.874982,0.250754,0,0,0
1772840399.211529,868,205.071155,0.236257,0,0,0
1772840399.311502,861,197.361581,0.229224,0,0,0
1772840399.411191,867,199.112305,0.229657,0,0,0
1772840399.511096,874,197.003903,0.225405,0,0,0
1772840399.611115,842,192.904173,0.229102,0,0,0
1772840399.711034,868,207.082269,0.238574,0,0,0
1772840399.811689,851,201.958454,0.237319,0,0,0
1772840399.911134,868,203.636048,0.234604,0,0,0
1772840400.011067,872,204.990184,0.235080,0,0,0
1772840400.111239,871,196.563009,0.225675,0,0,0
1772840400.211181,864,202.480800,0.234353,0,0,0
1772840400.311451,850,203.086734,0.238926,0,0,0
1772840400.410940,851,200.289255,0.235358,0,0,0
1772840400.511161,871,214.248284,0.245980,0,0,0
1772840400.611494,842,201.258269,0.239024,0,0,0
1772840400.711723,841,197.780756,0.235173,0,0,0
1772840400.811487,824,205.331815,0.249189,0,0,0
1772840400.910987,824,198.185337,0.240516,0,0,0
1772840401.011095,812,214.307163,0.263925,0,0,0
1772840401.111590,825,208.380260,0.252582,0,0,0
1772840401.211108,801,215.550116,0.269101,0,0,0
1772840401.311096,821,210.207657,0.256039,0,0,0
1772840401.411005,822,217.421949,0.264504,0,0,0
1772840401.511408,839,228.757519,0.272655,0,0,0
1772840401.611496,840,234.257784,0.278878,0,0,0
1772840401.711121,803,207.866487,0.258862,0,0,0
1772840401.811158,812,222.757566,0.274332,0,0,0
1772840401.911200,781,215.000603,0.275289,0,0,0
1772840402.011533,825,227.455971,0.275704,0,0,0
1772840402.111157,802,224.857614,0.280371,0,0,0
1772840402.211140,844,233.533429,0.276698,0,0,0
1772840402.311502,833,236.165132,0.283512,0,0,0
1772840402.411197,855,243.293012,0.284553,0,0,0
1772840402.511047,870,246.086546,0.282858,0,0,0
1772840402.611423,910,264.117457,0.290239,0,0,0
1772840402.711468,880,252.923113,0.287413,0,0,0
1772840402.811145,873,250.312602,0.286727,0,0,0
1772840402.911349,840,249.136217,0.296591,0,0,0
1772840403.011037,843,232.940893,0.276324,0,0,0
1772840403.111440,826,232.922407,0.281988,0,0,0
1772840403.211452,806,223.108633,0.276810,0,0,0
1772840403.311054,814,219.007429,0.269051,0,0,0
1772840403.411642,823,221.754062,0.269446,0,0,0
1772840403.511125,827,227.909032,0.275585,0,0,0
1772840403.611202,833,228.693545,0.274542,0,0,0
1772840403.711061,866,237.672459,0.274449,0,0,0
1772840403.811294,827,219.863700,0.265857,0,0,0
1772840403.911150,834,220.247004,0.264085,0,0,0
1772840404.011054,827,222.417867,0.268945,0,0,0
1772840404.111633,823,224.216337,0.272438,0,0,0
1772840404.210849,810,220.258355,0.271924,0,0,0
1772840404.311602,774,210.917108,0.272503,0,0,0
1772840404.411133,811,219.399444,0.270530,0,0,0
1772840404.511128,793,191.369755,0.241324,0,0,0
1772840404.611601,793,199.772852,0.251920,0,0,0
1772840404.711461,815,176.577296,0.216659,0,0,0
1772840404.811396,813,198.773427,0.244494,0,0,0
1772840404.911658,810,183.452967,0.226485,0,0,0
1772840405.011526,818,190.012233,0.232289,0,0,0
1772840405.111124,867,215.671049,0.248756,0,0,0
1772840405.211306,825,214.677386,0.260215,0,0,0
1772840405.311419,862,227.538942,0.263966,0,0,0
1772840405.411662,843,220.847475,0.261978,0,0,0
1772840405.511499,821,208.303968,0.253720,0,0,0
1772840405.611486,858,227.912138,0.265632,0,0,0
1772840405.711160,842,227.475119,0.270160,0,0,0
1772840405.811632,884,237.245565,0.268377,0,0,0
1772840405.911601,859,240.246477,0.279682,0,0,0
1772840406.011525,869,230.391087,0.265122,0,0,0
1772840406.111115,868,247.481125,0.285117,0,0,0
1772840406.212556,867,227.385057,0.262267,0,0,0
1772840406.311011,856,233.315079,0.272564,0,0,0
1772840406.411336,860,226.434093,0.263295,0,0,0
1772840406.511113,863,225.848645,0.261702,0,0,0
1772840406.611749,851,223.670445,0.262832,0,0,0
1772840406.711132,853,233.256847,0.273455,0,0,0
1772840406.811405,846,228.271746,0.269825,0,0,0
1772840406.911009,846,237.042192,0.280192,0,0,0
1772840407.011152,834,212.735898,0.255079,0,0,0
1772840407.111008,848,223.559439,0.263631,0,0,0
