t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772807223.617690,0,nan,nan,0,0,0
1772807223.717643,0,nan,nan,0,0,0
1772807223.817593,0,nan,nan,0,0,0
1772807223.917737,0,nan,nan,0,0,0
1772807224.017634,0,nan,nan,0,0,1
1772807224.117720,0,nan,nan,0,0,1
1772807224.217556,0,nan,nan,0,0,1
1772807224.317562,0,nan,nan,0,0,1
1772807224.417574,0,nan,nan,0,0,1
1772807224.517703,0,nan,nan,0,1,1
1772807224.617587,912,179.348050,0.196654,0,1,1
1772807224.717682,889,169.880925,0.191092,0,1,1
1772807224.817640,935,198.674212,0.212486,0,1,0
1772807224.917683,896,190.961232,0.213126,0,0,0
1772807225.017650,904,184.068932,0.203616,0,0,0
1772807225.117620,904,189.037244,0.209112,0,0,0
1772807225.217730,912,192.391801,0.210956,0,0,0
1772807225.317575,918,187.596498,0.204353,0,0,0
1772807225.417567,951,199.687034,0.209976,0,0,0
1772807225.517649,978,196.924417,0.201354,0,0,0
1772807225.618467,983,182.936512,0.186100,0,0,0
1772807225.717609,985,196.518756,0.199511,0,0,0
1772807225.817431,1004,180.071216,0.179354,0,0,0
1772807225.917817,983,191.588270,0.194902,0,0,0
1772807226.017661,981,193.372757,0.197118,0,0,0
1772807226.117778,999,193.289898,0.193483,0,0,0
1772807226.217713,985,204.216928,0.207327,0,0,0
1772807226.317624,980,201.660524,0.205776,0,0,0
1772807226.417559,1010,206.849827,0.204802,0,0,0
1772807226.517705,975,193.049239,0.197999,0,0,0
1772807226.617547,939,191.183063,0.203603,0,0,0
1772807226.717798,979,197.162846,0.201392,0,0,0
1772807226.817710,963,209.750609,0.217810,0,0,0
1772807226.917599,966,209.609714,0.216987,0,0,0
1772807227.017677,959,213.599423,0.222731,0,0,0
1772807227.117579,989,223.664306,0.226152,0,0,0
1772807227.217719,991,211.651632,0.213574,0,0,0
1772807227.317701,959,217.922181,0.227239,0,0,0
1772807227.417691,980,209.098519,0.213366,0,0,0
1772807227.517685,963,216.289584,0.224600,0,0,0
1772807227.617666,973,202.297602,0.207911,0,0,0
1772807227.717872,958,224.525869,0.234369,0,0,0
1772807227.817683,968,211.872936,0.218877,0,0,0
1772807227.917768,960,207.986643,0.216653,0,0,0
1772807228.017690,987,205.276010,0.207980,0,0,0
1772807228.117541,1017,221.501452,0.217799,0,0,0
1772807228.217985,1001,213.045600,0.212833,0,0,0
1772807228.317588,1000,208.758781,0.208759,0,0,0
1772807228.417643,1019,214.862654,0.210856,0,0,0
1772807228.517796,999,203.706415,0.203910,0,0,0
1772807228.617759,985,197.743650,0.200755,0,0,0
1772807228.717696,967,199.381055,0.206185,0,0,0
1772807228.817925,918,188.238426,0.205053,0,0,0
1772807228.917620,912,186.587295,0.204591,0,0,0
1772807229.017540,901,195.698139,0.217201,0,0,0
1772807229.117538,909,184.940945,0.203455,0,0,0
1772807229.217609,880,182.618196,0.207521,0,0,0
1772807229.317702,895,177.233243,0.198026,0,0,0
1772807229.417678,868,181.846108,0.209500,0,0,0
1772807229.517674,893,168.115871,0.188260,0,0,0
1772807229.617529,903,193.886784,0.214714,0,0,0
1772807229.717839,889,174.065229,0.195799,0,0,0
1772807229.817676,918,186.305063,0.202947,0,0,0
1772807229.917641,871,185.855669,0.213382,0,0,0
1772807230.017520,883,190.668117,0.215932,0,0,0
1772807230.117492,863,186.718903,0.216360,0,0,0
1772807230.217523,862,171.848216,0.199360,0,0,0
1772807230.317525,833,177.898433,0.213564,0,0,0
1772807230.417712,868,182.419821,0.210161,0,0,0
1772807230.517523,896,184.860052,0.206317,0,0,0
1772807230.617647,946,194.819752,0.205941,0,0,0
1772807230.717719,984,197.401403,0.200611,0,0,0
1772807230.817528,970,184.959393,0.190680,0,0,0
1772807230.917558,966,194.811496,0.201668,0,0,0
1772807231.017601,990,195.479238,0.197454,0,0,0
1772807231.117643,995,209.670339,0.210724,0,0,0
1772807231.217739,994,214.901521,0.216199,0,0,0
1772807231.317668,990,208.367856,0.210473,0,0,0
1772807231.417634,989,202.392645,0.204644,0,0,0
1772807231.517638,973,208.220025,0.213998,0,0,0
1772807231.617579,949,202.294795,0.213166,0,0,0
1772807231.717808,953,199.515412,0.209355,0,0,0
1772807231.817520,950,201.910190,0.212537,0,0,0
1772807231.917648,940,200.824348,0.213643,0,0,0
1772807232.017649,955,216.073008,0.226254,0,0,0
1772807232.117492,951,201.985076,0.212392,0,0,0
1772807232.217578,982,223.041473,0.227130,0,0,0
1772807232.317646,967,211.346869,0.218559,0,0,0
1772807232.417476,968,198.131999,0.204682,0,0,0
1772807232.517756,960,210.674096,0.219452,0,0,0
1772807232.617514,986,196.894322,0.199690,0,0,0
1772807232.717721,961,209.653094,0.218161,0,0,0
1772807232.817641,967,191.131380,0.197654,0,0,0
1772807232.917541,977,212.130341,0.217124,0,0,0
1772807233.017522,971,188.675565,0.194311,0,0,0
1772807233.117488,1001,207.103636,0.206897,0,0,0
1772807233.217624,1000,212.057851,0.212058,0,0,0
1772807233.317503,1011,206.124167,0.203881,0,0,0
1772807233.417660,1024,217.816278,0.212711,0,0,0
1772807233.517557,1008,219.464418,0.217723,0,0,0
1772807233.617538,1027,218.700318,0.212951,0,0,0
1772807233.717679,1011,209.894074,0.207610,0,0,0
1772807233.817623,1002,213.648274,0.213222,0,0,0
1772807233.917535,1007,219.995589,0.218466,0,0,0
1772807234.017634,1014,211.548620,0.208628,0,0,0
1772807234.117919,998,208.627797,0.209046,0,0,0
1772807234.217557,980,212.006870,0.216334,0,0,0
1772807234.317622,979,192.097424,0.196218,0,0,0
1772807234.417507,974,197.826394,0.203107,0,0,0
1772807234.517497,1010,192.860142,0.190951,0,0,0
1772807234.617548,996,195.082933,0.195866,0,0,0
1772807234.717656,1013,213.812470,0.211069,0,0,0
1772807234.817459,1019,206.185769,0.202341,0,0,0
1772807234.917549,1018,213.553643,0.209778,0,0,0
1772807235.017517,997,201.668095,0.202275,0,0,0
1772807235.117582,979,199.317130,0.203593,0,0,0
