t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772807947.532914,0,nan,nan,0,0,0
1772807947.632246,0,nan,nan,0,0,0
1772807947.731341,0,nan,nan,0,0,0
1772807947.832141,0,nan,nan,0,0,0
1772807947.932295,0,nan,nan,0,0,1
1772807948.032189,0,nan,nan,0,0,1
1772807948.132157,0,nan,nan,0,0,1
1772807948.232493,0,nan,nan,0,0,1
1772807948.332144,0,nan,nan,0,0,1
1772807948.432140,0,nan,nan,0,1,1
1772807948.532202,1139,304.597504,0.267425,0,1,1
1772807948.632160,1182,311.175302,0.263262,0,1,1
1772807948.731150,1134,267.005944,0.235455,0,1,0
1772807948.833111,1134,259.282886,0.228645,0,0,0
1772807948.932328,1085,281.739641,0.259668,0,0,0
1772807949.032307,1057,264.330601,0.250076,0,0,0
1772807949.131392,1106,285.412070,0.258058,0,0,0
1772807949.231160,1108,295.946566,0.267100,0,0,0
1772807949.332142,1079,281.258911,0.260666,0,0,0
1772807949.431323,1068,288.993361,0.270593,0,0,0
1772807949.532103,1079,284.083246,0.263284,0,0,0
1772807949.631384,1070,290.675441,0.271659,0,0,0
1772807949.732115,1031,281.073301,0.272622,0,0,0
1772807949.832453,1016,283.116477,0.278658,0,0,0
1772807949.932162,1014,267.214641,0.263525,0,0,0
1772807950.032151,988,250.083550,0.253121,0,0,0
1772807950.132150,997,252.813654,0.253574,0,0,0
1772807950.232162,1010,261.331317,0.258744,0,0,0
1772807950.332101,1011,243.282318,0.240635,0,0,0
1772807950.432062,1007,255.407839,0.253632,0,0,0
1772807950.530955,1004,252.280290,0.251275,0,0,0
1772807950.631402,976,247.259466,0.253340,0,0,0
1772807950.731282,978,242.999872,0.248466,0,0,0
1772807950.832192,1000,246.718080,0.246718,0,0,0
1772807950.932183,1007,241.935485,0.240254,0,0,0
1772807951.032038,998,254.835263,0.255346,0,0,0
1772807951.131250,987,246.861887,0.250113,0,0,0
1772807951.232115,984,250.574130,0.254649,0,0,0
1772807951.332960,1001,255.719610,0.255464,0,0,0
1772807951.432218,1017,259.732236,0.255391,0,0,0
1772807951.532306,1013,262.219660,0.258855,0,0,0
1772807951.632226,1026,266.713709,0.259955,0,0,0
1772807951.732175,1043,271.832209,0.260625,0,0,0
1772807951.830932,1089,288.286843,0.264726,0,0,0
1772807951.932076,1108,300.022658,0.270779,0,0,0
1772807952.032516,1104,297.617395,0.269581,0,0,0
1772807952.132388,1111,323.257932,0.290961,0,0,0
1772807952.232071,1123,317.383114,0.282621,0,0,0
1772807952.332280,1123,322.671451,0.287330,0,0,0
1772807952.431352,1101,321.048831,0.291597,0,0,0
1772807952.532195,1103,316.135077,0.286614,0,0,0
1772807952.632124,1094,305.768090,0.279496,0,0,0
1772807952.732140,1055,301.590399,0.285868,0,0,0
1772807952.831354,1072,282.030455,0.263088,0,0,0
1772807952.932177,1044,278.958442,0.267202,0,0,0
1772807953.033002,1045,284.138366,0.271903,0,0,0
1772807953.132475,1061,278.636792,0.262617,0,0,0
1772807953.232084,1074,285.111689,0.265467,0,0,0
1772807953.332140,1064,297.787596,0.279876,0,0,0
1772807953.432094,1082,293.600293,0.271350,0,0,0
1772807953.532148,1076,296.540798,0.275596,0,0,0
1772807953.632257,1060,293.349112,0.276744,0,0,0
1772807953.732080,1082,285.193075,0.263580,0,0,0
1772807953.833075,1071,284.605448,0.265738,0,0,0
1772807953.932286,1087,293.408108,0.269925,0,0,0
1772807954.032129,1068,282.463344,0.264479,0,0,0
1772807954.132175,1093,297.445879,0.272137,0,0,0
1772807954.232157,1101,297.479983,0.270191,0,0,0
1772807954.332123,1059,285.946015,0.270015,0,0,0
1772807954.432067,1073,295.188657,0.275106,0,0,0
1772807954.532113,1089,298.402376,0.274015,0,0,0
1772807954.631999,1039,294.233860,0.283189,0,0,0
1772807954.732237,1089,314.521850,0.288817,0,0,0
1772807954.832008,1100,330.519160,0.300472,0,0,0
1772807954.932029,1122,328.492383,0.292774,0,0,0
1772807955.032110,1135,323.796895,0.285284,0,0,0
1772807955.132072,1132,314.563635,0.277883,0,0,0
1772807955.232008,1098,316.417321,0.288176,0,0,0
1772807955.332165,1116,310.804391,0.278499,0,0,0
1772807955.432032,1111,322.858351,0.290602,0,0,0
1772807955.532023,1067,304.029519,0.284939,0,0,0
1772807955.631998,1098,333.288907,0.303542,0,0,0
1772807955.731333,1079,320.678554,0.297200,0,0,0
1772807955.832372,1087,326.465667,0.300336,0,0,0
1772807955.933001,1094,316.397097,0.289211,0,0,0
1772807956.033030,1106,324.629478,0.293517,0,0,0
1772807956.133130,1109,324.266691,0.292396,0,0,0
1772807956.231198,1108,338.194355,0.305230,0,0,0
1772807956.332014,1116,328.187965,0.294075,0,0,0
1772807956.432004,1157,347.415974,0.300273,0,0,0
1772807956.532237,1127,346.087547,0.307087,0,0,0
1772807956.632078,1113,333.389157,0.299541,0,0,0
1772807956.731349,1106,335.228195,0.303100,0,0,0
1772807956.832218,1108,331.815032,0.299472,0,0,0
1772807956.932157,1085,338.293910,0.311792,0,0,0
1772807957.032265,1093,324.698673,0.297071,0,0,0
1772807957.132095,1072,320.840335,0.299291,0,0,0
1772807957.232919,1081,331.768975,0.306909,0,0,0
1772807957.332293,1102,329.724656,0.299206,0,0,0
1772807957.432716,1098,319.797790,0.291255,0,0,0
1772807957.532036,1122,329.037512,0.293260,0,0,0
1772807957.632121,1101,318.456317,0.289243,0,0,0
1772807957.731314,1117,325.796833,0.291671,0,0,0
1772807957.831187,1106,316.970282,0.286592,0,0,0
1772807957.932556,1128,340.818900,0.302144,0,0,0
1772807958.032206,1104,316.390712,0.286586,0,0,0
1772807958.133020,1105,314.861018,0.284942,0,0,0
1772807958.232280,1128,318.180224,0.282075,0,0,0
1772807958.332196,1118,321.869929,0.287898,0,0,0
1772807958.431979,1141,317.019380,0.277843,0,0,0
1772807958.532224,1127,323.687166,0.287211,0,0,0
1772807958.632007,1162,334.207884,0.287614,0,0,0
1772807958.732131,1130,306.004663,0.270801,0,0,0
1772807958.832057,1135,318.137530,0.280297,0,0,0
1772807958.932128,1145,325.230270,0.284044,0,0,0
1772807959.031983,1111,299.125334,0.269240,0,0,0
1772807959.132147,1163,319.044595,0.274329,0,0,0
1772807959.232062,1155,307.610230,0.266329,0,0,0
1772807959.331291,1146,320.657434,0.279806,0,0,0
1772807959.432203,1106,314.901259,0.284721,0,0,0
1772807959.531213,1128,325.569794,0.288626,0,0,0
1772807959.631177,1132,317.001850,0.280037,0,0,0
1772807959.731961,1127,329.378633,0.292261,0,0,0
1772807959.832052,1138,331.304194,0.291128,0,0,0
1772807959.931997,1139,333.393777,0.292707,0,0,0
1772807960.031165,1152,325.784405,0.282799,0,0,0
1772807960.132085,1128,326.527851,0.289475,0,0,0
1772807960.232932,1144,335.113134,0.292931,0,0,0
1772807960.332110,1144,321.281488,0.280840,0,0,0
1772807960.432056,1122,321.569908,0.286604,0,0,0
1772807960.531987,1107,306.582533,0.276949,0,0,0
1772807960.631275,1137,332.654839,0.292572,0,0,0
1772807960.731179,1112,312.556980,0.281076,0,0,0
1772807960.831961,1133,323.351842,0.285394,0,0,0
1772807960.932206,1143,307.819506,0.269308,0,0,0
1772807961.032043,1132,319.350014,0.282111,0,0,0
1772807961.132030,1152,321.880863,0.279410,0,0,0
1772807961.231296,1165,342.729542,0.294188,0,0,0
1772807961.332129,1145,332.418018,0.290321,0,0,0
1772807961.431953,1155,338.768198,0.293306,0,0,0
1772807961.532089,1159,337.269381,0.291000,0,0,0
1772807961.632085,1156,330.099587,0.285553,0,0,0
1772807961.731950,1138,327.018246,0.287362,0,0,0
1772807961.832180,1143,320.810444,0.280674,0,0,0
1772807961.932180,1147,326.823827,0.284938,0,0,0
1772807962.032272,1128,309.221756,0.274133,0,0,0
1772807962.132170,1141,333.215399,0.292038,0,0,0
1772807962.232092,1143,318.979912,0.279073,0,0,0
1772807962.332020,1160,341.145395,0.294091,0,0,0
1772807962.431288,1168,347.053848,0.297135,0,0,0
1772807962.531408,1155,339.042294,0.293543,0,0,0
1772807962.631149,1174,318.962227,0.271688,0,0,0
1772807962.732033,1200,347.672961,0.289727,0,0,0
1772807962.832204,1143,319.613334,0.279627,0,0,0
1772807962.932036,1192,353.886970,0.296885,0,0,0
1772807963.031971,1177,336.101261,0.285558,0,0,0
1772807963.131957,1156,346.719661,0.299931,0,0,0
1772807963.231141,431,129.647515,0.300806,0,0,0
1772807963.331257,450,139.133964,0.309187,0,0,0
1772807963.432176,443,135.478603,0.305821,0,0,1
1772807963.531979,450,137.849433,0.306332,0,0,1
1772807963.632195,452,138.094727,0.305519,0,0,1
1772807963.731203,457,135.737584,0.297019,0,0,1
1772807963.832026,470,144.434264,0.307307,0,0,1
1772807963.932108,465,143.401936,0.308391,0,0,1
1772807964.031996,469,147.146269,0.313745,0,0,1
1772807964.132182,472,148.925451,0.315520,0,0,1
1772807964.231993,473,152.046679,0.321452,0,0,1
1772807964.332001,482,151.800674,0.314939,0,0,1
1772807964.432132,485,152.984057,0.315431,0,0,0
1772807964.531965,497,150.624768,0.303068,0,0,0
1772807964.631142,495,153.018900,0.309129,0,0,0
1772807964.731962,486,146.764065,0.301984,0,0,0
1772807964.832185,492,158.766742,0.322697,0,0,0
1772807964.933445,490,153.056388,0.312360,0,0,0
1772807965.032108,490,155.653214,0.317660,0,0,0
1772807965.131127,493,154.801315,0.313999,0,0,0
1772807965.232036,510,155.227955,0.304369,0,0,0
1772807965.331218,494,147.296640,0.298171,0,0,0
1772807965.432143,516,164.830086,0.319438,0,0,0
1772807965.532020,491,153.579364,0.312789,0,0,0
1772807965.631905,514,160.623427,0.312497,0,0,0
1772807965.731163,495,160.573591,0.324391,0,0,0
1772807965.831949,506,162.550769,0.321247,0,0,0
1772807965.931199,518,160.795185,0.310415,0,0,0
1772807966.032144,527,167.435839,0.317715,0,0,0
1772807966.131023,528,161.292656,0.305479,0,0,0
1772807966.231188,528,169.808371,0.321607,0,0,0
1772807966.332295,523,163.229734,0.312103,0,0,0
1772807966.432018,539,172.507895,0.320052,0,0,0
1772807966.532233,545,175.799771,0.322568,0,0,0
1772807966.631633,543,169.619170,0.312374,0,0,0
1772807966.731480,546,176.683387,0.323596,0,0,0
1772807966.831118,552,176.845582,0.320372,0,0,0
1772807966.931989,535,169.109005,0.316092,0,0,0
1772807967.031657,555,177.639642,0.320071,0,0,0
1772807967.132348,565,184.195889,0.326010,0,0,0
1772807967.232450,557,176.662217,0.317167,0,0,0
1772807967.331996,569,171.608934,0.301597,0,0,0
1772807967.431261,580,165.451726,0.285262,0,0,0
