t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772808746.598456,0,nan,nan,0,0,0
1772808746.699487,0,nan,nan,0,0,0
1772808746.798039,0,nan,nan,0,0,0
1772808746.898346,0,nan,nan,0,0,0
1772808746.998411,0,nan,nan,0,0,1
1772808747.099326,0,nan,nan,0,0,1
1772808747.198043,0,nan,nan,0,0,1
1772808747.298366,0,nan,nan,0,0,1
1772808747.398516,0,nan,nan,0,0,1
1772808747.498475,0,nan,nan,0,1,1
1772808747.598260,495,112.516141,0.227305,0,1,1
1772808747.698173,477,105.824190,0.221854,0,1,1
1772808747.798162,478,112.762514,0.235905,0,1,0
1772808747.899373,494,113.240146,0.229231,0,0,0
1772808747.998344,475,113.048743,0.237997,0,0,0
1772808748.099494,481,110.426192,0.229576,0,0,0
1772808748.198405,468,112.936229,0.241317,0,0,0
1772808748.299443,477,114.808563,0.240689,0,0,0
1772808748.398289,478,109.550694,0.229186,0,0,0
1772808748.498469,472,113.304000,0.240051,0,0,0
1772808748.598256,489,116.998351,0.239260,0,0,0
1772808748.698196,461,110.680989,0.240089,0,0,0
1772808748.798326,473,107.966467,0.228259,0,0,0
1772808748.898099,470,105.399862,0.224255,0,0,0
1772808748.998213,471,111.237230,0.236172,0,0,0
1772808749.098008,495,119.289942,0.240990,0,0,0
1772808749.198286,472,117.601997,0.249157,0,0,0
1772808749.298253,468,107.353642,0.229388,0,0,0
1772808749.399467,459,115.357993,0.251325,0,0,0
1772808749.498389,476,114.583149,0.240721,0,0,0
1772808749.598052,456,111.999431,0.245613,0,0,0
1772808749.699299,463,110.891690,0.239507,0,0,0
1772808749.799513,464,112.278362,0.241979,0,0,0
1772808749.899286,471,111.636831,0.237021,0,0,0
1772808749.999289,471,107.619637,0.228492,0,0,0
1772808750.098304,487,111.777776,0.229523,0,0,0
1772808750.198139,490,112.895250,0.230398,0,0,0
1772808750.298348,480,105.155953,0.219075,0,0,0
1772808750.398731,496,111.152563,0.224098,0,0,0
1772808750.498363,483,108.249658,0.224119,0,0,0
1772808750.598193,498,107.513340,0.215890,0,0,0
1772808750.698470,495,113.015986,0.228315,0,0,0
1772808750.798274,505,110.196725,0.218211,0,0,0
1772808750.899274,487,116.706211,0.239643,0,0,0
1772808750.998219,501,113.471754,0.226491,0,0,0
1772808751.098334,506,113.144993,0.223607,0,0,0
1772808751.199304,496,109.353703,0.220471,0,0,0
1772808751.298098,501,114.063430,0.227672,0,0,0
1772808751.398009,485,107.134643,0.220896,0,0,0
1772808751.498355,480,110.475600,0.230158,0,0,0
1772808751.598080,500,107.463066,0.214926,0,0,0
1772808751.698310,479,108.999896,0.227557,0,0,0
1772808751.798514,480,104.626409,0.217972,0,0,0
1772808751.898385,473,103.315638,0.218426,0,0,0
1772808751.998521,465,94.711181,0.203680,0,0,0
1772808752.098524,458,91.839761,0.200523,0,0,0
1772808752.197993,473,99.591450,0.210553,0,0,0
1772808752.298342,466,100.085595,0.214776,0,0,0
1772808752.398101,467,100.623315,0.215467,0,0,0
1772808752.499292,476,99.071855,0.208134,0,0,0
1772808752.598241,475,102.856072,0.216539,0,0,0
1772808752.699400,464,93.819742,0.202198,0,0,0
1772808752.799415,466,103.709945,0.222554,0,0,0
1772808752.899419,478,101.769640,0.212907,0,0,0
1772808752.999359,464,105.205915,0.226737,0,0,0
1772808753.098375,479,103.772385,0.216644,0,0,0
1772808753.199338,461,106.603270,0.231244,0,0,0
1772808753.298499,471,99.842321,0.211979,0,0,0
1772808753.399614,468,101.810865,0.217545,0,0,0
1772808753.499316,475,107.714264,0.226767,0,0,0
1772808753.599308,466,99.596247,0.213726,0,0,0
1772808753.699301,471,103.695946,0.220161,0,0,0
1772808753.799728,481,100.517440,0.208976,0,0,0
1772808753.898299,474,105.550163,0.222680,0,0,0
1772808753.998320,472,102.009699,0.216122,0,0,0
1772808754.099416,477,102.670933,0.215243,0,0,0
1772808754.198283,481,103.017825,0.214174,0,0,0
1772808754.298468,478,100.916428,0.211122,0,0,0
1772808754.398410,462,101.472613,0.219638,0,0,0
1772808754.498154,458,98.717809,0.215541,0,0,0
1772808754.598014,459,102.461023,0.223227,0,0,0
1772808754.699142,479,103.950564,0.217016,0,0,0
1772808754.798185,460,100.740227,0.219000,0,0,0
1772808754.898148,451,97.143699,0.215396,0,0,0
1772808754.999218,471,102.879192,0.218427,0,0,0
1772808755.099346,477,103.855354,0.217726,0,0,0
1772808755.198440,470,104.565348,0.222479,0,0,0
1772808755.298321,463,101.073498,0.218301,0,0,0
1772808755.398002,472,98.821846,0.209368,0,0,0
1772808755.498577,465,99.259713,0.213462,0,0,0
1772808755.599464,488,106.430348,0.218095,0,0,0
1772808755.699312,482,106.292361,0.220524,0,0,0
1772808755.799332,497,112.840942,0.227044,0,0,0
1772808755.898038,485,110.552350,0.227943,0,0,0
1772808755.999245,496,105.241335,0.212180,0,0,0
1772808756.099294,479,109.781880,0.229190,0,0,0
1772808756.198337,489,103.849178,0.212371,0,0,0
1772808756.298429,483,108.941570,0.225552,0,0,0
1772808756.399493,476,105.118995,0.220838,0,0,0
1772808756.498281,474,110.498828,0.233120,0,0,0
1772808756.599503,485,105.337490,0.217191,0,0,0
1772808756.699312,472,113.337057,0.240121,0,0,0
1772808756.798816,490,114.388472,0.233446,0,0,0
1772808756.898181,503,120.832411,0.240223,0,0,0
1772808756.998246,484,115.559152,0.238759,0,0,0
1772808757.098068,491,112.388821,0.228898,0,0,0
1772808757.199208,494,111.865470,0.226448,0,0,0
1772808757.298179,484,110.242843,0.227774,0,0,0
1772808757.397955,492,119.168476,0.242212,0,0,0
1772808757.498321,482,114.396925,0.237338,0,0,0
1772808757.597927,502,117.369778,0.233804,0,0,0
1772808757.699286,484,109.067916,0.225347,0,0,0
1772808757.799305,491,113.902421,0.231980,0,0,0
1772808757.899395,490,112.645682,0.229889,0,0,0
1772808757.999346,469,114.894563,0.244978,0,0,0
1772808758.098403,487,115.542704,0.237254,0,0,0
1772808758.199325,464,115.682559,0.249316,0,0,0
1772808758.299217,486,116.403234,0.239513,0,0,0
1772808758.398651,469,111.483766,0.237705,0,0,0
1772808758.498200,487,116.392507,0.238999,0,0,0
1772808758.599189,496,120.918747,0.243788,0,0,0
1772808758.699276,476,113.117192,0.237641,0,0,0
1772808758.798387,485,113.615745,0.234259,0,0,0
1772808758.899609,483,113.747974,0.235503,0,0,0
1772808758.999312,497,116.331283,0.234067,0,0,0
1772808759.098322,481,115.292627,0.239694,0,0,0
1772808759.198170,498,112.867518,0.226642,0,0,0
1772808759.299243,501,116.765963,0.233066,0,0,0
1772808759.399254,471,115.073024,0.244316,0,0,0
1772808759.499234,476,107.900855,0.226682,0,0,0
1772808759.599274,487,112.871697,0.231769,0,0,0
1772808759.698278,496,117.646081,0.237190,0,0,0
1772808759.799166,477,114.833161,0.240740,0,0,0
1772808759.898381,506,118.976160,0.235131,0,0,0
1772808759.998261,476,111.016828,0.233229,0,0,0
1772808760.098256,496,115.839403,0.233547,0,0,0
1772808760.199167,483,104.612304,0.216589,0,0,0
1772808760.298266,488,115.799190,0.237293,0,0,0
1772808760.399322,460,104.317747,0.226778,0,0,0
1772808760.498225,488,112.459318,0.230449,0,0,0
1772808760.600605,494,118.359790,0.239595,0,0,0
1772808760.699493,470,115.246826,0.245206,0,0,0
1772808760.799303,503,120.353505,0.239271,0,0,0
1772808760.898185,475,113.973361,0.239944,0,0,0
1772808760.999345,491,112.895824,0.229930,0,0,0
1772808761.099305,482,120.024564,0.249014,0,0,0
1772808761.198308,480,109.667923,0.228475,0,0,0
1772808761.298028,498,118.168457,0.237286,0,0,0
1772808761.399304,487,112.552958,0.231115,0,0,0
1772808761.499222,476,117.148809,0.246111,0,0,0
1772808761.599208,490,118.937293,0.242729,0,0,0
1772808761.699266,487,116.903297,0.240048,0,0,0
1772808761.799435,475,111.474174,0.234682,0,0,0
1772808761.898089,483,117.715926,0.243718,0,0,0
1772808761.999339,485,115.565635,0.238280,0,0,0
1772808762.099232,471,109.664898,0.232834,0,0,0
1772808762.199425,479,106.527446,0.222396,0,0,0
1772808762.298259,486,116.753986,0.240235,0,0,0
1772808762.398077,489,112.229990,0.229509,0,0,0
1772808762.498342,502,114.443665,0.227975,0,0,0
1772808762.598282,507,117.854410,0.232454,0,0,0
1772808762.699201,496,113.950691,0.229739,0,0,0
1772808762.799320,491,113.317309,0.230789,0,0,0
1772808762.899206,489,112.927679,0.230936,0,0,0
1772808762.998399,485,110.064681,0.226937,0,0,0
1772808763.098231,491,112.150671,0.228413,0,0,0
1772808763.198444,473,113.193703,0.239310,0,0,0
1772808763.298381,488,112.110672,0.229735,0,0,0
1772808763.398342,476,112.747110,0.236864,0,0,0
1772808763.498246,491,111.912050,0.227927,0,0,0
1772808763.599140,493,109.220204,0.221542,0,0,0
1772808763.698043,484,106.731409,0.220519,0,0,0
1772808763.798047,492,115.375198,0.234502,0,0,0
1772808763.898235,479,109.099112,0.227764,0,0,0
1772808763.998287,495,114.197093,0.230701,0,0,0
1772808764.099193,466,108.040857,0.231847,0,0,0
1772808764.199198,492,115.206990,0.234161,0,0,0
1772808764.298078,487,112.165379,0.230319,0,0,0
1772808764.399433,468,113.789157,0.243139,0,0,0
1772808764.498617,478,111.329823,0.232908,0,0,0
1772808764.598333,467,114.411024,0.244991,0,0,0
1772808764.698362,473,105.073428,0.222143,0,0,0
1772808764.798294,477,115.048762,0.241192,0,0,0
1772808764.899180,487,115.236181,0.236625,0,0,0
1772808764.999432,482,117.186408,0.243125,0,0,0
1772808765.099546,489,110.358487,0.225682,0,0,0
1772808765.199247,476,112.370565,0.236073,0,0,0
1772808765.299157,493,112.530780,0.228257,0,0,0
1772808765.398228,483,113.189720,0.234347,0,0,0
1772808765.499351,462,105.256054,0.227827,0,0,0
1772808765.599314,488,113.880737,0.233362,0,0,0
