t,valid_plane_num,lambda_min,lambda_min_norm,is_degenerate_voxelslam,persistent_degenerate,early_warning
1772808746.598456,0,nan,nan,0,0,0
1772808746.699487,0,nan,nan,0,0,0
1772808746.798039,0,nan,nan,0,0,0
1772808746.898346,0,nan,nan,0,0,0
1772808746.998411,0,nan,nan,0,0,1
1772808747.099326,0,nan,nan,0,0,1
1772808747.198043,0,nan,nan,0,0,1
1772808747.298366,0,nan,nan,0,0,1
1772808747.398516,0,nan,nan,0,0,1
1772808747.498475,0,nan,nan,0,1,1
1772808747.598260,718,172.930058,0.240850,0,1,1
1772808747.698173,711,166.620836,0.234347,0,1,1
1772808747.798162,698,175.216034,0.251026,0,1,0
1772808747.899373,720,181.253843,0.251741,0,0,0
1772808747.998344,678,175.597474,0.258993,0,0,0
1772808748.099494,685,176.116031,0.257104,0,0,0
1772808748.198405,667,167.771531,0.251532,0,0,0
1772808748.299443,677,175.931189,0.259869,0,0,0
1772808748.398289,672,168.488158,0.250726,0,0,0
1772808748.498469,701,186.346235,0.265829,0,0,0
1772808748.598256,678,167.984647,0.247765,0,0,0
1772808748.698196,664,178.167641,0.268325,0,0,0
1772808748.798326,672,169.849160,0.252752,0,0,0
1772808748.898099,649,167.945145,0.258775,0,0,0
1772808748.998213,681,167.529666,0.246005,0,0,0
1772808749.098008,651,168.576314,0.258950,0,0,0
1772808749.198286,663,171.315801,0.258395,0,0,0
1772808749.298253,677,170.396926,0.251694,0,0,0
1772808749.399467,629,155.388136,0.247040,0,0,0
1772808749.498389,673,174.881768,0.259854,0,0,0
1772808749.598052,660,177.752339,0.269322,0,0,0
1772808749.699299,683,177.196499,0.259439,0,0,0
1772808749.799513,670,165.219758,0.246597,0,0,0
1772808749.899286,670,168.326221,0.251233,0,0,0
1772808749.999289,683,158.997136,0.232792,0,0,0
1772808750.098304,697,171.440176,0.245969,0,0,0
1772808750.198139,673,167.621119,0.249066,0,0,0
1772808750.298348,693,167.290963,0.241401,0,0,0
1772808750.398731,702,172.706882,0.246021,0,0,0
1772808750.498363,710,177.809717,0.250436,0,0,0
1772808750.598193,677,171.352704,0.253106,0,0,0
1772808750.698470,694,176.569777,0.254423,0,0,0
1772808750.798274,694,173.856077,0.250513,0,0,0
1772808750.899274,693,170.914417,0.246630,0,0,0
1772808750.998219,720,179.192296,0.248878,0,0,0
1772808751.098334,703,173.437376,0.246710,0,0,0
1772808751.199304,700,173.424565,0.247749,0,0,0
1772808751.298098,690,163.165586,0.236472,0,0,0
1772808751.398009,696,158.545736,0.227796,0,0,0
1772808751.498355,673,165.901729,0.246511,0,0,0
1772808751.598080,682,161.449679,0.236730,0,0,0
1772808751.698310,667,164.715396,0.246950,0,0,0
1772808751.798514,671,161.651829,0.240912,0,0,0
1772808751.898385,656,158.948097,0.242299,0,0,0
1772808751.998521,648,155.566608,0.240072,0,0,0
1772808752.098524,649,148.685099,0.229099,0,0,0
1772808752.197993,668,153.282341,0.229465,0,0,0
1772808752.298342,650,154.343885,0.237452,0,0,0
1772808752.398101,682,162.475244,0.238233,0,0,0
1772808752.499292,670,153.215665,0.228680,0,0,0
1772808752.598241,682,158.760443,0.232787,0,0,0
1772808752.699400,657,145.231698,0.221053,0,0,0
1772808752.799415,660,154.992953,0.234838,0,0,0
1772808752.899419,668,153.974907,0.230501,0,0,0
1772808752.999359,654,159.154782,0.243356,0,0,0
1772808753.098375,664,159.730040,0.240557,0,0,0
1772808753.199338,662,160.804577,0.242907,0,0,0
1772808753.298499,665,161.957776,0.243546,0,0,0
1772808753.399614,643,143.755831,0.223570,0,0,0
1772808753.499316,676,163.594941,0.242004,0,0,0
1772808753.599308,660,152.364931,0.230856,0,0,0
1772808753.699301,658,160.494493,0.243913,0,0,0
1772808753.799728,666,157.677571,0.236753,0,0,0
1772808753.898299,672,159.464382,0.237298,0,0,0
1772808753.998320,667,152.358061,0.228423,0,0,0
1772808754.099416,658,158.110947,0.240290,0,0,0
1772808754.198283,677,148.511511,0.219367,0,0,0
1772808754.298468,654,155.645215,0.237990,0,0,0
1772808754.398410,637,145.665571,0.228674,0,0,0
1772808754.498154,660,154.270946,0.233744,0,0,0
1772808754.598014,644,155.267166,0.241098,0,0,0
1772808754.699142,674,169.015805,0.250765,0,0,0
1772808754.798185,660,152.914341,0.231688,0,0,0
1772808754.898148,656,152.757586,0.232862,0,0,0
1772808754.999218,662,151.857633,0.229392,0,0,0
1772808755.099346,683,161.573642,0.236565,0,0,0
1772808755.198440,673,156.195523,0.232088,0,0,0
1772808755.298321,659,152.101788,0.230807,0,0,0
1772808755.398002,665,155.678446,0.234103,0,0,0
1772808755.498577,657,155.136573,0.236129,0,0,0
1772808755.599464,677,164.838050,0.243483,0,0,0
1772808755.699312,675,158.946583,0.235476,0,0,0
1772808755.799332,685,168.714801,0.246299,0,0,0
1772808755.898038,701,173.983681,0.248194,0,0,0
1772808755.999245,711,171.431405,0.241113,0,0,0
1772808756.099294,686,172.776597,0.251861,0,0,0
1772808756.198337,713,173.616871,0.243502,0,0,0
1772808756.298429,678,164.928835,0.243258,0,0,0
1772808756.399493,686,168.938759,0.246266,0,0,0
1772808756.498281,673,178.686735,0.265508,0,0,0
1772808756.599503,693,175.082908,0.252645,0,0,0
1772808756.699312,684,177.084126,0.258895,0,0,0
1772808756.798816,678,174.332129,0.257127,0,0,0
1772808756.898181,697,179.001120,0.256817,0,0,0
1772808756.998246,677,172.792360,0.255232,0,0,0
1772808757.098068,660,168.051331,0.254623,0,0,0
1772808757.199208,686,173.596422,0.253056,0,0,0
1772808757.298179,671,171.593073,0.255727,0,0,0
1772808757.397955,683,175.428591,0.256850,0,0,0
1772808757.498321,688,173.901103,0.252763,0,0,0
1772808757.597927,706,181.045697,0.256439,0,0,0
1772808757.699286,685,173.123869,0.252736,0,0,0
1772808757.799305,691,178.801796,0.258758,0,0,0
1772808757.899395,698,175.439299,0.251346,0,0,0
1772808757.999346,662,180.816224,0.273136,0,0,0
1772808758.098403,679,187.714971,0.276458,0,0,0
1772808758.199325,679,179.630542,0.264552,0,0,0
1772808758.299217,686,188.219848,0.274373,0,0,0
1772808758.398651,690,182.186298,0.264038,0,0,0
1772808758.498200,702,191.038049,0.272134,0,0,0
1772808758.599189,691,179.228848,0.259376,0,0,0
1772808758.699276,678,181.928255,0.268331,0,0,0
1772808758.798387,675,162.263745,0.240391,0,0,0
1772808758.899609,687,175.965953,0.256137,0,0,0
1772808758.999312,692,167.625263,0.242233,0,0,0
1772808759.098322,669,173.070859,0.258701,0,0,0
1772808759.198170,694,167.578318,0.241467,0,0,0
1772808759.299243,684,173.052559,0.253001,0,0,0
1772808759.399254,672,169.532285,0.252280,0,0,0
1772808759.499234,681,165.206353,0.242594,0,0,0
1772808759.599274,696,177.974007,0.255710,0,0,0
1772808759.698278,695,174.849074,0.251581,0,0,0
1772808759.799166,673,174.224220,0.258877,0,0,0
1772808759.898381,695,178.167790,0.256357,0,0,0
1772808759.998261,680,163.932991,0.241078,0,0,0
1772808760.098256,694,174.783756,0.251850,0,0,0
1772808760.199167,687,166.358973,0.242153,0,0,0
1772808760.298266,695,172.863430,0.248724,0,0,0
1772808760.399322,682,172.966159,0.253616,0,0,0
1772808760.498225,695,176.056382,0.253319,0,0,0
1772808760.600605,679,180.550164,0.265906,0,0,0
1772808760.699493,667,174.742225,0.261982,0,0,0
1772808760.799303,697,176.980274,0.253917,0,0,0
1772808760.898185,675,174.474888,0.258481,0,0,0
1772808760.999345,682,169.587102,0.248661,0,0,0
1772808761.099305,697,178.029468,0.255422,0,0,0
1772808761.198308,700,171.334952,0.244764,0,0,0
1772808761.298028,681,174.748655,0.256606,0,0,0
1772808761.399304,686,165.683604,0.241521,0,0,0
1772808761.499222,675,172.511344,0.255572,0,0,0
1772808761.599208,697,173.749766,0.249282,0,0,0
1772808761.699266,698,170.910010,0.244857,0,0,0
1772808761.799435,680,173.038011,0.254468,0,0,0
1772808761.898089,690,176.736278,0.256140,0,0,0
1772808761.999339,678,179.506042,0.264758,0,0,0
1772808762.099232,670,174.831318,0.260942,0,0,0
1772808762.199425,691,168.487742,0.243832,0,0,0
1772808762.298259,689,177.071185,0.256997,0,0,0
1772808762.398077,694,165.576126,0.238582,0,0,0
1772808762.498342,677,168.333807,0.248647,0,0,0
1772808762.598282,708,173.415815,0.244938,0,0,0
1772808762.699201,677,159.098724,0.235006,0,0,0
1772808762.799320,698,168.951604,0.242051,0,0,0
1772808762.899206,709,173.104206,0.244153,0,0,0
1772808762.998399,695,170.863809,0.245847,0,0,0
1772808763.098231,704,181.943397,0.258442,0,0,0
1772808763.198444,676,171.205107,0.253262,0,0,0
1772808763.298381,677,168.510404,0.248908,0,0,0
1772808763.398342,689,170.902516,0.248044,0,0,0
1772808763.498246,693,176.088221,0.254096,0,0,0
1772808763.599140,694,168.316539,0.242531,0,0,0
1772808763.698043,703,179.001002,0.254624,0,0,0
1772808763.798047,675,159.347772,0.236071,0,0,0
1772808763.898235,680,172.949780,0.254338,0,0,0
1772808763.998287,704,167.006074,0.237225,0,0,0
1772808764.099193,674,167.290663,0.248206,0,0,0
1772808764.199198,674,165.329336,0.245296,0,0,0
1772808764.298078,674,169.686873,0.251761,0,0,0
1772808764.399433,667,168.232518,0.252223,0,0,0
1772808764.498617,685,172.155548,0.251322,0,0,0
1772808764.598333,662,175.760598,0.265499,0,0,0
1772808764.698362,684,169.084264,0.247199,0,0,0
1772808764.798294,657,174.215624,0.265168,0,0,0
1772808764.899180,676,171.315028,0.253425,0,0,0
1772808764.999432,677,179.596132,0.265282,0,0,0
1772808765.099546,671,174.292524,0.259750,0,0,0
1772808765.199247,669,171.902068,0.256954,0,0,0
1772808765.299157,694,171.123430,0.246576,0,0,0
1772808765.398228,682,178.319489,0.261466,0,0,0
1772808765.499351,692,172.417720,0.249159,0,0,0
1772808765.599314,665,169.106115,0.254295,0,0,0
