Linux 6.8.0-87-generic (jschoi) 	09/13/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:19 PM  1000   3922314    5.00    2.00    0.00    0.00    7.00     9   4951.00      0.00 2620736  171376   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:20 PM  1000   3922314   13.00    2.00    0.00    0.00   15.00     9   2901.00      0.00 2621744  182896   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:21 PM  1000   3922314   17.00    3.00    0.00    0.00   20.00     9   2191.00      0.00 2621776  190484   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:22 PM  1000   3922314   15.00    2.00    0.00    0.00   17.00     9    777.00      0.00 2621776  193748   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:23 PM  1000   3922314   17.00    2.00    0.00    0.00   19.00     9    455.00      0.00 2621800  195284   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:24 PM  1000   3922314   16.00    2.00    0.00    0.00   18.00     9    551.00      0.00 2621800  197396   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:25 PM  1000   3922314   16.00    3.00    0.00    0.00   19.00     9    166.00      0.00 2622204  197972   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:26 PM  1000   3922314   17.00    3.00    0.00    0.00   20.00     9    117.00      0.00 2622412  198740   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:27 PM  1000   3922314   15.00    2.00    0.00    0.00   17.00     9    540.00      0.00 2622412  200660   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:28 PM  1000   3922314   17.00    2.00    0.00    0.00   19.00    12    427.00      0.00 2622708  202196   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:29 PM  1000   3922314   16.00    2.00    0.00    0.00   18.00     9    160.00      0.00 2622708  202964   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:30 PM  1000   3922314   17.00    1.00    0.00    0.00   18.00     9     62.00      0.00 2622708  203156   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:31 PM  1000   3922314   17.00    2.00    0.00    0.00   19.00     9    188.00      0.00 2622708  203924   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:32 PM  1000   3922314   17.00    1.00    0.00    0.00   18.00     9      6.00      0.00 2622708  203924   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:33 PM  1000   3922314   16.00    3.00    0.00    0.00   19.00     9    122.00      0.00 2622708  204500   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:34 PM  1000   3922314   18.00    2.00    0.00    0.00   20.00     9    148.00      0.00 2622708  205076   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:43:35 PM  1000   3922314   13.00    3.00    0.00    0.00   16.00     2    134.00      0.00 2622708  205460   0.63  fastlio_mapping

