Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:31:03 PM  1000     70186    8.00    4.00    0.00    0.00   12.00     2   8082.00      0.00 2615408  184556   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:31:04 PM  1000     70186   20.00    4.00    0.00    0.00   24.00     0   8980.00      0.00 2615440  216844   0.67  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:31:05 PM  1000     70186   23.00    3.00    0.00    0.00   26.00     4   4101.00      0.00 2615736  226216   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:31:06 PM  1000     70186   22.00    3.00    0.00    0.00   25.00    10   3449.00      0.00 2616148  233252   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:31:07 PM  1000     70186   26.00    2.00    0.00    0.00   28.00     4   3089.00      0.00 2616148  237892   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:31:08 PM  1000     70186   20.00    1.00    0.00    0.00   21.00     0   1902.00      0.00 2616736  236248   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:31:09 PM  1000     70186   24.00    2.00    0.00    0.00   26.00     2   1697.00      0.00 2618228  242584   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:31:10 PM  1000     70186   21.00    3.00    0.00    0.00   24.00     2   1574.00      0.00 2618360  242972   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:31:11 PM  1000     70186   25.00    2.00    0.00    0.00   27.00     4    766.00      0.00 2618192  242472   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:31:12 PM  1000     70186   20.00    3.00    0.00    0.00   23.00     4   1352.00      0.00 2619856  245456   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:31:13 PM  1000     70186   23.00    2.00    0.00    0.00   25.00     6    521.00      0.00 2620704  247760   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:31:14 PM  1000     70186   26.00    2.00    0.00    0.00   28.00     4    774.00      0.00 2620704  249576   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:31:15 PM  1000     70186   23.00    1.00    0.00    0.00   24.00     6    277.00      0.00 2620704  248440   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:31:16 PM  1000     70186   20.00    2.00    0.00    0.00   22.00     8    589.00      0.00 2621008  250936   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:31:17 PM  1000     70186   20.00    3.00    0.00    0.00   23.00     8   1634.00      0.00 2623652  254556   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:31:18 PM  1000     70186   25.00    1.00    0.00    0.00   26.00    12    489.00      0.00 2623760  256668   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:31:19 PM  1000     70186   22.00    2.00    0.00    0.00   24.00    12    361.00      0.00 2623876  258204   0.79  fastlio_mapping

