Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:59:44 PM  1000     54255    9.00    4.00    0.00    0.00   13.00    10   8890.00      0.00 2618176  189460   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:59:45 PM  1000     54255   21.00    4.00    0.00    0.00   25.00    10   8029.00      0.00 2622012  212996   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:59:46 PM  1000     54255   20.00    3.00    0.00    0.00   23.00    10   4783.00      0.00 2622012  223716   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:59:47 PM  1000     54255   24.00    2.00    0.00    0.00   26.00     4   3276.00      0.00 2622076  225580   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:59:48 PM  1000     54255   26.00    3.00    0.00    0.00   29.00    12   4035.00      0.00 2622076  232792   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:59:49 PM  1000     54255   24.00    1.00    0.00    0.00   25.00     8   1762.00      0.00 2622084  233528   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:59:50 PM  1000     54255   27.00    2.00    0.00    0.00   29.00     8   1798.00      0.00 2622084  238640   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:59:51 PM  1000     54255   21.00    2.00    0.00    0.00   23.00     0   1160.00      0.00 2622084  238884   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:59:52 PM  1000     54255   22.00    2.00    0.00    0.00   24.00     4   2861.00      0.00 2623460  244196   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:59:53 PM  1000     54255   21.00    2.00    0.00    0.00   23.00     8    381.00      0.00 2623468  243776   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:59:54 PM  1000     54255   22.00    1.00    0.00    0.00   23.00     6    135.00      0.00 2623468  240584   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:59:55 PM  1000     54255   21.00    3.00    0.00    0.00   24.00    14   1729.00      0.00 2623468  245484   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:59:56 PM  1000     54255   25.00    1.00    0.00    0.00   26.00     0    741.00      0.00 2623468  241916   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:59:57 PM  1000     54255   24.00    2.00    0.00    0.00   26.00    14   1816.00      0.00 2623468  241032   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:59:58 PM  1000     54255   22.00    2.00    0.00    0.00   24.00    14   2944.00      0.00 2624700  248804   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:59:59 PM  1000     54255   27.00    1.00    0.00    0.00   28.00     2   1575.00      0.00 2624700  251960   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:00:00 PM  1000     54255   19.00    2.00    0.00    0.00   21.00     2   1259.00      0.00 2624700  251364   0.77  fastlio_mapping

