Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:46 PM  1000   1171535   10.00    3.00    0.00    0.00   13.00    11  13308.00      0.00 2620812  197164   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:47 PM  1000   1171535   27.00    6.00    0.00    0.00   33.00    11   8910.00      0.00 2620812  216056   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:48 PM  1000   1171535   30.00    6.00    0.00    0.00   36.00    11   5476.00      0.00 2619256  220084   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:49 PM  1000   1171535   28.00    4.00    0.00    0.00   32.00    11   4404.00      0.00 2620696  230036   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:50 PM  1000   1171535   30.00    4.00    0.00    0.00   34.00    11   2153.00      0.00 2621300  228648   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:51 PM  1000   1171535   33.00    4.00    0.00    0.00   37.00    11   3807.00      0.00 2619436  231208   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:52 PM  1000   1171535   27.00    3.00    0.00    0.00   30.00     0   1898.00      0.00 2619436  228912   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:53 PM  1000   1171535   29.00    4.00    0.00    0.00   33.00    11   3694.00      0.00 2620300  228396   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:54 PM  1000   1171535   31.00    4.00    0.00    0.00   35.00    11   3740.00      0.00 2620300  233900   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:55 PM  1000   1171535   30.00    4.00    0.00    0.00   34.00    11   3065.00      0.00 2620300  232684   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:56 PM  1000   1171535   31.00    3.00    0.00    0.00   34.00    11   2596.00      0.00 2620308  235068   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:57 PM  1000   1171535   30.00    4.00    0.00    0.00   34.00     8   2648.00      0.00 2620308  235600   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:58 PM  1000   1171535   30.00    3.00    0.00    0.00   33.00     8   2010.00      0.00 2621776  241988   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:45:59 PM  1000   1171535   24.00    4.00    0.00    0.00   28.00    14   2079.00      0.00 2621776  245124   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:00 PM  1000   1171535   33.00    4.00    0.00    0.00   37.00     4   2898.00      0.00 2620372  250244   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:01 PM  1000   1171535   29.00    3.00    0.00    0.00   32.00     6   3268.00      0.00 2621916  258540   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:02 PM  1000   1171535   34.00    3.00    0.00    0.00   37.00     2   2621.00      0.00 2622140  254732   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:03 PM  1000   1171535   24.00    3.00    0.00    0.00   27.00     2   3270.00      0.00 2622056  259984   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:04 PM  1000   1171535   29.00    3.00    0.00    0.00   32.00     4   2977.00      0.00 2622516  260312   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:05 PM  1000   1171535   31.00    3.00    0.00    0.00   34.00     2   2356.00      0.00 2624484  261296   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:06 PM  1000   1171535   25.00    2.00    0.00    0.00   27.00     4   2259.00      0.00 2624484  262996   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:07 PM  1000   1171535   29.00    2.00    0.00    0.00   31.00     4   2238.00      0.00 2624504  269036   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:08 PM  1000   1171535   28.00    2.00    0.00    0.00   30.00    14   1875.00      0.00 2622420  268060   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:09 PM  1000   1171535   25.00    3.00    0.00    0.00   28.00     6   2161.00      0.00 2623976  275032   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:10 PM  1000   1171535   29.00    3.00    0.00    0.00   32.00    12   2311.00      0.00 2623980  271940   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:11 PM  1000   1171535   27.00    3.00    0.00    0.00   30.00    14   3297.00      0.00 2624140  276072   0.85  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:12 PM  1000   1171535   33.00    2.00    0.00    0.00   35.00     0   1990.00      0.00 2624868  273364   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:13 PM  1000   1171535   31.00    2.00    0.00    0.00   33.00    15   2212.00      0.00 2625224  271528   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:14 PM  1000   1171535   28.00    2.00    0.00    0.00   30.00    15   3116.00      0.00 2625224  280048   0.86  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:15 PM  1000   1171535   28.00    2.00    0.00    0.00   30.00    14   4574.00      0.00 2625224  283540   0.87  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:16 PM  1000   1171535   28.00    4.00    0.00    0.00   32.00    14   1470.00      0.00 2625508  286432   0.88  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:17 PM  1000   1171535   28.00    2.00    0.00    0.00   30.00    14   3359.00      0.00 2626720  287016   0.88  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:18 PM  1000   1171535   25.00    2.00    0.00    0.00   27.00    14   2496.00      0.00 2626720  292776   0.90  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:19 PM  1000   1171535   25.00    2.00    0.00    0.00   27.00    14   1394.00      0.00 2626720  295268   0.91  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:20 PM  1000   1171535   25.00    1.00    0.00    0.00   26.00     2   1539.00      0.00 2626904  294168   0.90  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:21 PM  1000   1171535   27.00    2.00    0.00    0.00   29.00     6   1307.00      0.00 2626904  296812   0.91  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:22 PM  1000   1171535   21.00    2.00    0.00    0.00   23.00    14   1271.00      0.00 2626904  299116   0.92  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:23 PM  1000   1171535   22.00    3.00    0.00    0.00   25.00    14    792.00      0.00 2626904  301996   0.93  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:24 PM  1000   1171535   30.00    1.00    0.00    0.00   31.00     4   1061.00      0.00 2627680  303808   0.93  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:25 PM  1000   1171535   25.00    2.00    0.00    0.00   27.00     2   1128.00      0.00 2627680  307064   0.94  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:26 PM  1000   1171535   27.00    2.00    0.00    0.00   29.00    14    853.00      0.00 2627680  310136   0.95  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:46:27 PM  1000   1171535   23.00    1.00    0.00    0.00   24.00    12    708.00      0.00 2627680  311312   0.96  fastlio_mapping

