Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:48:57 PM  1000   1173376   12.00    3.00    0.00    0.00   15.00    12  12385.00      0.00 2616260  198780   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:48:58 PM  1000   1173376   30.00    3.00    0.00    0.00   33.00     0   9671.00      0.00 2620128  224180   0.69  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:48:59 PM  1000   1173376   34.00    4.00    0.00    0.00   38.00     4   5683.00      0.00 2618800  229604   0.70  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:49:00 PM  1000   1173376   36.00    3.00    0.00    0.00   39.00    12   4460.00      0.00 2617276  230216   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:49:01 PM  1000   1173376   32.00    3.00    0.00    0.00   35.00    14   4442.00      0.00 2617348  235520   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:49:02 PM  1000   1173376   33.00    2.00    0.00    0.00   35.00     2   2300.00      0.00 2617348  231488   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:49:03 PM  1000   1173376   30.00    4.00    0.00    0.00   34.00     4   4028.00      0.00 2619012  235604   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:49:04 PM  1000   1173376   30.00    3.00    0.00    0.00   33.00     6   5623.00      0.00 2619188  241372   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:49:05 PM  1000   1173376   33.00    4.00    0.00    0.00   37.00     6   5137.00      0.00 2619868  242464   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:49:06 PM  1000   1173376   30.00    5.00    0.00    0.00   35.00     6   5042.00      0.00 2620152  243404   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:49:07 PM  1000   1173376   32.00    3.00    0.00    0.00   35.00     8   4215.00      0.00 2620496  246396   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:49:08 PM  1000   1173376   31.00    4.00    0.00    0.00   35.00     6   3824.00      0.00 2620648  253044   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:49:09 PM  1000   1173376   33.00    3.00    0.00    0.00   36.00     6   3214.00      0.00 2620720  254480   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:49:10 PM  1000   1173376   30.00    5.00    0.00    0.00   35.00     6   4280.00      0.00 2620720  257072   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:49:11 PM  1000   1173376   31.00    2.00    0.00    0.00   33.00    10   2496.00      0.00 2620720  257300   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:49:12 PM  1000   1173376   33.00    3.00    0.00    0.00   36.00     8   2935.00      0.00 2619844  259976   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
