Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:40 PM  1000   1175447    1.00    1.00    0.00    0.00    2.00     8     68.00      0.00 2547480  157440   0.48  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:41 PM  1000   1175447    6.00    5.00    0.00    0.00   11.00    14  18141.00      0.00 2615976  213776   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:42 PM  1000   1175447   19.00    1.00    0.00    0.00   20.00     0   6423.00      0.00 2618180  237204   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:43 PM  1000   1175447   23.00    1.00    0.00    0.00   24.00     0   5376.00      0.00 2618180  242656   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:44 PM  1000   1175447   27.00    3.00    0.00    0.00   30.00     2   5751.00      0.00 2618516  243708   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:45 PM  1000   1175447   24.00    4.00    0.00    0.00   28.00     4   6828.00      0.00 2617136  244856   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:46 PM  1000   1175447   20.00    3.00    0.00    0.00   23.00     2   6188.00      0.00 2619292  244016   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:47 PM  1000   1175447   24.00    2.00    0.00    0.00   26.00     4   5633.00      0.00 2617992  245228   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:48 PM  1000   1175447   23.00    4.00    0.00    0.00   27.00     2   6758.00      0.00 2618780  251228   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:49 PM  1000   1175447   27.00    2.00    0.00    0.00   29.00     4   5997.00      0.00 2618780  249092   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:50 PM  1000   1175447   27.00    2.00    0.00    0.00   29.00     8   4375.00      0.00 2620048  255004   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:51 PM  1000   1175447   26.00    3.00    0.00    0.00   29.00    14   5053.00      0.00 2621812  261060   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:52 PM  1000   1175447   24.00    3.00    0.00    0.00   27.00    14   6292.00      0.00 2619344  257656   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:53 PM  1000   1175447   24.00    2.00    0.00    0.00   26.00     0   6302.00      0.00 2621880  262048   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:54 PM  1000   1175447   26.00    2.00    0.00    0.00   28.00     2   5823.00      0.00 2621324  265600   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:55 PM  1000   1175447   20.00    2.00    0.00    0.00   22.00    14   6487.00      0.00 2619516  271576   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
