Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:48:30 PM  1000    444395   11.00    3.00    0.00    0.00   14.00     4  12516.00      0.00 2616492  200104   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:48:31 PM  1000    444395   33.00    4.00    0.00    0.00   37.00     6   9203.00      0.00 2617928  221984   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:48:32 PM  1000    444395   36.63    3.96    0.00    0.00   40.59     4   5596.04      0.00 2618044  229912   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:48:33 PM  1000    444395   34.00    2.00    0.00    0.00   36.00    14   3433.00      0.00 2616964  237432   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:48:34 PM  1000    444395   36.00    3.00    0.00    0.00   39.00     2   2614.00      0.00 2616964  240556   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:48:35 PM  1000    444395   37.00    2.00    0.00    0.00   39.00     4   4033.00      0.00 2617068  236288   0.72  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:48:36 PM  1000    444395   30.00    2.00    0.00    0.00   32.00    12   3459.00      0.00 2617276  240572   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:48:37 PM  1000    444395   38.00    3.00    0.00    0.00   41.00     2   4745.00      0.00 2618856  239824   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:48:38 PM  1000    444395   32.00    2.00    0.00    0.00   34.00     0   3811.00      0.00 2618856  244572   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:48:39 PM  1000    444395   37.00    1.00    0.00    0.00   38.00     0   5380.00      0.00 2621668  244212   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:48:40 PM  1000    444395   39.00    2.00    0.00    0.00   41.00     6   4338.00      0.00 2620916  254448   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:48:41 PM  1000    444395   36.00    2.00    0.00    0.00   38.00     0   3083.00      0.00 2620916  253144   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:48:42 PM  1000    444395   36.00    3.00    0.00    0.00   39.00     2   1767.00      0.00 2620916  254432   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:48:43 PM  1000    444395   44.00    2.00    0.00    0.00   46.00     2   3930.00      0.00 2620916  262280   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:48:44 PM  1000    444395   31.00    2.00    0.00    0.00   33.00    14   4284.00      0.00 2622148  272600   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:48:45 PM  1000    444395   39.00    2.00    0.00    0.00   41.00    12   3761.00      0.00 2622148  285524   0.88  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:48:46 PM  1000    444395   32.00    2.00    0.00    0.00   34.00     9    674.00      0.00 2622148  288596   0.89  fastlio_mapping

