Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:52:29 PM  1000    446486    9.00    3.00    0.00    0.00   12.00     0  13741.00      0.00 2617496  204952   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:52:30 PM  1000    446486   34.00    7.00    0.00    0.00   41.00     0  10001.00      0.00 2619932  232864   0.71  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:52:31 PM  1000    446486   41.00    4.00    0.00    0.00   45.00     0   3984.00      0.00 2619932  239736   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:52:32 PM  1000    446486   39.00    4.00    0.00    0.00   43.00     6   3555.00      0.00 2619932  238996   0.73  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:52:33 PM  1000    446486   37.00    4.00    0.00    0.00   41.00    12   4694.00      0.00 2619932  242588   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:52:34 PM  1000    446486   34.00    3.00    0.00    0.00   37.00     4   2921.00      0.00 2619984  240392   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:52:35 PM  1000    446486   37.00    3.00    0.00    0.00   40.00    12   4240.00      0.00 2619984  241460   0.74  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:52:36 PM  1000    446486   32.00    3.00    0.00    0.00   35.00     6   7423.00      0.00 2619988  253876   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:52:37 PM  1000    446486   32.00    3.00    0.00    0.00   35.00    12   5416.00      0.00 2620944  253004   0.78  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:52:38 PM  1000    446486   32.00    2.00    0.00    0.00   34.00    11   5245.00      0.00 2622780  262600   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:52:39 PM  1000    446486   39.00    2.00    0.00    0.00   41.00    14   2022.00      0.00 2624116  268576   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:52:40 PM  1000    446486   32.00    2.00    0.00    0.00   34.00     0   1726.00      0.00 2624188  270520   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:52:41 PM  1000    446486   33.00    3.00    0.00    0.00   36.00     2    899.00      0.00 2623320  272952   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:52:42 PM  1000    446486   38.00    3.00    0.00    0.00   41.00     2   1229.00      0.00 2623396  273084   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:52:43 PM  1000    446486   33.00    2.00    0.00    0.00   35.00     6   1279.00      0.00 2623468  275808   0.85  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:52:44 PM  1000    446486   32.00    2.00    0.00    0.00   34.00     2   1026.00      0.00 2623540  278592   0.85  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
05:52:45 PM  1000    446486   30.00    2.00    0.00    0.00   32.00     2    877.00      0.00 2623612  280508   0.86  fastlio_mapping

