Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:06:15 PM  1000    453775    1.00    1.00    0.00    0.00    2.00    10     68.00      0.00 2481952  156864   0.48  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:06:16 PM  1000    453775    8.00    5.00    0.00    0.00   13.00     0  20167.00      0.00 2618220  222884   0.68  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:06:17 PM  1000    453775   23.00    2.00    0.00    0.00   25.00     0   6100.00      0.00 2621000  244748   0.75  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:06:18 PM  1000    453775   26.00    2.00    0.00    0.00   28.00     6   3763.00      0.00 2619176  249144   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:06:19 PM  1000    453775   28.00    4.00    0.00    0.00   32.00     6   6312.00      0.00 2619176  250152   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:06:20 PM  1000    453775   31.00    2.00    0.00    0.00   33.00     4   4789.00      0.00 2620624  249076   0.76  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:06:21 PM  1000    453775   27.00    1.00    0.00    0.00   28.00    10   4537.00      0.00 2620624  251396   0.77  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:06:22 PM  1000    453775   29.00    3.00    0.00    0.00   32.00     0   7022.00      0.00 2621624  259988   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:06:23 PM  1000    453775   31.00    1.00    0.00    0.00   32.00     0   4927.00      0.00 2621624  262468   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:06:24 PM  1000    453775   33.00    3.00    0.00    0.00   36.00     8   6155.00      0.00 2621624  268440   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:06:25 PM  1000    453775   27.00    3.00    0.00    0.00   30.00    14   4795.00      0.00 2624308  265284   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:06:26 PM  1000    453775   27.00    2.00    0.00    0.00   29.00     8   5483.00      0.00 2621096  268564   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:06:27 PM  1000    453775   28.00    3.00    0.00    0.00   31.00    14   7799.00      0.00 2623972  274324   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:06:28 PM  1000    453775   30.00    1.00    0.00    0.00   31.00    14   4628.00      0.00 2623972  274688   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:06:29 PM  1000    453775   32.00    4.00    0.00    0.00   36.00     6   6055.00      0.00 2625212  273828   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:06:30 PM  1000    453775   27.00    3.00    0.00    0.00   30.00    12   5542.00      0.00 2626396  282832   0.87  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:06:31 PM  1000    453775   28.00    2.00    0.00    0.00   30.00    14   4484.00      0.00 2624408  278744   0.86  fastlio_mapping

