Linux 6.8.0-87-generic (jschoi) 	09/12/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:54:56 AM  1000   2540326    5.00    2.00    0.00    0.00    7.00     2   5412.00      0.00 2620864  172828   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:54:57 AM  1000   2540326   12.00    2.00    0.00    0.00   14.00    12   2475.00      0.00 2621936  181200   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:54:58 AM  1000   2540326   15.00    3.00    0.00    0.00   18.00    12   1799.00      0.00 2621936  188496   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:54:59 AM  1000   2540326   15.00    4.00    0.00    0.00   19.00    12   1688.00      0.00 2621936  195024   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:55:00 AM  1000   2540326   14.00    2.00    0.00    0.00   16.00     6    571.00      0.00 2622204  197328   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:55:01 AM  1000   2540326   16.00    2.00    0.00    0.00   18.00     6    214.00      0.00 2622204  198480   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:55:02 AM  1000   2540326   13.00    3.00    0.00    0.00   16.00     8    305.00      0.00 2622204  199632   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:55:03 AM  1000   2540326   15.00    2.00    0.00    0.00   17.00    10    165.00      0.00 2622204  200016   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:55:04 AM  1000   2540326   15.00    2.00    0.00    0.00   17.00     2    240.00      0.00 2622204  201168   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:55:05 AM  1000   2540326   15.00    2.00    0.00    0.00   17.00     2    172.00      0.00 2622204  201936   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:55:06 AM  1000   2540326   15.00    2.00    0.00    0.00   17.00     6     75.00      0.00 2622204  202128   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:55:07 AM  1000   2540326   16.00    1.00    0.00    0.00   17.00     0    121.00      0.00 2622452  202704   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:55:08 AM  1000   2540326   15.00    2.00    0.00    0.00   17.00     2     65.00      0.00 2622452  202896   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:55:09 AM  1000   2540326   15.00    2.00    0.00    0.00   17.00    10     44.00      0.00 2622452  202896   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:55:10 AM  1000   2540326   17.00    2.00    0.00    0.00   19.00    10    187.00      0.00 2622756  203856   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:55:11 AM  1000   2540326   14.00    2.00    0.00    0.00   16.00    10     84.00      0.00 2622756  204048   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:55:12 AM  1000   2540326   15.00    2.00    0.00    0.00   17.00    12     86.00      0.00 2622756  204432   0.63  fastlio_mapping

