Linux 6.8.0-87-generic (jschoi) 	09/13/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:27:25 PM  1000   3902946    6.00    3.00    0.00    0.00    9.00    14   6721.00      0.00 2620932  177288   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:27:26 PM  1000   3902946   15.00    3.00    0.00    0.00   18.00    10   3413.00      0.00 2621996  189876   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:27:27 PM  1000   3902946   19.00    3.00    0.00    0.00   22.00    14   2160.00      0.00 2621996  198900   0.61  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:27:28 PM  1000   3902946   19.00    3.00    0.00    0.00   22.00    12    962.00      0.00 2622000  202548   0.62  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:27:29 PM  1000   3902946   19.00    2.00    0.00    0.00   21.00     2    617.00      0.00 2622308  205044   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:27:30 PM  1000   3902946   18.00    2.00    0.00    0.00   20.00    12    291.00      0.00 2622308  206196   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:27:31 PM  1000   3902946   18.00    2.00    0.00    0.00   20.00     2    288.00      0.00 2622308  207156   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:27:32 PM  1000   3902946   19.00    2.00    0.00    0.00   21.00    10    444.00      0.00 2622512  208884   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:27:33 PM  1000   3902946   18.00    3.00    0.00    0.00   21.00     6    223.00      0.00 2622512  209844   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:27:34 PM  1000   3902946   20.00    2.00    0.00    0.00   22.00     5    221.00      0.00 2622512  210612   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:27:35 PM  1000   3902946   20.00    1.00    0.00    0.00   21.00     4    242.00      0.00 2622696  211380   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:27:36 PM  1000   3902946   19.00    3.00    0.00    0.00   22.00     5    160.00      0.00 2622696  212148   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:27:37 PM  1000   3902946   20.00    3.00    0.00    0.00   23.00     5    152.00      0.00 2622696  212916   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:27:38 PM  1000   3902946   19.00    2.00    0.00    0.00   21.00    14    130.00      0.00 2622700  213492   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:27:39 PM  1000   3902946   18.00    3.00    0.00    0.00   21.00     6    260.00      0.00 2622700  214452   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:27:40 PM  1000   3902946   20.00    2.00    0.00    0.00   22.00     2     77.00      0.00 2622700  214644   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:27:41 PM  1000   3902946   19.00    2.00    0.00    0.00   21.00     6    396.00      0.00 2624088  214408   0.66  fastlio_mapping

