Linux 6.8.0-87-generic (jschoi) 	09/12/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:31 AM  1000   2534769    5.00    1.00    0.00    0.00    6.00     4   3229.00      0.00 2620636  165292   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:32 AM  1000   2534769   10.00    2.00    0.00    0.00   12.00     4   2318.00      0.00 2620800  171792   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:33 AM  1000   2534769   12.00    4.00    0.00    0.00   16.00    10   1851.00      0.00 2621448  173708   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:34 AM  1000   2534769   13.00    2.00    0.00    0.00   15.00     6   1234.00      0.00 2621852  175980   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:35 AM  1000   2534769   13.00    3.00    0.00    0.00   16.00     6   1202.00      0.00 2621852  175804   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:36 AM  1000   2534769   13.00    3.00    0.00    0.00   16.00    14   1604.00      0.00 2621852  176608   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:37 AM  1000   2534769   13.00    2.00    0.00    0.00   15.00    14   1001.00      0.00 2621884  178432   0.55  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:38 AM  1000   2534769   14.00    2.00    0.00    0.00   16.00     0   1019.00      0.00 2621884  182272   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:39 AM  1000   2534769   12.00    2.00    0.00    0.00   14.00     4    757.00      0.00 2621884  185152   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:40 AM  1000   2534769   12.00    3.00    0.00    0.00   15.00     2    163.00      0.00 2621884  185728   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:41 AM  1000   2534769   12.00    3.00    0.00    0.00   15.00     4    330.00      0.00 2621884  186880   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:42 AM  1000   2534769   14.00    2.00    0.00    0.00   16.00     2     33.00      0.00 2621884  186880   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:43 AM  1000   2534769   12.00    2.00    0.00    0.00   14.00    14     15.00      0.00 2621884  186880   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:44 AM  1000   2534769   13.00    1.00    0.00    0.00   14.00     0     18.00      0.00 2621884  186880   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:45 AM  1000   2534769   14.00    1.00    0.00    0.00   15.00     0      7.00      0.00 2621884  186880   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:46 AM  1000   2534769   13.00    2.00    0.00    0.00   15.00     0     41.00      0.00 2621884  187072   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
