Linux 6.8.0-87-generic (jschoi) 	09/12/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:12 AM  1000   2536910    3.00    2.00    0.00    0.00    5.00     2   3400.00      0.00 2620636  165840   0.51  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:13 AM  1000   2536910   10.00    3.00    0.00    0.00   13.00     2   2709.00      0.00 2620636  172324   0.53  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:14 AM  1000   2536910   13.00    5.00    0.00    0.00   18.00     8   2195.00      0.00 2620644  176016   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:15 AM  1000   2536910   13.00    3.00    0.00    0.00   16.00    12   1415.00      0.00 2620644  175940   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:16 AM  1000   2536910   13.00    3.00    0.00    0.00   16.00     8   1953.00      0.00 2620856  176400   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:17 AM  1000   2536910   12.00    3.00    0.00    0.00   15.00    14   1726.00      0.00 2620856  177608   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:18 AM  1000   2536910   13.00    4.00    0.00    0.00   17.00     6   1891.00      0.00 2620888  182312   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:19 AM  1000   2536910   12.00    2.00    0.00    0.00   14.00     6    430.00      0.00 2620888  184040   0.56  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:20 AM  1000   2536910   14.00    2.00    0.00    0.00   16.00    10    670.00      0.00 2621236  186536   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:21 AM  1000   2536910   12.00    2.00    0.00    0.00   14.00     2    106.00      0.00 2621236  187112   0.57  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:22 AM  1000   2536910   12.00    2.00    0.00    0.00   14.00     4    522.00      0.00 2621904  189032   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:23 AM  1000   2536910   12.00    2.00    0.00    0.00   14.00    12    155.00      0.00 2621904  189608   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:24 AM  1000   2536910   14.00    1.00    0.00    0.00   15.00     2     20.00      0.00 2621904  189608   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:25 AM  1000   2536910   13.00    3.00    0.00    0.00   16.00     0    221.00      0.00 2621904  190184   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:26 AM  1000   2536910   13.00    3.00    0.00    0.00   16.00     2    112.00      0.00 2622112  190568   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:52:27 AM  1000   2536910   13.00    2.00    0.00    0.00   15.00     0     91.00      0.00 2622112  190952   0.59  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
