Linux 6.8.0-87-generic (jschoi) 	09/14/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:14:28 AM  1000   4166174    4.00    3.00    0.00    0.00    7.00    11   6367.00      0.00 2627756  175688   0.54  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:14:29 AM  1000   4166174   19.00    3.00    0.00    0.00   22.00    11   3373.00      0.00 2629064  188168   0.58  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:14:30 AM  1000   4166174   17.00    3.00    0.00    0.00   20.00     6   2113.00      0.00 2629276  196040   0.60  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:14:31 AM  1000   4166174   18.00    3.00    0.00    0.00   21.00    12   1849.00      0.00 2629276  203912   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:14:32 AM  1000   4166174   17.00    1.00    0.00    0.00   18.00     0    372.00      0.00 2629276  205256   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:14:33 AM  1000   4166174   16.00    3.00    0.00    0.00   19.00     0    334.00      0.00 2629276  206600   0.63  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:14:34 AM  1000   4166174   17.00    2.00    0.00    0.00   19.00     2    432.00      0.00 2629276  208136   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:14:35 AM  1000   4166174   21.00    1.00    0.00    0.00   22.00     4    191.00      0.00 2629552  209096   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:14:36 AM  1000   4166174   19.00    2.00    0.00    0.00   21.00     8    259.00      0.00 2629552  210248   0.64  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:14:37 AM  1000   4166174   20.00    1.00    0.00    0.00   21.00     6    100.00      0.00 2629684  210440   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:14:38 AM  1000   4166174   18.00    2.00    0.00    0.00   20.00    10    213.00      0.00 2629684  211400   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:14:39 AM  1000   4166174   19.00    2.00    0.00    0.00   21.00    12    199.00      0.00 2629684  212168   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:14:40 AM  1000   4166174   19.00    2.00    0.00    0.00   21.00     2    266.00      0.00 2629688  213320   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:14:41 AM  1000   4166174   20.00    1.00    0.00    0.00   21.00     4      8.00      0.00 2629688  213320   0.65  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:14:42 AM  1000   4166174   19.00    1.00    0.00    0.00   20.00     2    201.00      0.00 2630088  213896   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:14:43 AM  1000   4166174   18.00    1.00    0.00    0.00   19.00    12    178.00      0.00 2630088  214472   0.66  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:14:44 AM  1000   4166174   17.00    3.00    0.00    0.00   20.00    14    274.00      0.00 2630088  215624   0.66  fastlio_mapping

